aacode,cavitywallinsulation,doorframe:wood_doortype:solid,doorframe:wood_doortype:glazed,doorframe:metal_doortype:solid,doorframe:metal_doortype:glazed,doorframe:upvc_doortype:solid,doorframe:upvc_doortype:glazed,doubleglazedwindowframe,elevationtype,externalwallinsulation,externalwallconstructiontype,internalinsulation,percentagedoubleglazed,singleglazedwindowframe,tenthsattached,tenthsopening,tenthspartywall,angleFromNorth
BEIS01,False,1,0,0,0,1,0,Wood,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS61,False,1,0,0,0,1,0,Wood,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS31,False,1,0,0,0,1,0,Wood,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS01,False,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS61,False,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS31,False,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS01,False,0,0,0,0,0,0,Wood,LEFT,False,Cavity,False,75,Wood,0,1,0,1.5707963267949
BEIS61,False,0,0,0,0,0,0,Wood,LEFT,False,Cavity,False,75,Wood,0,1,0,1.5707963267949
BEIS31,False,0,0,0,0,0,0,Wood,LEFT,False,Cavity,False,75,Wood,0,1,0,1.5707963267949
BEIS01,False,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,75,Wood,0,3,0,4.71238898038469
BEIS61,False,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,75,Wood,0,3,0,4.71238898038469
BEIS31,False,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,75,Wood,0,3,0,4.71238898038469
BEIS02,True,1,0,0,0,0,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,7.85398163397448
BEIS62,True,1,0,0,0,0,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,7.85398163397448
BEIS32,True,1,0,0,0,0,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,7.85398163397448
BEIS02,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,5,0,4.71238898038469
BEIS62,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,5,0,4.71238898038469
BEIS32,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,5,0,4.71238898038469
BEIS02,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,2,1,2,3.14159265358979
BEIS62,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,2,1,2,3.14159265358979
BEIS32,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,2,1,2,3.14159265358979
BEIS02,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,100,,10,0,10,6.28318530717959
BEIS62,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,100,,10,0,10,6.28318530717959
BEIS32,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,100,,10,0,10,6.28318530717959
BEIS03,True,1,0,0,0,0,0,Wood,BACK,False,Cavity,False,100,,0,2,0,3.14159265358979
BEIS63,True,1,0,0,0,0,0,Wood,BACK,False,Cavity,False,100,,0,2,0,3.14159265358979
BEIS33,True,1,0,0,0,0,0,Wood,BACK,False,Cavity,False,100,,0,2,0,3.14159265358979
BEIS03,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS63,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS33,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS03,True,0,0,0,0,0,0,Wood,LEFT,False,Cavity,False,100,,0,1,0,-1.5707963267949
BEIS63,True,0,0,0,0,0,0,Wood,LEFT,False,Cavity,False,100,,0,1,0,-1.5707963267949
BEIS33,True,0,0,0,0,0,0,Wood,LEFT,False,Cavity,False,100,,0,1,0,-1.5707963267949
BEIS03,True,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS63,True,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS33,True,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS04,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,7.06858347057703
BEIS64,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,7.06858347057703
BEIS34,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,7.06858347057703
BEIS04,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,3.92699081698724
BEIS64,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,3.92699081698724
BEIS34,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,3.92699081698724
BEIS04,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,0,0,2.35619449019234
BEIS64,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,0,0,2.35619449019234
BEIS34,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,0,0,2.35619449019234
BEIS04,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,5.49778714378214
BEIS64,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,5.49778714378214
BEIS34,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,5.49778714378214
BEIS05,True,0,0,0,0,0,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,3.14159265358979
BEIS65,True,0,0,0,0,0,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,3.14159265358979
BEIS35,True,0,0,0,0,0,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,3.14159265358979
BEIS05,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,1,0,0.0
BEIS65,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,1,0,0.0
BEIS35,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,1,0,0.0
BEIS05,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,2,0,-1.5707963267949
BEIS65,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,2,0,-1.5707963267949
BEIS35,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,2,0,-1.5707963267949
BEIS05,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,0,uPVC,8,0,8,1.5707963267949
BEIS65,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,0,uPVC,8,0,8,1.5707963267949
BEIS35,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,0,uPVC,8,0,8,1.5707963267949
BEIS06,True,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,3.14159265358979
BEIS66,True,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,3.14159265358979
BEIS36,True,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,3.14159265358979
BEIS06,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS66,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS36,True,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,0.0
