PageURL,Pageviews,UniquePageviews
/search-a-local-authority-area/en-GB/London,15921,6790
/search-a-local-authority-area/en-GB/South East,15377,4122
/search-a-local-authority-area/en-GB/North West,14007,5381
/search-a-local-authority-area/en-GB/South+East,13452,3677
/search-a-local-authority-area/en-GB/Wales,12483,6247
/search-a-local-authority-area/en-GB/East+Counties,9916,3176
/search-a-local-authority-area/en-GB/East Midlands,6936,2511
/search-a-local-authority-area/en-GB/North+West,6257,2330
/authority-search-landing/en-GB/413,5914,4602
/authority-search/cardiff,5466,4457
/search-a-local-authority-area/en-GB/East+Midlands,5441,2034
/search-a-local-authority-area/en-GB/West Midlands,5284,2608
/authority-search/en-GB/birmingham?sm=1,4971,3739
/search-a-local-authority-area/en-GB/South West,4667,1938
/authority-search-landing/en-GB/403,4291,3261
/search-a-local-authority-area/en-GB/South+West,4271,1697
/search-a-local-authority-area/en-GB/Yorkshire and Humberside,3963,2369
/search-a-local-authority-area/en-GB/West+Midlands,3634,1746
/search-a-local-authority-area/en-GB/Scotland,3595,1447
/search-a-local-authority-area/en-GB/Yorkshire+and+Humberside,3588,1931
/search-a-local-authority-area/en-GB/East Counties,3371,1082
/authority-search-landing/en-GB/878,3287,2609
/search-a-local-authority-area/en-GB/North East,3197,2176
/authority-search-landing/en-GB/434,3163,2407
/authority-search-landing/en-GB/703,3131,2457
/authority-search-landing/en-GB/407,2859,2298
/business/en-GB/73388/CHILLI-MASSALLA-Stockport,2855,2574
/business/en-GB/72681/The-Thornhill-Arms-Rushton,2517,2283
/search-a-local-authority-area/en-GB/Northern+Ireland,2389,1467
/authority-search-landing/en-GB/415,2354,1868
/business/79937,2182,2040
/authority-search-landing/en-GB/419,2148,1613
/default/cy-GB,2089,1758
/authority-search/swansea,2015,1522
/authority-search/newcastle-upon-tyne,1950,1581
/authority-search/en-gb/sheffield,1945,1566
/authority-search-landing/en-GB/414,1928,1541
/authority-search-landing/en-GB/404,1910,1537
/authority-search-landing/en-GB/898,1887,1421
/search/en-GB?sm=1,1814,1536
/enhanced-search/en-GB/^/^/Relevance/0/^/^/0/1/10,1806,1571
/authority-search-landing/en-GB/876,1739,1359
/authority-search-landing/en-GB/897,1718,1307
/authority-search-landing/en-GB/402,1699,1290
/authority-search/dudley,1684,1263
/authority-search-landing/en-GB/880,1669,1263
/search-a-local-authority-area/en-GB/North+East,1549,1017
/business/en-GB/930554/Kings-Treats-Oldham,1535,1380
/authority-search-landing/en-GB/704,1490,1147
/business/en-GB/77246/Paprika-Rothwell,1490,1383
/authority-search-landing/en-GB/855,1442,1101
/authority-search-landing/en-GB/505,1385,1061
/authority-search-landing/en-GB/232,1383,1105
/authority-search/newport,1373,1053
/business/en-GB/837041/Ora-Tyne-And-Wear,1356,1207
/authority-search-landing/en-GB/417,1351,1014
/authority-search/en-GB/^/^/desc_rating/0/075/^/1/1/10,1340,1118
/business/en-GB/601825/Jimmy-Spices-Buffetworks-Broad-Street,1324,1248
/authority-search-landing/en-GB/411,1271,977
/authority-search-landing/en-GB/861,1249,961
/authority-search-landing/en-GB/556,1247,996
/authority-search/ealing,1247,987
/authority-search-landing/en-GB/299,1246,973
/authority-search-landing/en-GB/862,1245,937
/authority-search-landing/en-GB/200,1242,969
/authority-search-landing/en-GB/510,1211,913
/authority-search-landing/en-GB/899,1208,979
/authority-search-landing/en-GB/428,1206,940
/business/en-GB/257520/default,1192,1058
/enhanced-search/en-GB/^/Abingdon/desc_rating/0/^/LessThanOrEqual2/0/1/10,1176,851
/authority-search-landing/en-GB/888,1160,898
/authority-search-landing/en-GB/406,1146,873
/authority-search/rhondda-cynon-taf,1138,901
/authority-search-landing/en-GB/503,1120,862
/authority-search/havering,1118,847
/authority-search/vale-of-glamorgan,1118,865
/authority-search-landing/en-GB/871,1102,828
/authority-search-landing/en-GB/202,1097,806
/authority-search-landing/en-GB/432,1073,823
/authority-search/cornwall,1071,848
/authority-search/swindon,1053,816
/advanced-search/en-gb/Trafford,1027,839
/authority-search-landing/en-GB/869,1024,807
/authority-search/bridgend,1014,787
/authority-search-landing/en-GB/507,1002,782
/authority-search-landing/en-GB/025,1001,754
/authority-search/torfaen,986,812
/enhanced-search/en-GB/^/Bristol road selly oak/Relevance/0/^/^/0/1/10,986,727
/authority-search-landing/en-GB/197,979,740
/authority-search/durham,971,755
/authority-search-landing/en-GB/239,970,731
/QuickSearch.aspx,964,714
/business/en-GB/240560/The-Farmhouse-Coventry,940,861
/authority-search-landing/en-GB/863,919,695
/enhanced-search/en-GB/^/NE6/Relevance/0/416/LessThanOrEqual1/0/1/10,890,586
