Date,Visits,UniqueVisitors,Pageviews
2018-01-01,10620.0,9575.0,45765.0
2018-01-02,8912.0,8061.0,42513.0
2018-01-03,9073.0,8074.0,42334.0
2018-01-04,9225.0,8290.0,46141.0
2018-01-05,14470.0,13253.0,74009.0
2018-01-06,14082.0,12765.0,66577.0
2018-01-07,9546.0,8724.0,43839.0
2018-01-08,11048.0,9991.0,45218.0
2018-01-09,8998.0,8043.0,42235.0
2018-01-10,9574.0,8630.0,43817.0
2018-01-11,8963.0,7858.0,43594.0
2018-01-12,10996.0,9795.0,53147.0
2018-01-13,10942.0,9923.0,48806.0
2018-01-14,8512.0,7773.0,39729.0
2018-01-15,7996.0,7008.0,41490.0
2018-01-16,9442.0,8370.0,45487.0
2018-01-17,8323.0,7412.0,40152.0
2018-01-18,8326.0,7431.0,40744.0
2018-01-19,10733.0,9530.0,51035.0
2018-01-20,11493.0,10359.0,52138.0
2018-01-21,10333.0,9446.0,49331.0
2018-01-22,10734.0,9640.0,52800.0
2018-01-23,9804.0,8813.0,49617.0
2018-01-24,9476.0,8363.0,49916.0
2018-01-25,9724.0,8651.0,48253.0
2018-01-26,12024.0,10816.0,57542.0
2018-01-27,12703.0,11467.0,60628.0
2018-01-28,11859.0,10671.0,54237.0
2018-01-29,18045.0,16283.0,96096.0
2018-01-30,14406.0,12880.0,70320.0
2018-01-31,11095.0,9821.0,51028.0
2018-02-01,13007.0,11782.0,58450.0
2018-02-02,13633.0,12316.0,63343.0
2018-02-03,13965.0,12721.0,63216.0
2018-02-04,11688.0,10742.0,50622.0
2018-02-05,10339.0,9287.0,53738.0
2018-02-06,9340.0,8299.0,45692.0
2018-02-07,10230.0,9136.0,48108.0
2018-02-08,10617.0,9384.0,48438.0
2018-02-09,12643.0,11335.0,59701.0
2018-02-10,13211.0,11886.0,61728.0
2018-02-11,10063.0,9007.0,45233.0
2018-02-12,9122.0,7981.0,43115.0
2018-02-13,9375.0,8212.0,46274.0
2018-02-14,11933.0,10696.0,61384.0
2018-02-15,10086.0,8826.0,51484.0
2018-02-16,12015.0,10802.0,59796.0
2018-02-17,12639.0,11399.0,59589.0
2018-02-18,8811.0,8043.0,41595.0
2018-02-19,10226.0,8964.0,52365.0
2018-02-20,10228.0,8905.0,50331.0
2018-02-21,9570.0,8290.0,46016.0
2018-02-22,9943.0,8833.0,49236.0
2018-02-23,11883.0,10750.0,56258.0
2018-02-24,11585.0,10638.0,50929.0
2018-02-25,8238.0,7402.0,33833.0
2018-02-26,8725.0,7710.0,41842.0
2018-02-27,9074.0,7934.0,43168.0
2018-02-28,8824.0,7827.0,41387.0
2018-03-01,10059.0,9035.0,44621.0
2018-03-02,11984.0,10952.0,53541.0
2018-03-03,13414.0,12215.0,60958.0
2018-03-04,11147.0,10052.0,53604.0
2018-03-05,10677.0,9493.0,51504.0
2018-03-06,13988.0,12395.0,63748.0
2018-03-07,11367.0,9934.0,52270.0
2018-03-08,9892.0,8641.0,48357.0
2018-03-09,13051.0,11804.0,63938.0
2018-03-10,13742.0,12493.0,57513.0
2018-03-11,11018.0,9962.0,49664.0
2018-03-12,8953.0,7837.0,43417.0
2018-03-13,8778.0,7621.0,42122.0
2018-03-14,8637.0,7532.0,41781.0
2018-03-15,9361.0,8198.0,43903.0
2018-03-16,11259.0,10115.0,52041.0
2018-03-17,11686.0,10593.0,54340.0
2018-03-18,9633.0,8772.0,45816.0
2018-03-19,8619.0,7657.0,42340.0
2018-03-20,8240.0,7274.0,39715.0
2018-03-21,8497.0,7404.0,40760.0
2018-03-22,8194.0,7249.0,38180.0
2018-03-23,11279.0,10021.0,49404.0
2018-03-24,11390.0,10260.0,51078.0
2018-03-25,8525.0,7686.0,37580.0
2018-03-26,7998.0,7034.0,37158.0
2018-03-27,9211.0,8045.0,43755.0
2018-03-28,8774.0,7680.0,36382.0
2018-03-29,9840.0,8622.0,40979.0
2018-03-30,10260.0,9322.0,42571.0
2018-03-31,9980.0,8971.0,40513.0
2018-04-01,9952.0,9087.0,39056.0
2018-04-02,10140.0,9155.0,41993.0
2018-04-03,8959.0,8025.0,37140.0
2018-04-04,9256.0,8158.0,39515.0
2018-04-05,9449.0,8365.0,41957.0
2018-04-06,10868.0,9568.0,46897.0
2018-04-07,10625.0,9555.0,43047.0
2018-04-08,9191.0,8252.0,38045.0
2018-04-09,8570.0,7510.0,37175.0
2018-04-10,9944.0,8840.0,42247.0
2018-04-11,9920.0,8726.0,42905.0
2018-04-12,10066.0,8856.0,42727.0
2018-04-13,10965.0,9804.0,43364.0
2018-04-14,9871.0,8893.0,37568.0
2018-04-15,9093.0,8208.0,35507.0
2018-04-16,7862.0,6930.0,32852.0
2018-04-17,7611.0,6544.0,32700.0
2018-04-18,7193.0,6210.0,30488.0
2018-04-19,7085.0,6263.0,30021.0
2018-04-20,8706.0,7747.0,36397.0
2018-04-21,8746.0,7866.0,34082.0
2018-04-22,7749.0,6984.0,30861.0
2018-04-23,8280.0,7210.0,34224.0
2018-04-24,5816.0,5076.0,25708.0
2018-04-25,169.0,144.0,189.0
2018-04-26,82.0,72.0,91.0
2018-04-27,62.0,47.0,64.0
2018-04-28,34.0,28.0,38.0
2018-04-29,24.0,21.0,26.0
2018-04-30,3935.0,3671.0,18209.0
2018-05-01,10186.0,9019.0,46279.0
2018-05-02,16765.0,14181.0,64087.0
2018-05-03,11551.0,9929.0,53492.0
2018-05-04,10929.0,9618.0,48331.0
2018-05-05,8777.0,7753.0,33900.0
2018-05-06,7841.0,7040.0,30736.0
2018-05-07,7604.0,6808.0,33324.0
2018-05-08,8094.0,7073.0,37077.0
2018-05-09,7879.0,6947.0,35015.0
2018-05-10,8303.0,7260.0,35968.0
2018-05-11,9954.0,8819.0,42481.0
2018-05-12,9933.0,8978.0,38323.0
2018-05-13,7731.0,7025.0,30645.0
2018-05-14,7001.0,6107.0,30795.0
2018-05-15,7652.0,6623.0,36304.0
2018-05-16,8084.0,6981.0,38352.0
2018-05-17,7746.0,6742.0,36406.0
2018-05-18,8693.0,7602.0,36321.0
2018-05-19,7576.0,6881.0,28115.0
2018-05-20,7066.0,6370.0,28251.0
2018-05-21,7121.0,6129.0,31201.0
2018-05-22,7072.0,6098.0,33102.0
2018-05-23,7181.0,6254.0,32534.0
2018-05-24,7373.0,6375.0,32569.0
2018-05-25,9547.0,8459.0,39848.0
2018-05-26,8402.0,7556.0,32627.0
2018-05-27,8297.0,7510.0,33087.0
2018-05-28,7596.0,6843.0,32397.0
2018-05-29,7776.0,6804.0,34669.0
2018-05-30,8365.0,7318.0,37677.0
2018-05-31,8582.0,7551.0,37251.0
2018-06-01,10420.0,9259.0,42713.0
2018-06-02,11135.0,10226.0,41950.0
2018-06-03,8155.0,7431.0,31495.0
2018-06-04,8438.0,7472.0,36808.0
2018-06-05,7954.0,6993.0,33945.0
2018-06-06,7820.0,6889.0,33308.0
2018-06-07,8160.0,7335.0,34821.0
2018-06-08,9497.0,8531.0,41521.0
2018-06-09,8813.0,7965.0,35521.0
2018-06-10,7572.0,6846.0,30813.0
2018-06-11,7219.0,6425.0,33436.0
2018-06-12,7392.0,6447.0,33499.0
2018-06-13,7667.0,6749.0,32732.0
2018-06-14,7494.0,6649.0,33438.0
