Directorate,Division,Branch,Grade,HeadcountMale,HeadcountFemale,FTE_Male,FTE_Female
Chief Executive,Chief Executive,Chief Executive,SCS 3,1,0,1.0,0.0
Finance & Performance,Accounting,Accounting,AO ,0,1,0.0,0.8
Finance & Performance,Accounting,Accounting,EO ,1,1,1.0,1.0
Finance & Performance,Accounting,Accounting,G6 ,1,0,1.0,0.0
Finance & Performance,Accounting,Accounting,G7 ,2,1,2.0,1.0
Finance & Performance,Accounting,Accounting,HEO,2,5,2.0,5.0
Finance & Performance,Accounting,Accounting,SEO,2,2,2.0,2.0
Finance & Performance,Corporate Support Hub,Corporate Support Hub,AO ,1,3,1.0,2.6
Finance & Performance,Corporate Support Hub,Corporate Support Hub,EO ,10,12,10.0,12.0
Finance & Performance,Corporate Support Hub,Corporate Support Hub,G7 ,1,0,1.0,0.0
Finance & Performance,Corporate Support Hub,Corporate Support Hub,HEO,1,2,1.0,2.0
Finance & Performance,Corporate Support Hub,Corporate Support Hub,SEO,1,1,1.0,1.0
Finance & Performance,Finance Charging,Finance Charging,EO ,2,0,2.0,0.0
Finance & Performance,Finance Charging,Finance Charging,G7 ,1,0,1.0,0.0
Finance & Performance,Finance Charging,Finance Charging,SEO,0,2,0.0,2.0
Finance & Performance,Planning  Performance and Change,Planning  Performance and Change,G7 ,1,2,1.0,2.0
Finance & Performance,Planning  Performance and Change,Planning  Performance and Change,HEO,1,1,0.95,1.0
Finance & Performance,Planning  Performance and Change,Planning  Performance and Change,SEO,1,1,1.0,1.0
Finance & Performance,Procurement,Procurement,G7 ,0,1,0.0,1.0
Finance & Performance,Procurement,Procurement,HEO,0,3,0.0,1.82
Finance & Performance,Procurement,Procurement,SCS 1,1,0,1.0,0.0
Finance & Performance,Procurement,Procurement,SEO,1,2,1.0,1.61
Finance & Performance,Security and Estates,Security and Estates,SEO,1,0,1.0,0.0
Finance & Performance,Finance & Performance,Finance & Performance,SCS 2,1,0,1.0,0.0
Northern Ireland,People & Organisational Change,People & Organisational Change,EO ,1,6,1.0,4.43
Northern Ireland,People & Organisational Change,People & Organisational Change,G6 ,0,1,0.0,1.0
Northern Ireland,People & Organisational Change,People & Organisational Change,G7 ,3,4,3.0,3.65
Northern Ireland,People & Organisational Change,People & Organisational Change,HEO,1,3,1.0,2.8
Northern Ireland,People & Organisational Change,People & Organisational Change,SCS 1,0,1,0.0,1.0
Northern Ireland,People & Organisational Change,People & Organisational Change,SEO,1,6,1.0,5.81
Northern Ireland,Northern Ireland,Northern Ireland,AO ,1,1,1.0,0.7
Northern Ireland,Northern Ireland,Northern Ireland,EO ,3,7,2.86,6.31
Northern Ireland,Northern Ireland,Northern Ireland,G6 ,0,1,0.0,1.0
Northern Ireland,Northern Ireland,Northern Ireland,G7 ,0,5,0.0,4.7
Northern Ireland,Northern Ireland,Northern Ireland,HEO,3,3,3.0,2.81
Northern Ireland,Northern Ireland,Northern Ireland,SCS 2,0,1,0.0,1.0
Northern Ireland,Northern Ireland,Northern Ireland,SEO,7,10,7.0,9.24
Openness  Data & Digital,Communications,Communications,G6 ,2,0,2.0,0.0
Openness  Data & Digital,Communications,Communications,G7 ,0,4,0.0,3.32
Openness  Data & Digital,Communications,Communications,HEO,3,3,3.0,3.0
Openness  Data & Digital,Communications,Communications,SCS 1,1,0,1.0,0.0
Openness  Data & Digital,Communications,Communications,SEO,4,6,4.0,5.69
Openness  Data & Digital,Digital,Digital,G6 ,0,1,0.0,1.0
Openness  Data & Digital,Digital,Digital,G7 ,0,2,0.0,2.0
Openness  Data & Digital,IT Intelligent Customer Function,Information and Knowledge Management,G6 ,0,1,0.0,1.0
Openness  Data & Digital,IT Intelligent Customer Function,Information and Knowledge Management,G7 ,1,1,1.0,1.0
Openness  Data & Digital,IT Intelligent Customer Function,Information and Knowledge Management,HEO,6,3,6.0,2.42
Openness  Data & Digital,IT Intelligent Customer Function,Information and Knowledge Management,SEO,3,2,3.0,2.0
Openness  Data & Digital,IT Intelligent Customer Function,IT Intelligent Customer Function,EO ,1,0,1.0,0.0
Openness  Data & Digital,IT Intelligent Customer Function,IT Intelligent Customer Function,G6 ,0,1,0.0,1.0
Openness  Data & Digital,IT Intelligent Customer Function,IT Intelligent Customer Function,G7 ,4,2,4.0,2.0
Openness  Data & Digital,IT Intelligent Customer Function,IT Intelligent Customer Function,HEO,7,1,7.0,1.0
Openness  Data & Digital,IT Intelligent Customer Function,IT Intelligent Customer Function,SEO,4,1,4.0,0.81
Openness  Data & Digital,Openness  Data & Digital,Openness  Data & Digital,SCS 2,0,1,0.0,1.0
Operational Delivery Group,Consumer Protection Division,Food Incidents & Resilience (Prog),EO ,3,1,3.0,1.0
Operational Delivery Group,Consumer Protection Division,Food Incidents & Resilience (Prog),G6 ,1,0,1.0,0.0
Operational Delivery Group,Consumer Protection Division,Food Incidents & Resilience (Prog),G7 ,4,0,4.0,0.0
Operational Delivery Group,Consumer Protection Division,Food Incidents & Resilience (Prog),HEO,4,4,4.0,3.6
Operational Delivery Group,Consumer Protection Division,Food Incidents & Resilience (Prog),SEO,3,5,3.0,5.0
Operational Delivery Group,Consumer Protection Division,National Food Crime Unit (Admin),EO ,0,2,0.0,2.0
Operational Delivery Group,Consumer Protection Division,National Food Crime Unit (Admin),G6 ,1,0,1.0,0.0
Operational Delivery Group,Consumer Protection Division,National Food Crime Unit (Admin),HEO,3,4,3.0,3.97
Operational Delivery Group,Consumer Protection Division,National Food Crime Unit (Admin),SEO,4,0,3.81,0.0
Operational Delivery Group,Consumer Protection Division,National Food Crime Unit (Prog),G7 ,1,0,1.0,0.0
Operational Delivery Group,Consumer Protection Division,Resilience (Admin),HEO,1,3,1.0,3.0
Operational Delivery Group,Consumer Protection Division,Resilience (Admin),SEO,1,0,1.0,0.0
Operational Delivery Group,Field Operations,East,EO ,113,13,110.72,12.57
Operational Delivery Group,Field Operations,East,G7 ,1,2,1.0,2.0
Operational Delivery Group,Field Operations,East,HEO,10,2,10.0,2.0
Operational Delivery Group,Field Operations,East,SEO,5,6,5.0,5.81
Operational Delivery Group,Field Operations,Health  Safety & Wellbeing,EO ,0,1,0.0,0.59
Operational Delivery Group,Field Operations,Health  Safety & Wellbeing,G7 ,1,0,1.0,0.0
Operational Delivery Group,Field Operations,Health  Safety & Wellbeing,SEO,0,1,0.0,1.0
Operational Delivery Group,Field Operations,North,EO ,122,4,117.45,4.0
Operational Delivery Group,Field Operations,North,G7 ,2,1,2.0,1.0
Operational Delivery Group,Field Operations,North,HEO,14,0,13.69,0.0
Operational Delivery Group,Field Operations,North,SEO,6,2,6.0,2.0
Operational Delivery Group,Field Operations,West & Wales,EO ,130,18,124.75,16.25
Operational Delivery Group,Field Operations,West & Wales,G7 ,3,1,3.0,1.0
Operational Delivery Group,Field Operations,West & Wales,HEO,10,3,10.0,3.0
Operational Delivery Group,Field Operations,West & Wales,SEO,6,4,6.0,3.61
Operational Delivery Group,Field Operations,Field Operations,G6 ,2,1,2.0,1.0
Operational Delivery Group,Field Operations,Field Operations,G7 ,5,0,5.0,0.0
Operational Delivery Group,Field Operations,Field Operations,HEO,3,0,3.0,0.0
Operational Delivery Group,Field Operations,Field Operations,SCS 1,1,0,1.0,0.0
Operational Delivery Group,Field Operations,Field Operations,SEO,1,1,1.0,1.0
Operational Delivery Group,Operations Assurance,Operations Assurance,EO ,2,5,2.0,3.76
Operational Delivery Group,Operations Assurance,Operations Assurance,G6 ,1,1,1.0,1.0
Operational Delivery Group,Operations Assurance,Operations Assurance,G7 ,7,2,7.0,2.0
Operational Delivery Group,Operations Assurance,Operations Assurance,HEO,3,5,2.8,4.81
Operational Delivery Group,Operations Assurance,Operations Assurance,SCS 1,1,0,1.0,0.0
Operational Delivery Group,Operations Assurance,Operations Assurance,SCS 2,1,0,1.0,0.0
Operational Delivery Group,Operations Assurance,Operations Assurance,SEO,9,11,9.0,11.0
Private Office,Private Office,Private Office,SEO,0,1,0.0,1.0
Regulatory and Legal Strategy Directorate,Internal Audit,Internal Audit,G6 ,1,0,0.1,0.0
Regulatory and Legal Strategy Directorate,Internal Audit,Internal Audit,G7 ,1,0,1.0,0.0
Regulatory and Legal Strategy Directorate,Internal Audit,Internal Audit,SEO,2,4,2.0,4.0
Regulatory and Legal Strategy Directorate,Investigations Team,Investigations Team,G7 ,1,0,1.0,0.0
Regulatory and Legal Strategy Directorate,Investigations Team,Investigations Team,HEO,4,1,4.0,1.0
Regulatory and Legal Strategy Directorate,Investigations Team,Investigations Team,SEO,2,0,2.0,0.0
Regulatory and Legal Strategy Directorate,Regulatory and International,Regulatory and International,EO ,1,0,1.0,0.0
Regulatory and Legal Strategy Directorate,Regulatory and International,Regulatory and International,G6 ,1,1,1.0,1.0
Regulatory and Legal Strategy Directorate,Regulatory and International,Regulatory and International,G7 ,6,1,6.0,1.0
Regulatory and Legal Strategy Directorate,Regulatory and International,Regulatory and International,HEO,0,1,0.0,1.0
Regulatory and Legal Strategy Directorate,Regulatory and International,Regulatory and International,SCS 1,0,1,0.0,1.0
Regulatory and Legal Strategy Directorate,Regulatory and International,Regulatory and International,SEO,4,4,4.0,4.0
Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,EO ,0,2,0.0,2.0
Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,G6 ,1,0,1.0,0.0
Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,G7 ,1,2,1.0,2.0
Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,HEO,2,4,2.0,3.8
Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,SCS 2,1,0,1.0,0.0
Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,Regulatory and Legal Strategy Directorate,SEO,4,4,4.0,4.0
Science and Policy,Food Safety Policy,Agricultural  Process & Environmental Contaminants,EO ,1,0,1.0,0.0
Science and Policy,Food Safety Policy,Agricultural  Process & Environmental Contaminants,HEO,2,2,2.0,1.6
Science and Policy,Food Safety Policy,Agricultural  Process & Environmental Contaminants,SEO,1,2,1.0,2.0
Science and Policy,Food Safety Policy,Allergy and Novel Foods,G7 ,1,0,1.0,0.0
Science and Policy,Food Safety Policy,Allergy and Novel Foods,HEO,0,3,0.0,3.0
Science and Policy,Food Safety Policy,Allergy and Novel Foods,SEO,2,2,2.0,2.0
Science and Policy,Food Safety Policy,Animal Feed  TSEs & ABPs,G7 ,1,0,1.0,0.0
Science and Policy,Food Safety Policy,Animal Feed  TSEs & ABPs,HEO,0,1,0.0,1.0
