Date,PageViews,Visits
2016-11-01,6938.0,3308.0
2016-11-02,6454.0,3097.0
2016-11-03,5892.0,3006.0
2016-11-04,5882.0,2960.0
2016-11-05,613.0,299.0
2016-11-06,670.0,347.0
2016-11-07,6793.0,3463.0
2016-11-08,6445.0,3256.0
2016-11-09,6177.0,3194.0
2016-11-10,5895.0,3024.0
2016-11-11,6171.0,2967.0
2016-11-12,193.0,106.0
2016-11-13,605.0,321.0
2016-11-14,7709.0,3474.0
2016-11-15,7884.0,3271.0
2016-11-16,7476.0,3226.0
2016-11-17,7723.0,3219.0
2016-11-18,6065.0,2835.0
2016-11-19,650.0,354.0
2016-11-20,763.0,391.0
2016-11-21,8451.0,3584.0
2016-11-22,7926.0,3492.0
2016-11-23,7485.0,3356.0
2016-11-24,7421.0,3286.0
2016-11-25,6906.0,2992.0
2016-11-26,952.0,460.0
2016-11-27,921.0,425.0
2016-11-28,7699.0,3492.0
2016-11-29,6765.0,3296.0
2016-11-30,6860.0,3193.0
2016-12-01,6969.0,3103.0
2016-12-02,7102.0,3081.0
2016-12-03,797.0,402.0
2016-12-04,978.0,475.0
2016-12-05,8101.0,3623.0
2016-12-06,7646.0,3443.0
2016-12-07,7935.0,3208.0
2016-12-08,6829.0,2944.0
2016-12-09,6831.0,2900.0
2016-12-10,604.0,303.0
2016-12-11,705.0,361.0
2016-12-12,6271.0,2830.0
2016-12-13,5444.0,2620.0
2016-12-14,4277.0,2245.0
2016-12-15,4437.0,2286.0
2016-12-16,3875.0,2046.0
2016-12-17,438.0,283.0
2016-12-18,533.0,313.0
2016-12-19,4750.0,2534.0
2016-12-20,4746.0,2348.0
2016-12-21,4265.0,2161.0
2016-12-22,3516.0,1862.0
2016-12-23,2367.0,1244.0
2016-12-24,166.0,109.0
2016-12-25,13.0,11.0
2016-12-26,126.0,89.0
2016-12-27,681.0,405.0
2016-12-28,3168.0,1772.0
2016-12-29,3802.0,1623.0
2016-12-30,2929.0,1605.0
2016-12-31,275.0,179.0
2017-01-01,195.0,108.0
2017-01-02,786.0,465.0
2017-01-03,5266.0,2592.0
2017-01-04,5637.0,2662.0
2017-01-05,4505.0,2332.0
2017-01-06,4318.0,2215.0
2017-01-07,350.0,232.0
2017-01-08,369.0,236.0
2017-01-09,5345.0,2770.0
2017-01-10,4906.0,2605.0
2017-01-11,4526.0,2505.0
2017-01-12,4431.0,2317.0
2017-01-13,4144.0,2284.0
2017-01-14,350.0,227.0
2017-01-15,443.0,278.0
2017-01-16,5405.0,2883.0
2017-01-17,5023.0,2656.0
2017-01-18,4863.0,2436.0
2017-01-19,4930.0,2538.0
2017-01-20,4257.0,2299.0
2017-01-21,284.0,205.0
2017-01-22,461.0,285.0
2017-01-23,5963.0,3030.0
2017-01-24,5285.0,2765.0
2017-01-25,5697.0,2720.0
2017-01-26,4424.0,2208.0
2017-01-27,5002.0,2554.0
2017-01-28,530.0,293.0
2017-01-29,718.0,342.0
2017-01-30,6324.0,3171.0
2017-01-31,6279.0,2986.0
2017-02-01,5972.0,2630.0
2017-02-02,5252.0,2593.0
2017-02-03,4859.0,2454.0
2017-02-04,325.0,209.0
2017-02-05,492.0,279.0
2017-02-06,6934.0,3154.0
2017-02-07,6249.0,2937.0
2017-02-08,5258.0,2589.0
2017-02-09,4933.0,2381.0
2017-02-10,4742.0,2241.0
2017-02-11,365.0,193.0
2017-02-12,491.0,273.0
2017-02-13,5457.0,2566.0
2017-02-14,5023.0,2374.0
2017-02-15,5536.0,2448.0
2017-02-16,4628.0,2252.0
2017-02-17,4400.0,2048.0
2017-02-18,453.0,233.0
2017-02-19,562.0,280.0
2017-02-20,5649.0,2549.0
2017-02-21,5683.0,2515.0
2017-02-22,5175.0,2328.0
2017-02-23,5007.0,2330.0
2017-02-24,4285.0,2080.0
2017-02-25,267.0,175.0
2017-02-26,627.0,330.0
2017-02-27,5945.0,2809.0
2017-02-28,5289.0,2478.0
2017-03-01,5616.0,2442.0
2017-03-02,5696.0,2486.0
2017-03-03,6535.0,2491.0
2017-03-04,397.0,200.0
2017-03-05,640.0,306.0
2017-03-06,6297.0,2775.0
2017-03-07,5032.0,2393.0
2017-03-08,5201.0,2366.0
2017-03-09,4786.0,2234.0
2017-03-10,4421.0,2101.0
2017-03-11,365.0,220.0
2017-03-12,663.0,319.0
2017-03-13,6281.0,2683.0
2017-03-14,5458.0,2335.0
2017-03-15,4483.0,1783.0
2017-03-16,3707.0,1482.0
2017-03-17,3096.0,1365.0
2017-03-18,244.0,126.0
2017-03-19,409.0,175.0
2017-03-20,3823.0,1687.0
2017-03-21,4675.0,1666.0
2017-03-22,4275.0,1620.0
2017-03-23,3645.0,1512.0
2017-03-24,3429.0,1318.0
2017-03-25,239.0,120.0
2017-03-26,279.0,126.0
2017-03-27,4552.0,1732.0
2017-03-28,4276.0,1676.0
2017-03-29,4013.0,1691.0
2017-03-30,3590.0,1593.0
2017-03-31,2937.0,1398.0
2017-04-01,384.0,157.0
2017-04-02,218.0,139.0
2017-04-03,4000.0,1629.0
2017-04-04,3866.0,1609.0
2017-04-05,3223.0,1447.0
2017-04-06,3345.0,1414.0
2017-04-07,2816.0,1235.0
2017-04-08,131.0,71.0
2017-04-09,226.0,112.0
2017-04-10,3321.0,1389.0
2017-04-11,3706.0,1411.0
2017-04-12,3436.0,1313.0
2017-04-13,2246.0,1032.0
2017-04-14,472.0,224.0
2017-04-15,97.0,50.0
2017-04-16,205.0,91.0
2017-04-17,738.0,302.0
2017-04-18,3162.0,1356.0
2017-04-19,1277.0,586.0
2017-04-20,3678.0,1569.0
2017-04-21,3395.0,1366.0
2017-04-22,235.0,116.0
2017-04-23,306.0,152.0
2017-04-24,3879.0,1653.0
2017-04-25,4037.0,1673.0
2017-04-26,4125.0,1666.0
2017-04-27,3978.0,1591.0
2017-04-28,3572.0,1390.0
2017-04-29,138.0,76.0
2017-04-30,69.0,25.0
2017-05-01,329.0,149.0
2017-05-02,4419.0,1751.0
2017-05-03,4043.0,1662.0
2017-05-04,3602.0,1559.0
2017-05-05,3210.0,1369.0
2017-05-06,278.0,119.0
2017-05-07,289.0,150.0
2017-05-08,4614.0,1699.0
2017-05-09,3800.0,1543.0
2017-05-10,3279.0,1447.0
2017-05-11,3448.0,1491.0
2017-05-12,2984.0,1288.0
2017-05-13,194.0,94.0
2017-05-14,341.0,200.0
2017-05-15,4427.0,1684.0
2017-05-16,4215.0,1561.0
2017-05-17,3971.0,1447.0
2017-05-18,3121.0,1460.0
2017-05-19,2901.0,1241.0
2017-05-20,0.0,0.0
2017-05-21,109.0,67.0
2017-05-22,3568.0,1485.0
2017-05-23,3731.0,1584.0
2017-05-24,4239.0,1651.0
2017-05-25,3399.0,1359.0
2017-05-26,3194.0,1228.0
2017-05-27,143.0,78.0
2017-05-28,182.0,95.0
2017-05-29,534.0,228.0
2017-05-30,1692.0,777.0
2017-05-31,4260.0,1471.0
2017-06-01,3830.0,1480.0
2017-06-02,2920.0,1200.0
2017-06-03,158.0,68.0
2017-06-04,329.0,107.0
2017-06-05,5124.0,1797.0
2017-06-06,4074.0,1681.0
2017-06-07,3662.0,1521.0
2017-06-08,3373.0,1474.0
2017-06-09,2753.0,1277.0
2017-06-10,218.0,117.0
2017-06-11,359.0,159.0
2017-06-12,3959.0,1663.0
2017-06-13,3494.0,1494.0
2017-06-14,3089.0,1397.0
2017-06-15,3084.0,1360.0
2017-06-16,3012.0,1239.0
2017-06-17,227.0,93.0
2017-06-18,186.0,93.0
2017-06-19,3638.0,1552.0
2017-06-20,3358.0,1439.0
2017-06-21,3612.0,1430.0
2017-06-22,3642.0,1436.0
2017-06-23,2611.0,1252.0
2017-06-24,154.0,83.0
2017-06-25,241.0,143.0
2017-06-26,3677.0,1506.0
2017-06-27,3449.0,1491.0
2017-06-28,3397.0,1446.0
2017-06-29,3221.0,1348.0
2017-06-30,3144.0,1315.0
2017-07-01,143.0,80.0
2017-07-02,303.0,136.0
2017-07-03,3185.0,1214.0
2017-07-04,3714.0,1530.0
2017-07-05,3904.0,1622.0
2017-07-06,4110.0,1608.0
2017-07-07,3390.0,1444.0
2017-07-08,216.0,102.0
2017-07-09,328.0,155.0
2017-07-10,4608.0,1833.0
2017-07-11,4062.0,1572.0
2017-07-12,3609.0,1441.0
2017-07-13,3578.0,1409.0
2017-07-14,3285.0,1283.0
2017-07-15,167.0,70.0
2017-07-16,246.0,135.0
2017-07-17,4586.0,1709.0
2017-07-18,3824.0,1578.0
2017-07-19,3415.0,1362.0
2017-07-20,3794.0,1458.0
2017-07-21,3124.0,1246.0
2017-07-22,179.0,98.0
2017-07-23,238.0,134.0
2017-07-24,4285.0,1600.0
2017-07-25,4425.0,1494.0
2017-07-26,4256.0,1498.0
2017-07-27,3461.0,1421.0
2017-07-28,3113.0,1322.0
2017-07-29,227.0,77.0
2017-07-30,295.0,120.0
2017-07-31,4485.0,1695.0
2017-08-01,4302.0,1620.0
2017-08-02,3743.0,1429.0
2017-08-03,3712.0,1489.0
2017-08-04,3251.0,1226.0
2017-08-05,891.0,111.0
2017-08-06,232.0,101.0
2017-08-07,3863.0,1497.0
2017-08-08,3676.0,1455.0
2017-08-09,3976.0,1403.0
2017-08-10,3713.0,1490.0
2017-08-11,3508.0,1346.0
2017-08-12,291.0,105.0
2017-08-13,215.0,103.0
2017-08-14,4197.0,1490.0
2017-08-15,4534.0,1599.0
2017-08-16,3962.0,1425.0
2017-08-17,3775.0,1370.0
2017-08-18,3327.0,1235.0
2017-08-19,157.0,73.0
2017-08-20,232.0,104.0
2017-08-21,4387.0,1601.0
2017-08-22,3845.0,1446.0
2017-08-23,3968.0,1371.0
2017-08-24,3243.0,1326.0
2017-08-25,2815.0,1122.0
2017-08-26,225.0,89.0
2017-08-27,179.0,74.0
2017-08-28,570.0,250.0
2017-08-29,3448.0,1486.0
2017-08-30,4704.0,1673.0
2017-08-31,3532.0,1535.0
2017-09-01,3014.0,1289.0
2017-09-02,256.0,129.0
2017-09-03,326.0,140.0
2017-09-04,4643.0,1787.0
2017-09-05,4449.0,1749.0
2017-09-06,3778.0,1530.0
2017-09-07,3739.0,1516.0
2017-09-08,3602.0,1359.0
2017-09-09,143.0,81.0
2017-09-10,290.0,151.0
2017-09-11,4568.0,1704.0
2017-09-12,3498.0,1459.0
2017-09-13,3535.0,1496.0
2017-09-14,3786.0,1514.0
2017-09-15,3240.0,1367.0
2017-09-16,172.0,78.0
2017-09-17,317.0,145.0
2017-09-18,4050.0,1639.0
2017-09-19,3412.0,1486.0
2017-09-20,4056.0,1518.0
2017-09-21,3396.0,1417.0
2017-09-22,3065.0,1299.0
2017-09-23,190.0,87.0
2017-09-24,270.0,122.0
2017-09-25,3831.0,1660.0
2017-09-26,4093.0,1633.0
2017-09-27,3399.0,1487.0
2017-09-28,3387.0,1434.0
2017-09-29,3731.0,1483.0
2017-09-30,172.0,88.0
2017-10-01,411.0,167.0
2017-10-02,3751.0,1602.0
2017-10-03,3262.0,1388.0
2017-10-04,4189.0,1566.0
2017-10-05,3717.0,1640.0
2017-10-06,3316.0,1500.0
2017-10-07,224.0,113.0
2017-10-08,427.0,188.0
2017-10-09,3808.0,1698.0
2017-10-10,4009.0,1613.0
2017-10-11,3935.0,1636.0
2017-10-12,3997.0,1598.0
2017-10-13,3237.0,1460.0
2017-10-14,191.0,109.0
2017-10-15,347.0,143.0
2017-10-16,4469.0,1822.0
2017-10-17,4192.0,1670.0
2017-10-18,4389.0,1858.0
2017-10-19,3986.0,1734.0
2017-10-20,3326.0,1482.0
2017-10-21,208.0,113.0
2017-10-22,391.0,160.0
2017-10-23,3739.0,1589.0
2017-10-24,3717.0,1530.0
2017-10-25,3684.0,1515.0
2017-10-26,3490.0,1430.0
2017-10-27,3282.0,1262.0
2017-10-28,243.0,113.0
2017-10-29,315.0,162.0
2017-10-30,4288.0,1667.0
2017-10-31,4027.0,1763.0
2017-11-01,3880.0,1651.0
2017-11-02,3915.0,1588.0
2017-11-03,3485.0,1564.0
2017-11-04,237.0,115.0
2017-11-05,360.0,170.0
2017-11-06,3985.0,1694.0
2017-11-07,3900.0,1687.0
2017-11-08,3481.0,1600.0
2017-11-09,3251.0,1643.0
2017-11-10,3374.0,1532.0
2017-11-11,256.0,143.0
2017-11-12,352.0,187.0
2017-11-13,4006.0,1829.0
2017-11-14,3472.0,1712.0
2017-11-15,4340.0,1883.0
2017-11-16,4881.0,2113.0
2017-11-17,3603.0,1729.0
2017-11-18,304.0,166.0
2017-11-19,354.0,195.0
2017-11-20,4708.0,2087.0
2017-11-21,4784.0,1994.0
2017-11-22,4162.0,1930.0
2017-11-23,3879.0,1806.0
2017-11-24,3646.0,1567.0
2017-11-25,231.0,143.0
2017-11-26,456.0,205.0
2017-11-27,4338.0,2060.0
2017-11-28,4211.0,1917.0
2017-11-29,3935.0,1837.0
2017-11-30,3794.0,1781.0
