PeriodStart,PeriodEnd,Area,NumberOfCasesCommenced,NumberOfSuccessfulCases,CompaniesOrIndividualsSuccessfullyProsecuted,InfFilesCoveredBySuccessfulCases,TotalFines,TotalCosts
2000-04-01,2001-03-31,food hygiene / safety,4.0,4.0,4.0,4.0,8500.0,1914.27
2000-04-01,2001-03-31,animal welfare,0.0,0.0,0.0,0.0,0.0,0.0
2001-04-01,2002-03-31,food hygiene / safety,13.0,12.0,11.0,12.0,12070.0,11435.76
2001-04-01,2002-03-31,animal welfare,0.0,0.0,0.0,0.0,0.0,0.0
2002-04-01,2003-03-31,food hygiene / safety,9.0,5.0,5.0,7.0,17000.0,22945.4
2002-04-01,2003-03-31,animal welfare,5.0,5.0,6.0,6.0,13700.0,13422.1
2003-04-01,2004-03-31,food hygiene / safety,29.0,21.0,20.0,27.0,66050.0,37974.15
2003-04-01,2004-03-31,animal welfare,11.0,9.0,11.0,15.0,32810.0,17149.96
2004-04-01,2005-03-31,food hygiene / safety,21.0,13.0,14.0,28.0,54300.0,30101.79
2004-04-01,2005-03-31,animal welfare,11.0,8.0,12.0,10.0,14010.0,10320.0
2005-04-01,2006-03-31,food hygiene / safety,19.0,17.0,19.0,32.0,73330.0,46286.87
2005-04-01,2006-03-31,animal welfare,15.0,13.0,14.0,18.0,50450.0,26654.9
2006-04-01,2007-03-31,food hygiene / safety,25.0,21.0,25.0,29.0,54250.0,50481.5
2006-04-01,2007-03-31,animal welfare,14.0,10.0,10.0,11.0,31750.0,28293.83
2007-04-01,2008-03-31,food hygiene / safety,20.0,17.0,19.0,39.0,102950.0,62977.0
2007-04-01,2008-03-31,animal welfare / cattle id / abp,21.0,19.0,19.0,31.0,66670.0,60895.33
2008-04-01,2009-03-31,food hygiene / safety,14.0,11.0,11.0,15.0,27015.0,18755.4
2008-04-01,2009-03-31,animal welfare / cattle id / abp,5.0,3.0,3.0,3.0,10000.0,10862.95
2009-04-01,2010-03-31,food hygiene / safety,22.0,18.0,17.0,22.0,51710.0,29085.21
2009-04-01,2010-03-31,animal welfare / cattle id / abp,3.0,3.0,3.0,3.0,4530.0,4927.42
2010-04-01,2011-03-31,food hygiene / safety,20.0,20.0,21.0,24.0,91585.0,46812.5
2010-04-01,2011-03-31,animal welfare / cattle id / abp,6.0,4.0,4.0,4.0,20660.0,16794.08
2011-04-01,2012-03-31,food hygiene / safety,16.0,13.0,15.0,21.0,66100.0,67391.38
2011-04-01,2012-03-31,animal welfare / cattle id / abp,1.0,1.0,1.0,2.0,0.0,2000.0
2012-04-01,2013-03-31,food hygiene / safety,9.0,6.0,9.0,7.0,20650.0,63197.19
2012-04-01,2013-03-31,animal welfare / cattle id / abp,4.0,4.0,5.0,4.0,11500.0,11538.45
2013-04-01,2014-03-31,food hygiene / safety,8.0,5.0,5.0,9.0,19285.0,19392.69
2013-04-01,2014-03-31,animal welfare / cattle id / abp,1.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,2015-03-31,food hygiene / safety,12.0,10.0,11.0,14.0,25050.0,46385.14
2014-04-01,2015-03-31,animal welfare / cattle id / abp,3.0,1.0,1.0,1.0,3500.0,3349.0
2015-04-01,2016-03-31,food hygiene / safety,8.0,7.0,8.0,10.0,24300.0,43955.82
2015-04-01,2016-03-31,animal welfare / cattle id / abp,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2017-03-31,food hygiene / safety,7.0,7.0,7.0,7.0,32900.0,14839.0
2016-04-01,2017-03-31,animal welfare / cattle id / abp,5.0,5.0,6.0,5.0,11140.0,16339.26
