Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Date,Merchant Name,Item Description,Sum of Line Value
28/072020,PPL PRS LTD,Annual Music licence for 2020/ 21 ,2263
09/07/2020,ADOBE PS CREATIVE CLD,Adobe CreativeCloud subscription,1477
09/08/2020,ADOBE PS CREATIVE CLD,Adobe CreativeCloud subscription,"1,474"
18/06/2020,APPLIANCEDIRECT CO,Television ,1320
15/07/2020,BUNZL CLEANING & HYGIE,Face visors and hands free bulk dispensers ,1208
15/06/2020,BAR CODE DATA LTD,Bar-code scanners,886
01/07/2020,SP * SHOPIFY HARDWARE,Shopify Hardware,808
22/06/2020,SP * CREWELWORK.COM,Goods for retail sale,638
13/07/2020,FIRSTAID4LESS.CO.UK,Disposable gloves ,637
13/07/2020,AMAZON.CO.UK*VG9GK4B45 AM,Disposable gloves ,544
29/07/2020,PROTECTIVEMASKSD,Masks,528
29/07/2020,COLOURPOINT LITHO LIMI,condolence boks leather bound ,517
