Ref,Asset Title,Description
FSA 01/01,FSA Board,FSA Board and Business Committee Records - Minutes papers meeting organisation and membership details.  Also subgroup Audit and Risk Assurance Committee;;Includes: FSA Board expenses gifts and hospitality 
FSA 01/02,FSA Strategic Plan,Papers relating to development & monitoring of the FSA's current and old Strategic Plans and other strategic decision making; includes papers relating to Horizon Scanning
FSA 01/03,Executive Management Team,Papers and Minutes from the monthly Executive Management Team meetings held on the monthly basis
FSA 01/04,Honours and Awards,Queens Honours Queens Award for Industry - Names & Addressed (people and business) Health checks on businesses.  FSA Citations.
FSA 01/05,Complaints,FSA's records of complaints made to the FSA.  It includes complainants names and addresses and contact details.
FSA 01/06,NIFAC (Northern Ireland Food Advisory Committee),NIFAC Records - Minutes papers meeting organisation and membership details
FSA 01/07,WFAC (Welsh Food Advisory Committee),WFAC Records - Minutes papers meeting organisation and membership details
FSA 01/08,Internal Whistleblowing referrals,FSA's records of referrals made to the FSA by FSA staff.  Holds sensitive information on whistleblowers: complainants names and details of potential breaches of the Civil Service Code fraud etc.
FSA 02/01,Business Continuity Plans,Gold & Silver Business Continuity Plans Divisional Plans Individual Building Plans (may be changing in next few years due to OWOW)
FSA 02/02,Organisational Performance,Corporate performance information supporting the generation of quarterly performance reports to EMT and FSA Board in relation to progress with delivery of the Agency's strategic outcomes.  Also includes copies of the finalised Reports themselves which are considered at the FSA Board's Open meetings.
FSA 02/03,Risk Management,High Level Risk Register for the FSA and supporting information taken into account during its creation and subsequent updates; information and papers supporting Risk Committee discussions on risk and business continuity.
FSA 02/04,Business Planning,Business planning guidance and information; individual team and corporate business plan
FSA 03/01,ACMSF (Advisory Committee on the Microbiological Safety of Food ),ACMSF Records - Minutes papers meeting organisation and membership details
FSA 03/02,ACAF (Advisory Committee on Animal Feedingstuffs),ACAF Records - Minutes papers meeting organisation and membership details
FSA 03/03,ACNFP (Advisory Committee on Novel Foods and Processes),ACNFP Records - Minutes papers meeting organisation and membership details
FSA 03/04,COT (Committee on Toxicity),COT Records - Minutes papers meeting organisation and membership details
FSA 03/05,GACS (General Advisory Committee on Science ),GACS Records - Minutes papers meeting organisation and membership details - plus subgroups
FSA 03/06,SSRC (Social Science Research Committee),SSRC Records - Minutes papers meeting organisation and membership details plus subgroups
FSA 03/07,FSA Science Council,FSA Science Council Records - Minutes papers meeting organisation and membership details - plus subgroups [note the Council will be established in approx March 2017 and will supersede the GACS]
FSA 04/01,Policy Development Records - Contaminants & Residues,Records of Policy Development - includes enquiries briefings projects and reference material;;Specific Datasets: ;- Results of researches & surveys (published as Food Surveillance Information sheets or as research report);- Industry/OGD owned  contaminants data (sent to EFSA - approx 15-16 datasets for contaminants - single or groups of);
FSA 04/02,Policy Development Records - Meat Hygiene,Records of Policy Development - includes enquiries briefings projects and reference material;;Specific Datasets:- Current and Future Meat Controls Stakeholder Group and associated task groups;- 3rd party industry data (analysed for approval of processes);- Mailing lists;
