MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
Jan-17,1.0,Deputy IT Security Officer,External Requester ,Security
Jan-17,2.0,Information Architect,External Requester ,Records Management - Wisdom
Jan-17,3.0,Deputy IT Security Officer,External Requester ,Information Governance
Jan-17,4.0,Information & security Team Leader,External Requester ,Information Governance
Jan-17,5.0,Deputy IT Security Officer,External Requester ,Information Governance
Jan-17,6.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jan-17,7.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jan-17,8.0,Information Architect,Wales and Local Delivery,Records Management - Wisdom
Jan-17,9.0,Security Manager,Openness Data and Digital,Security
Jan-17,10.0,Security Manager,External Requester ,Security
Jan-17,11.0,Security Manager,External Requester ,Security
Jan-17,12.0,Security Manager,External Requester ,Security
Jan-17,13.0,Information Architect,External Requester ,Security
Jan-17,14.0,Security Manager,Operations,Security
Jan-17,15.0,Security Manager,External Requester ,Information Governance
Jan-17,16.0,Security Manager,External Requester ,Information Governance
Jan-17,17.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Jan-17,18.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,19.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,20.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,21.0,Information Architect,Policy and Science,Records Management - Wisdom
Jan-17,22.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,23.0,Information Governance Manager,External Requester ,Information Governance
Jan-17,24.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,25.0,Security Manager,Regulatory and Legal Strategy,Security
Jan-17,26.0,Security Manager,Operations,Security
Jan-17,27.0,Deputy IT Security Officer,External Requester ,Security
Jan-17,28.0,Information Governance Manager,Policy and Science,Information Governance
Jan-17,29.0,Information Architect,External Requester ,Records Management - Other
Jan-17,30.0,Information Architect,External Requester ,Records Management - Wisdom
Jan-17,31.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jan-17,32.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Jan-17,33.0,Deputy IT Security Officer,External Requester ,Security
