DfENumber,SchoolName,Year,NetCapacity
8162000,Acomb Primary,2002,315
8164702,All Saints' RC,2002,1070
8164500,Archbishop Holgate's CE,2002,809
8163229,Archbishop of York's CE Junior,2002,200
8162431,Badger Hill Primary,2002,156
8162386,Bishopthorpe Infant,2002,150
8164227,Burnholme Community College,2002,707
8162024,Burton Green Primary,2002,169
8164003,Canon Lee,2002,905
8162003,Carr Infant,2002,205
8162002,Carr Junior,2002,360
8162018,Clifton Green Primary,2002,420
8162253,Clifton Without Junior,2002,310
8162013,Copmanthorpe Primary,2002,419
8162006,Derwent Infant,2002,90
8162005,Derwent Junior,2002,150
8162007,Dringhouses Primary,2002,350
8163151,Dunnington CE Primary,2002,210
8163152,Elvington CE Primary,2002,157
8163400,English Martyrs' RC Primary,2002,210
8162008,Fishergate Primary,2002,278
8164153,Fulford Secondary,2002,1108
8162009,Haxby Road Primary,2002,420
8162241,Headlands Primary,2002,350
8162001,Hempland Primary,2002,420
8163302,Heworth CE Primary,2002,128
8162028,Hob Moor Community Primary,2002,504
8162180,Huntington Primary,2002,420
8164063,Huntington Secondary,2002,1456
8164508,Joseph Rowntree,2002,1309
8162011,Knavesmire Primary,2002,262
8162428,Lakeside Primary,2002,390
8163158,Lord Deramore's Primary,2002,256
8164228,Lowfield,2002,700
8164602,Manor CE Secondary,2002,620
8164229,Millthorpe Secondary,2002,1102
8163159,Naburn CE Primary,2002,70
8163901,New Earswick Primary,2002,350
8164226,Oaklands,2002,810
8162176,Osbaldwick Primary,2002,208
8163404,Our Lady's RC Primary,2002,264
8162012,Park Grove Primary,2002,280
8162029,Poppleton Ousebank Primary,2002,405
8162014,Poppleton Road Primary,2002,455
8162058,Ralph Butterfield Primary,2002,300
8162201,Rawcliffe Infant & Nursery,2002,270
8163212,Robert Wilkinson Primary,2002,490
8162349,Rufforth Primary,2002,60
8162016,Scarcroft Primary,2002,303
8162169,Skelton Primary,2002,150
8163401,St Aelred's RC Primary,2002,267
8163002,St Barnabas' CE Primary,2002,142
8163402,St George's RC Primary,2002,193
8163305,St Lawrence's CE Primary,2002,210
8163222,St Mary's CE Primary,2002,105
8163156,St Oswald's CE Primary,2002,293
8163003,St Paul's CE Primary,2002,156
8163403,St Wilfrid's RC Primary,2002,267
8162227,Stockton on the Forest Primary,2002,86
8162429,Tang Hall Primary,2002,360
8162017,Westfield Primary,2002,656
8163380,Wheldrake with Thorganby CE Primary,2002,210
8162240,Wigginton Primary,2002,253
8162027,Woodthorpe Primary,2002,630
8162015,Yearsley Grove Primary,2002,471
8162000,Acomb Primary,2003,315
8164702,All Saints' RC,2003,1149
8164500,Archbishop Holgate's CE,2003,814
8163229,Archbishop of York's CE Junior,2003,200
8162431,Badger Hill Primary,2003,180
8162386,Bishopthorpe Infant,2003,150
8164227,Burnholme Community College,2003,650
8162024,Burton Green Primary,2003,239
8164003,Canon Lee,2003,902
8162003,Carr Infant,2003,204
8162002,Carr Junior,2003,321
8162018,Clifton Green Primary,2003,360
8162253,Clifton Without Junior,2003,280
8162013,Copmanthorpe Primary,2003,388
8162006,Derwent Infant,2003,90
8162005,Derwent Junior,2003,120
8162007,Dringhouses Primary,2003,315
8163151,Dunnington CE Primary,2003,210
8163152,Elvington CE Primary,2003,157
8163400,English Martyrs' RC Primary,2003,210
8162008,Fishergate Primary,2003,210
8164153,Fulford Secondary,2003,1351
8162009,Haxby Road Primary,2003,420
8162241,Headlands Primary,2003,265
8162001,Hempland Primary,2003,420
8163302,Heworth CE Primary,2003,128
8162028,Hob Moor Community Primary,2003,314
8162180,Huntington Primary,2003,420
8164063,Huntington Secondary,2003,1518
8164508,Joseph Rowntree,2003,1305
8162011,Knavesmire Primary,2003,243
8162428,Lakeside Primary,2003,360
8163158,Lord Deramore's Primary,2003,253
8164228,Lowfield,2003,700
8164602,Manor CE Secondary,2003,664
8164229,Millthorpe Secondary,2003,1050
