Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,AnteMortem,Diarrhoea,2020-10,England,2.0,139261.0,125.0,0.001
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-10,England,12.0,139261.0,125.0,0.009
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-11,England,7.0,140191.0,125.0,0.005
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,AnteMortem,Lameness – Foot Lesion(s),2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Localised Swelling/Lumps,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,Carcases,Abscesses – Forequarters,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,Carcases,Abscesses – Forequarters,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,Carcases,Bruising,2020-10,England,13.0,139261.0,125.0,0.009
Cattle,Carcases,Bruising,2020-11,England,11.0,140191.0,125.0,0.008
Cattle,Carcases,Bruising,2020-12,England,4.0,123531.0,121.0,0.003
Cattle,Carcases,Contamination,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,Carcases,Contamination,2020-11,England,2.0,140191.0,125.0,0.001
Cattle,Carcases,Contamination,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,Carcases,Joint Lesions (Incl. Arthritis),2020-11,England,3.0,140191.0,125.0,0.002
Cattle,Carcases,Other,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,Carcases,Other,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,Offal,Contamination,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,Offal,Contamination,2020-12,England,6.0,123531.0,121.0,0.005
Cattle,Offal,Fluke Immature,2020-11,England,3.0,140191.0,125.0,0.002
Cattle,Offal,Fluke Immature,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,Offal,Fluke Mature,2020-10,England,21.0,139261.0,125.0,0.015
Cattle,Offal,Fluke Mature,2020-11,England,11.0,140191.0,125.0,0.008
Cattle,Offal,Fluke Mature,2020-12,England,5.0,123531.0,121.0,0.004
Cattle,Offal,Hepatic Scarring,2020-10,England,10.0,139261.0,125.0,0.007
Cattle,Offal,Hepatic Scarring,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,Offal,Liver Abscesses,2020-10,England,16.0,139261.0,125.0,0.011
Cattle,Offal,Liver Abscesses,2020-12,England,3.0,123531.0,121.0,0.002
Cattle,Offal,Other,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,Offal,Other,2020-11,England,4.0,140191.0,125.0,0.003
Cattle,Offal,Other,2020-12,England,6.0,123531.0,121.0,0.005
Cattle,Offal,Pleurisy,2020-10,England,15.0,139261.0,125.0,0.011
Cattle,Offal,Pleurisy,2020-12,England,7.0,123531.0,121.0,0.006
Cattle,Offal,Pneumonia,2020-10,England,18.0,139261.0,125.0,0.013
Cattle,Offal,Pneumonia,2020-11,England,2.0,140191.0,125.0,0.001
Cattle,Offal,Pneumonia,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,Offal,Traumatic Pericarditis,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,Total Rejections,Other,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,Total Rejections,Septicaemia / Fever,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,Total Rejections,Septicaemia / Fever,2020-11,England,1.0,140191.0,125.0,0.001
Deer,Conditions,Cirrhosis,2020-10,England,3.0,672.0,7.0,0.446
Deer,Conditions,Contamination,2020-10,England,17.0,672.0,7.0,2.53
Deer,Conditions,Contamination,2020-11,England,9.0,508.0,10.0,1.772
Deer,Conditions,Contamination,2020-12,England,7.0,260.0,9.0,2.692
Deer,Conditions,Contamination,2020-12,Wales,1.0,24.0,1.0,4.167
Deer,Conditions,Fascioliasis (fluke),2020-10,England,28.0,672.0,7.0,4.167
Deer,Conditions,Fascioliasis (fluke),2020-11,England,8.0,508.0,10.0,1.575
Deer,Conditions,Fascioliasis (fluke),2020-12,England,4.0,260.0,9.0,1.538
Deer,Conditions,Fascioliasis (fluke),2020-10,Wales,1.0,18.0,1.0,5.556
Deer,Conditions,Joint Lesions,2020-12,Wales,1.0,24.0,1.0,4.167
Deer,Conditions,Trauma,2020-10,England,1.0,672.0,7.0,0.149
Deer,Conditions,Trauma,2020-12,England,2.0,260.0,9.0,0.769
Large Wild Game,Conditions,Cirrhosis,2020-10,England,2.0,3058.0,22.0,0.065
Large Wild Game,Conditions,Contamination,2020-10,England,90.0,3058.0,22.0,2.943
Large Wild Game,Conditions,Contamination,2020-10,England,1.0,3058.0,22.0,0.033
Large Wild Game,Conditions,Contamination,2020-11,England,12.0,4135.0,23.0,0.29
Large Wild Game,Conditions,Contamination,2020-11,England,114.0,4135.0,23.0,2.757
Large Wild Game,Conditions,Contamination,2020-12,England,154.0,3439.0,22.0,4.478
Large Wild Game,Conditions,Fascioliasis (fluke),2020-10,England,32.0,3058.0,22.0,1.046
Large Wild Game,Conditions,Fascioliasis (fluke),2020-11,England,27.0,4135.0,23.0,0.653
Large Wild Game,Conditions,Fascioliasis (fluke),2020-12,England,22.0,3439.0,22.0,0.64
Large Wild Game,Conditions,Generalised Tuberculosis (suspect) *,2020-12,England,6.0,3439.0,22.0,0.174
Large Wild Game,Conditions,Joint Lesions,2020-10,England,3.0,3058.0,22.0,0.098
Large Wild Game,Conditions,Joint Lesions,2020-10,England,1.0,3058.0,22.0,0.033
Large Wild Game,Conditions,Joint Lesions,2020-12,England,2.0,3439.0,22.0,0.058
Large Wild Game,Conditions,Localised Tuberculosis (suspect) *,2020-12,England,1.0,3439.0,22.0,0.029
Large Wild Game,Conditions,Oedema / Emaciation,2020-11,England,1.0,4135.0,23.0,0.024
Large Wild Game,Conditions,Oedema / Emaciation,2020-11,England,1.0,4135.0,23.0,0.024
Large Wild Game,Conditions,Oedema / Emaciation,2020-12,England,1.0,3439.0,22.0,0.029
Large Wild Game,Conditions,Trauma,2020-10,England,130.0,3058.0,22.0,4.251
Large Wild Game,Conditions,Trauma,2020-10,England,3.0,3058.0,22.0,0.098
Large Wild Game,Conditions,Trauma,2020-11,England,361.0,4135.0,23.0,8.73
Large Wild Game,Conditions,Trauma,2020-12,England,492.0,3439.0,22.0,14.306
Large Wild Game,Conditions,Warble Fly,2020-11,England,3.0,4135.0,23.0,0.073
Large Wild Game,Conditions,Warble Fly,2020-12,England,8.0,3439.0,22.0,0.233
Small wild game in feather,Conditions,Abnormal Smell, Colour,2020-10,England,1987.0,150781.0,19.0,1.318
Small wild game in feather,Conditions,Abnormal Smell, Colour,2020-10,England,30.0,150781.0,19.0,0.02
Small wild game in feather,Conditions,Abnormal Smell, Colour,2020-11,England,18.0,78595.0,18.0,0.023
Small wild game in feather,Conditions,Abnormal Smell, Colour,2020-11,England,282.0,78595.0,18.0,0.359
Small wild game in feather,Conditions,Abnormal Smell, Colour,2020-12,England,91.0,155679.0,20.0,0.058
Small wild game in feather,Conditions,Abnormal Smell, Colour,2020-12,England,294.0,155679.0,20.0,0.189
Small wild game in feather,Conditions,Ascites/Oedema,2020-10,England,129.0,150781.0,19.0,0.086
Small wild game in feather,Conditions,Ascites/Oedema,2020-11,England,1.0,78595.0,18.0,0.001
Small wild game in feather,Conditions,Ascites/Oedema,2020-12,England,3.0,155679.0,20.0,0.002
Small wild game in feather,Conditions,Contamination,2020-10,England,47.0,150781.0,19.0,0.031
Small wild game in feather,Conditions,Contamination,2020-10,England,663.0,150781.0,19.0,0.44
Small wild game in feather,Conditions,Contamination,2020-11,England,1.0,78595.0,18.0,0.001
Small wild game in feather,Conditions,Contamination,2020-11,England,370.0,78595.0,18.0,0.471
Small wild game in feather,Conditions,Contamination,2020-12,England,111.0,155679.0,20.0,0.071
Small wild game in feather,Conditions,Contamination,2020-12,England,397.0,155679.0,20.0,0.255
Small wild game in feather,Conditions,Emaciation/Cachexia,2020-10,England,9.0,150781.0,19.0,0.006
Small wild game in feather,Conditions,Emaciation/Cachexia,2020-10,England,112.0,150781.0,19.0,0.074
Small wild game in feather,Conditions,Emaciation/Cachexia,2020-11,England,1.0,78595.0,18.0,0.001
Small wild game in feather,Conditions,Emaciation/Cachexia,2020-11,England,40.0,78595.0,18.0,0.051
Small wild game in feather,Conditions,Emaciation/Cachexia,2020-12,England,60.0,155679.0,20.0,0.039
Small wild game in feather,Conditions,Emaciation/Cachexia,2020-12,England,14.0,155679.0,20.0,0.009
Small wild game in feather,Conditions,Missing Viscera,2020-10,England,3.0,150781.0,19.0,0.002
Small wild game in feather,Conditions,Trauma,2020-10,England,33.0,150781.0,19.0,0.022
Small wild game in feather,Conditions,Trauma,2020-10,England,1496.0,150781.0,19.0,0.992
Small wild game in feather,Conditions,Trauma,2020-11,England,367.0,78595.0,18.0,0.467
Small wild game in feather,Conditions,Trauma,2020-11,England,140.0,78595.0,18.0,0.178
Small wild game in feather,Conditions,Trauma,2020-12,England,404.0,155679.0,20.0,0.26
Small wild game in feather,Conditions,Trauma,2020-12,England,579.0,155679.0,20.0,0.372
Small wild game in fur,Conditions,Contamination,2020-10,England,3.0,3941.0,8.0,0.076
Small wild game in fur,Conditions,Contamination,2020-10,England,5.0,3941.0,8.0,0.127
Small wild game in fur,Conditions,Trauma,2020-10,England,2.0,3941.0,8.0,0.051
Small wild game in fur,Conditions,Trauma,2020-10,England,8.0,3941.0,8.0,0.203
Small wild game in fur,Conditions,Trauma,2020-12,England,12.0,653.0,3.0,1.838
Solipeds,AnteMortem,Lameness - Joint Lesion(s),2020-10,England,1.0,110.0,1.0,0.909
Solipeds,AnteMortem,Other,2020-10,England,1.0,110.0,1.0,0.909
Solipeds,Carcase,Contamination,2020-12,England,15.0,150.0,1.0,10.0
Solipeds,Offal,Contamination,2020-10,England,10.0,110.0,1.0,9.091
Solipeds,Offal,Contamination,2020-11,England,2.0,113.0,2.0,1.77
Solipeds,Offal,Hepatic Scarring,2020-10,England,7.0,110.0,1.0,6.364
Solipeds,Offal,Hepatic Scarring,2020-11,England,1.0,113.0,2.0,0.885
Solipeds,Offal,Lung Abscesses,2020-11,England,2.0,113.0,2.0,1.77
Solipeds,Offal,Lung Worm,2020-10,England,6.0,110.0,1.0,5.455
Solipeds,Offal,Lung Worm,2020-11,England,3.0,113.0,2.0,2.655
Solipeds,Offal,Lung Worm,2020-12,England,1.0,150.0,1.0,0.667
Solipeds,Offal,Other,2020-10,England,17.0,110.0,1.0,15.455
Solipeds,Offal,Other,2020-11,England,32.0,113.0,2.0,28.319
Solipeds,Offal,Other,2020-12,England,38.0,150.0,1.0,25.333
Solipeds,Offal,Pneumonia Mycoplasma like,2020-11,England,5.0,113.0,2.0,4.425
Solipeds,Offal,Pneumonia Mycoplasma like,2020-12,England,11.0,150.0,1.0,7.333
Solipeds,Offal,Pneumonia Pasteurella like,2020-10,England,6.0,110.0,1.0,5.455
Solipeds,Offal,Pneumonia Pasteurella like,2020-12,England,3.0,150.0,1.0,2.0
Solipeds,Total Rejection,Emaciation/Generalised Oedema,2020-10,England,2.0,110.0,1.0,1.818
Solipeds,Total Rejection,Emaciation/Generalised Oedema,2020-11,England,1.0,113.0,2.0,0.885
Solipeds,Total Rejection,Multiple Abscesses/Pyaemia,2020-10,England,1.0,110.0,1.0,0.909
Solipeds,Total Rejection,Other,2020-10,England,2.0,110.0,1.0,1.818
