Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-10,England,432.0,805166.0,85.0,0.054
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-11,England,303.0,750936.0,86.0,0.04
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-12,England,246.0,743470.0,85.0,0.033
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-10,Wales,1.0,2357.0,9.0,0.042
Pigs,AnteMortem,Abnormal Respiratory Signs,2020-12,Wales,3.0,1881.0,9.0,0.159
Pigs,AnteMortem,Dead in Lairage ,2020-10,England,21.0,805166.0,85.0,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-10,England,23.0,805166.0,85.0,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-11,England,21.0,750936.0,86.0,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-11,England,13.0,750936.0,86.0,0.002
Pigs,AnteMortem,Dead in Lairage ,2020-12,England,20.0,743470.0,85.0,0.003
Pigs,AnteMortem,Dead in Lairage ,2020-12,England,25.0,743470.0,85.0,0.003
Pigs,AnteMortem,Dead on Arrival,2020-10,England,29.0,805166.0,85.0,0.004
Pigs,AnteMortem,Dead on Arrival,2020-10,England,45.0,805166.0,85.0,0.006
Pigs,AnteMortem,Dead on Arrival,2020-11,England,42.0,750936.0,86.0,0.006
Pigs,AnteMortem,Dead on Arrival,2020-11,England,35.0,750936.0,86.0,0.005
Pigs,AnteMortem,Dead on Arrival,2020-12,England,42.0,743470.0,85.0,0.006
Pigs,AnteMortem,Dead on Arrival,2020-12,England,31.0,743470.0,85.0,0.004
Pigs,AnteMortem,Dead on Arrival,2020-11,Wales,1.0,2424.0,9.0,0.041
Pigs,AnteMortem,Dead on Arrival,2020-11,Wales,1.0,2424.0,9.0,0.041
Pigs,AnteMortem,Dead on Arrival,2020-12,Wales,3.0,1881.0,9.0,0.159
Pigs,AnteMortem,Dead on Arrival,2020-12,Wales,3.0,1881.0,9.0,0.159
Pigs,AnteMortem,Distress,2020-10,England,3.0,805166.0,85.0,0.0
Pigs,AnteMortem,Distress,2020-10,England,13.0,805166.0,85.0,0.002
Pigs,AnteMortem,Distress,2020-11,England,25.0,750936.0,86.0,0.003
Pigs,AnteMortem,Distress,2020-11,England,4.0,750936.0,86.0,0.001
Pigs,AnteMortem,Distress,2020-12,England,32.0,743470.0,85.0,0.004
Pigs,AnteMortem,Distress,2020-12,England,1.0,743470.0,85.0,0.0
Pigs,AnteMortem,Fight/Bite Wounds,2020-10,England,1472.0,805166.0,85.0,0.183
Pigs,AnteMortem,Fight/Bite Wounds,2020-11,England,1332.0,750936.0,86.0,0.177
Pigs,AnteMortem,Fight/Bite Wounds,2020-12,England,1193.0,743470.0,85.0,0.16
Pigs,AnteMortem,Hernia/Rupture,2020-10,England,1531.0,805166.0,85.0,0.19
Pigs,AnteMortem,Hernia/Rupture,2020-11,England,1418.0,750936.0,86.0,0.189
Pigs,AnteMortem,Hernia/Rupture,2020-12,England,1518.0,743470.0,85.0,0.204
Pigs,AnteMortem,Hernia/Rupture,2020-10,Wales,2.0,2357.0,9.0,0.085
Pigs,AnteMortem,Hernia/Rupture,2020-12,Wales,1.0,1881.0,9.0,0.053
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-10,England,106.0,805166.0,85.0,0.013
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-11,England,161.0,750936.0,86.0,0.021
Pigs,AnteMortem,Lameness – Foot Lesion(s),2020-12,England,78.0,743470.0,85.0,0.01
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,England,199.0,805166.0,85.0,0.025
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,England,5.0,805166.0,85.0,0.001
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-11,England,123.0,750936.0,86.0,0.016
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-12,England,110.0,743470.0,85.0,0.015
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-12,England,1.0,743470.0,85.0,0.0
Pigs,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,Wales,1.0,2357.0,9.0,0.042
Pigs,AnteMortem,Lameness – Not Defined,2020-10,England,433.0,805166.0,85.0,0.054
Pigs,AnteMortem,Lameness – Not Defined,2020-11,England,340.0,750936.0,86.0,0.045
Pigs,AnteMortem,Lameness – Not Defined,2020-12,England,355.0,743470.0,85.0,0.048
Pigs,AnteMortem,Lameness – Not Defined,2020-12,England,1.0,743470.0,85.0,0.0
Pigs,AnteMortem,Localised Swelling/Lumps,2020-10,England,638.0,805166.0,85.0,0.079
Pigs,AnteMortem,Localised Swelling/Lumps,2020-11,England,577.0,750936.0,86.0,0.077
Pigs,AnteMortem,Localised Swelling/Lumps,2020-12,England,609.0,743470.0,85.0,0.082
Pigs,AnteMortem,Mastitis,2020-10,England,32.0,805166.0,85.0,0.004
Pigs,AnteMortem,Mastitis,2020-11,England,20.0,750936.0,86.0,0.003
Pigs,AnteMortem,Mastitis,2020-12,England,29.0,743470.0,85.0,0.004
Pigs,AnteMortem,Moribund/Recumbent,2020-10,England,1.0,805166.0,85.0,0.0
Pigs,AnteMortem,Moribund/Recumbent,2020-12,England,1.0,743470.0,85.0,0.0
Pigs,AnteMortem,Moribund/Recumbent,2020-12,England,3.0,743470.0,85.0,0.0
Pigs,AnteMortem,Open Wound,2020-10,England,36.0,805166.0,85.0,0.004
Pigs,AnteMortem,Open Wound,2020-10,England,1.0,805166.0,85.0,0.0
Pigs,AnteMortem,Open Wound,2020-11,England,33.0,750936.0,86.0,0.004
Pigs,AnteMortem,Open Wound,2020-12,England,29.0,743470.0,85.0,0.004
Pigs,AnteMortem,Orchitis,2020-10,England,37.0,805166.0,85.0,0.005
Pigs,AnteMortem,Orchitis,2020-10,England,2.0,805166.0,85.0,0.0
Pigs,AnteMortem,Orchitis,2020-11,England,34.0,750936.0,86.0,0.005
Pigs,AnteMortem,Orchitis,2020-12,England,21.0,743470.0,85.0,0.003
Pigs,AnteMortem,Other ,2020-10,England,112.0,805166.0,85.0,0.014
Pigs,AnteMortem,Other ,2020-10,England,11.0,805166.0,85.0,0.001
Pigs,AnteMortem,Other ,2020-11,England,181.0,750936.0,86.0,0.024
Pigs,AnteMortem,Other ,2020-11,England,3.0,750936.0,86.0,0.0
Pigs,AnteMortem,Other ,2020-12,England,313.0,743470.0,85.0,0.042
Pigs,AnteMortem,Other ,2020-12,England,3.0,743470.0,85.0,0.0
Pigs,AnteMortem,Rectal Prolapse,2020-10,England,96.0,805166.0,85.0,0.012
Pigs,AnteMortem,Rectal Prolapse,2020-11,England,128.0,750936.0,86.0,0.017
Pigs,AnteMortem,Rectal Prolapse,2020-12,England,133.0,743470.0,85.0,0.018
Pigs,AnteMortem,Skin Condition,2020-10,England,48.0,805166.0,85.0,0.006
Pigs,AnteMortem,Skin Condition,2020-11,England,52.0,750936.0,86.0,0.007
Pigs,AnteMortem,Skin Condition,2020-12,England,26.0,743470.0,85.0,0.003
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2020-10,England,125.0,805166.0,85.0,0.016
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2020-10,England,37.0,805166.0,85.0,0.005
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2020-11,England,17.0,750936.0,86.0,0.002
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2020-11,England,122.0,750936.0,86.0,0.016
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2020-12,England,19.0,743470.0,85.0,0.003
Pigs,AnteMortem,Slaughtered in Lairage – Intended for HC,2020-12,England,98.0,743470.0,85.0,0.013
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-10,England,8.0,805166.0,85.0,0.001
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-10,England,56.0,805166.0,85.0,0.007
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-11,England,68.0,750936.0,86.0,0.009
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-11,England,5.0,750936.0,86.0,0.001
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-12,England,62.0,743470.0,85.0,0.008
Pigs,AnteMortem,Suspect Emaciation/Poor Condition,2020-12,England,3.0,743470.0,85.0,0.0
Pigs,AnteMortem,Suspect Notifiable Diseases ,2020-10,England,2.0,805166.0,85.0,0.0
Pigs,AnteMortem,Tail Bite (AM),2020-10,England,1.0,805166.0,85.0,0.0
Pigs,AnteMortem,Tail Bite (AM),2020-10,England,2524.0,805166.0,85.0,0.313
Pigs,AnteMortem,Tail Bite (AM),2020-11,England,2413.0,750936.0,86.0,0.321
Pigs,AnteMortem,Tail Bite (AM),2020-12,England,2081.0,743470.0,85.0,0.28
Pigs,AnteMortem,Tail Bite (AM),2020-10,Wales,2.0,2357.0,9.0,0.085
Pigs,AnteMortem,Twisted Snout,2020-11,England,7.0,750936.0,86.0,0.001
Pigs,AnteMortem,Twisted Snout,2020-12,England,2.0,743470.0,85.0,0.0
Pigs,Carcases,Abscess - Multiple,2020-10,England,198.0,805166.0,85.0,0.025
Pigs,Carcases,Abscess - Multiple,2020-11,England,241.0,750936.0,86.0,0.032
Pigs,Carcases,Abscess - Multiple,2020-12,England,161.0,743470.0,85.0,0.022
Pigs,Carcases,Abscess - Single,2020-10,England,9684.0,805166.0,85.0,1.203
Pigs,Carcases,Abscess - Single,2020-11,England,9065.0,750936.0,86.0,1.207
Pigs,Carcases,Abscess - Single,2020-12,England,8600.0,743470.0,85.0,1.157
Pigs,Carcases,Abscess - Single,2020-10,Wales,1.0,2357.0,9.0,0.042
Pigs,Carcases,Abscess - Single,2020-11,Wales,1.0,2424.0,9.0,0.041
Pigs,Carcases,Contamination,2020-10,England,31008.0,805166.0,85.0,3.851
Pigs,Carcases,Contamination,2020-11,England,30846.0,750936.0,86.0,4.108
Pigs,Carcases,Contamination,2020-12,England,32514.0,743470.0,85.0,4.373
Pigs,Carcases,Erysipelas Skin Like,2020-10,England,706.0,805166.0,85.0,0.088
Pigs,Carcases,Erysipelas Skin Like,2020-11,England,636.0,750936.0,86.0,0.085
Pigs,Carcases,Erysipelas Skin Like,2020-12,England,544.0,743470.0,85.0,0.073
Pigs,Carcases,Erysipelas Skin Like,2020-11,Wales,3.0,2424.0,9.0,0.124
Pigs,Carcases,Fight Marks,2020-10,England,677.0,805166.0,85.0,0.084
Pigs,Carcases,Fight Marks,2020-11,England,701.0,750936.0,86.0,0.093
Pigs,Carcases,Fight Marks,2020-12,England,698.0,743470.0,85.0,0.094
Pigs,Carcases,Fight Marks,2020-10,Wales,11.0,2357.0,9.0,0.467
Pigs,Carcases,Fight Marks,2020-11,Wales,9.0,2424.0,9.0,0.371
Pigs,Carcases,Generalised Tuberculosis (suspect) *,2020-11,England,1.0,750936.0,86.0,0.0
Pigs,Carcases,Joint Lesion - Mulitple,2020-10,England,494.0,805166.0,85.0,0.061
Pigs,Carcases,Joint Lesion - Mulitple,2020-11,England,556.0,750936.0,86.0,0.074
Pigs,Carcases,Joint Lesion - Mulitple,2020-12,England,699.0,743470.0,85.0,0.094
Pigs,Carcases,Joint Lesion - Single,2020-10,England,3167.0,805166.0,85.0,0.393
Pigs,Carcases,Joint Lesion - Single,2020-11,England,3068.0,750936.0,86.0,0.409
Pigs,Carcases,Joint Lesion - Single,2020-12,England,2807.0,743470.0,85.0,0.378
Pigs,Carcases,Joint Lesion - Single,2020-10,Wales,3.0,2357.0,9.0,0.127
Pigs,Carcases,Joint Lesion - Single,2020-11,Wales,6.0,2424.0,9.0,0.248
Pigs,Carcases,Joint Lesion - Single,2020-12,Wales,5.0,1881.0,9.0,0.266
Pigs,Carcases,Localised Tuberculosis (suspect) *,2020-10,England,10.0,805166.0,85.0,0.001
