Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2020-10,England,164766.0,7.1448753E7,45.0,0.231
Broilers,Conditions,Abnormal Colour/Fevered,2020-11,England,162190.0,6.827968E7,44.0,0.238
Broilers,Conditions,Abnormal Colour/Fevered,2020-12,England,177900.0,6.7112465E7,44.0,0.265
Broilers,Conditions,Abnormal Colour/Fevered,2020-10,Wales,14750.0,8210603.0,4.0,0.18
Broilers,Conditions,Abnormal Colour/Fevered,2020-11,Wales,12210.0,8299987.0,4.0,0.147
Broilers,Conditions,Abnormal Colour/Fevered,2020-12,Wales,11850.0,7903454.0,4.0,0.15
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-10,England,31017.0,7.1448753E7,45.0,0.043
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-11,England,44302.0,6.827968E7,44.0,0.065
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-12,England,54537.0,6.7112465E7,44.0,0.081
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-10,Wales,781.0,8210603.0,4.0,0.01
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-11,Wales,794.0,8299987.0,4.0,0.01
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-12,Wales,797.0,7903454.0,4.0,0.01
Broilers,Conditions,Ascites/Oedema,2020-10,England,182859.0,7.1448753E7,45.0,0.256
Broilers,Conditions,Ascites/Oedema,2020-11,England,173981.0,6.827968E7,44.0,0.255
Broilers,Conditions,Ascites/Oedema,2020-12,England,203353.0,6.7112465E7,44.0,0.303
Broilers,Conditions,Ascites/Oedema,2020-10,Wales,27880.0,8210603.0,4.0,0.34
Broilers,Conditions,Ascites/Oedema,2020-11,Wales,32932.0,8299987.0,4.0,0.397
Broilers,Conditions,Ascites/Oedema,2020-12,Wales,31836.0,7903454.0,4.0,0.403
Broilers,Conditions,Bruising/Fractures,2020-10,England,15545.0,7.1448753E7,45.0,0.022
Broilers,Conditions,Bruising/Fractures,2020-10,England,2042.0,7.1448753E7,45.0,0.003
Broilers,Conditions,Bruising/Fractures,2020-11,England,13765.0,6.827968E7,44.0,0.02
Broilers,Conditions,Bruising/Fractures,2020-11,England,1923.0,6.827968E7,44.0,0.003
Broilers,Conditions,Bruising/Fractures,2020-12,England,2380.0,6.7112465E7,44.0,0.004
Broilers,Conditions,Bruising/Fractures,2020-12,England,14805.0,6.7112465E7,44.0,0.022
