DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-12-10,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Ireland,Ireland,Russian Federation,Fishery products,3031200.0,Oncorhynchus Tschawytscha,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,11654.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,10499.0
2020-12-10,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Ireland,Ireland,Russian Federation,Fishery products,3031100.0,Oncorhynchus Nerka,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,1149.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,1035.0
2020-12-10,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Ireland,Ireland,Russian Federation,Fishery products,3031100.0,Oncorhynchus Nerka,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-22,2020.0,4,12.0,22.0,Satisfactory,Satisfactory,1149.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,1035.0
2020-12-10,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Ireland,Ireland,Russian Federation,Fishery products,3031100.0,Oncorhynchus Nerka,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,1149.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,1035.0
2020-12-10,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Ireland,Ireland,Russian Federation,Fishery products,3031200.0,Oncorhynchus Tschawytscha,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,11654.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,10499.0
2020-12-18,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000.0,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Not satisfactory,116.0,Not Done,No,-,-,-,-,-,5. Id: Mis-Match With Documents,2020-12-23,2020.0,4,12.0,23.0,102.0
2020-12-19,Southampton, P,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000.0,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-10,2020.0,4,12.0,10.0,Satisfactory,Satisfactory,21160.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-22,2020.0,4,12.0,22.0,20038.0
2020-12-09,London Gateway,United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990.0,Cephalopholis Sonnerati,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-07,2020.0,4,12.0,7.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,7.0,0.0
2020-12-09,London Gateway,United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990.0,Parupeneus Indicus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-07,2020.0,4,12.0,7.0,-,-,23483.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,7.0,21360.0
2020-12-09,London Gateway,United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3074220.0,Loligo Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-07,2020.0,4,12.0,7.0,-,-,0.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,7.0,0.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Bulgaria,Bulgaria,India,Fishery products,3038990.0,Cephalopholis Sonnerati,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Bulgaria,Bulgaria,India,Fishery products,3038990.0,Parupeneus Indicus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,Bulgaria,Bulgaria,India,Fishery products,3074220.0,Loligo Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,23483.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,21360.0
2020-12-01,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,Pakistan,Animal feed,5119110.0,Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,6300.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-07,2020.0,4,12.0,7.0,6000.0
2020-12-13,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000.0,Bos Taurus,-,-,/,-,-,/,No,Other,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,163.0,Not Done,No,-,-,-,Other,-,-,2020-12-17,2020.0,4,12.0,17.0,1.0
2020-12-04,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000.0,Bos Taurus,-,-,/,-,-,/,No,Other,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,286.0,Not Done,No,-,-,-,Other,-,-,2020-12-04,2020.0,4,12.0,4.0,1.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000.0,Bos Taurus,-,-,/,-,-,/,No,Other,2020-12-14,2020.0,4,12.0,14.0,Satisfactory,Satisfactory,204.0,Not Done,No,-,-,-,Other,-,-,2020-12-14,2020.0,4,12.0,14.0,1.0
