TradingName,Date
MARGARET & STEPHEN GREEN,2019-01-02
W C & W R MARTIN,2019-01-02
M/S P J & E E WHITE & SON,2019-01-02
C J A & L M CRIMP,2019-01-02
B J & S K Thomas,2019-01-02
F G TAPP & SON,2019-01-02
J H WARMAN & SONS,2019-01-02
Williams PFA,2019-01-02
S G LEE & SONS,2019-01-02
F D WRIGHT & SONS,2019-01-02
MESSRS WALSH,2019-01-02
T/A:WJ & KL Dart,2019-01-02
Fen Farm Dairy Limited,2019-01-03
W G BROWN & SONS,2019-01-03
W J ELSTON & SON,2019-01-03
R F HEADON & SON,2019-01-03
MESSRS D A SMOLDON,2019-01-03
R & B J & A M WOOLLACOTT,2019-01-03
H M V Weekes,2019-01-03
M J Frampton & Sons,2019-01-04
J G VEVERS,2019-01-04
W FAIR & SON,2019-01-04
P C & V KENNY FARMING,2019-01-04
T D PRINCE,2019-01-04
T/A: R J GORST,2019-01-04
LE MARCHANT FARMS LTD,2019-01-04
A W Blount & Sons,2019-01-04
Velcourt Limited,2019-01-04
Beckbury Farm,2019-01-04
E S Willis Farms,2019-01-04
J R KNOWLES & SON,2019-01-04
H.K. Hulme and Son,2019-01-04
"T/A: R, R & J Symons",2019-01-04
T/A: Williams Ffordd Las,2019-01-04
R A & S A REED,2019-01-07
Velcourt Limited,2019-01-07
T/A: H K & S B Bennett,2019-01-07
W D Sykes & Partners,2019-01-07
P J & F P Bridge,2019-01-07
R & J TOWNSON,2019-01-07
Fields Farm Ashley Ltd,2019-01-07
MR D W LEA & SON,2019-01-07
A J & J A LOCK,2019-01-07
M/S R C DYMOND & SONS,2019-01-07
T/A: John G George,2019-01-07
J & S W Murch,2019-01-07
LANGBRIDGE FARM PARTNERSHIP,2019-01-08
J & A SPIERINGS,2019-01-08
"W R, C M & SR DAVEY",2019-01-08
W S BURDETT & SON,2019-01-08
"B, RH & C HUGHES",2019-01-08
Richards & Co.,2019-01-08
P G F James,2019-01-08
LANGUNNETT FARM,2019-01-08
T/A: C L Bowles-Jones,2019-01-08
Dolau Ltd,2019-01-08
Ahimsa Dairy Foundation,2019-01-08
J R Brooks Farming / Moat Farm,2019-01-08
T/A: Heath Farm Partnership,2019-01-08
E & G VAUGHAN,2019-01-08
"T/A: LF, AJ & JL Bartlett",2019-01-08
T/A: D R & S M Reed & Son,2019-01-09
T/A: R M Gillbard,2019-01-09
