Department family,Entity,Date of payment,Account description,Directorate,Supplier name,Transaction reference,Invoice number,Amount paid,Description,Supplier Postcode,Supplier Type,Contract Number,Project,Expenditure Type
The National Archives,The National Archives,02/12/2020,Grants paid,Research & Collections,MEDIA ARCHIVE OF CENTRAL ENGLAND,124483.0,33297.0,"15,000.00",Grant payment,LN67TS,Grants paid,,ASD,Programme
The National Archives,The National Archives,02/12/2020,Contracted Services,Digital,OTE CONSULTANTS LTD,124485.0,33306.0,"12,000.00",Assist with migration from Oracle HSM to Versity,LL24 0RL,Other contracted services,,DRI,Programme
The National Archives,The National Archives,02/12/2020,Facilities Management,Operations Directorate,BOUYGUES E&S FM UK LIMITED,124472.0,33308.0,"142,807.73",Core fees for November 2020,BN1 1HG,Accommodation,,Estates,Programme
The National Archives,The National Archives,02/12/2020,Accomodation charge: rates,Operations Directorate,LONDON BOROUGH OF RICHMOND UPON THAMES,124477.0,33309.0,"353,780.00",Business Rates Bill,TW1 3BZ,Accommodation,,Estates,Programme
The National Archives,The National Archives,02/12/2020,Internet Archiving,Digital,MIRRORWEB LIMITED,124482.0,33315.0,"51,271.50",UK Government Web Archive (UKGWA) Services and CCN004. December 2020 payment,M3 2RF,Film & Internet archiving,,Web Archiving,Programme
The National Archives,The National Archives,08/12/2020,Water,Operations Directorate,CASTLE WATER LIMITED,124564.0,33348.0,"12,749.26",Water supply bill,PH10 6AQ,Accommodation,,Estates,Programme
The National Archives,The National Archives,08/12/2020,Records Storage Space Rental,Public Engagement,DEEPSTORE,124571.0,33350.0,"38,498.67",Records Storage Space Rental,CW7 2PA,Accommodation,,Document Services Department,Programme
The National Archives,The National Archives,08/12/2020,Plant and Equipment additions,Operations Directorate,BRYMOR SPECIAL WORKS LTD,124562.0,33377.0,"103,898.11",Construction Phase of Embedded Learning Spaces,PO7 6XP,Equipment additions,,Estates Investment Projects,Programme
The National Archives,The National Archives,08/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124579.0,33381.0,"46,773.00",Editorial.legislation.gov.uk operational improvements,NR3 1QZ,Other contracted services,,Legislation Services,Programme
The National Archives,The National Archives,08/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124579.0,33382.0,"13,200.00",Redesign for legislation on legislation.gov.uk,NR3 1QZ,Other contracted services,,BREXIT,Programme
The National Archives,The National Archives,08/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124579.0,33383.0,"16,900.00",Redesign for legislation on legislation.gov.uk,NR3 1QZ,Other contracted services,,BREXIT,Programme
The National Archives,The National Archives,08/12/2020,IT Maintenance & Support - Software,Digital,THE STATIONERY OFFICE LTD,124579.0,33385.0,"11,040.00",www.legislation.gov.uk Ontotext Graph licence renewal ,NR3 1QZ,IT maintenance,,Legislation Services,Programme
The National Archives,The National Archives,08/12/2020,IT Maintenance & Support - Software,Digital,SOFTCAT LIMITED,124580.0,33388.0,"53,731.26",Subscription Renewal,SL71LW,IT maintenance,,DRI,Programme
The National Archives,The National Archives,15/12/2020,Electricity,Operations Directorate,EDF ENERGY,124658.0,33405.0,"56,449.83",Electricity supply,PL3 5XQ,Accommodation,,Estates,Programme
The National Archives,The National Archives,15/12/2020,Furniture and equipment,Operations Directorate,ALEX MANNING,124636.0,33406.0,"17,938.80",Supply screens for reading rooms,BS308EX,"Minor furniture, equipment and related maintenance",,Estates,Programme
The National Archives,The National Archives,15/12/2020,Furniture and Fittings,Public Engagement,CLICK NETHERFIELD LTD,124642.0,33432.0,"10,459.20",Refurbishment of showcases,EH54 5DE,Equipment additions,,Exhibitions,Programme
The National Archives,The National Archives,15/12/2020,Govt Procurement Card (GPC) purchases,Finance and Commercial,ROYAL BANK OF SCOTLAND PLC,124663.0,33441.0,"27,809.03",Govt Procurement Card (GPC) purchases for Dec 2020,SS99 6YY,Other expenditure,,Finance,Administration
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33449.0,"20,619.00",Editorial.legislation.gov.uk iterations,NR3 1QZ,Other contracted services,,Legislation Services,Programme
The National Archives,The National Archives,22/12/2020,Facilities Management,Operations Directorate,BOUYGUES E&S FM UK LIMITED,124724.0,33462.0,"142,291.73",Core fees for December 2020,BN1 1HG,Accommodation,,Estates,Programme
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33465.0,"22,635.00",Research.legislation.gov.uk iteration 41 to end December 2020,NR3 1QZ,Other contracted services,,Legislation Services,Programme
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33468.0,"18,000.00",Jim Mangiafico work,NR3 1QZ,Other contracted services,,Legislation Services,Programme
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33469.0,"10,684.69",EU legislation on legislation.gov.uk Formex to CLML conversions,NR3 1QZ,Other contracted services,,BREXIT,Programme
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33470.0,"13,200.00",Redesign for legislation on legislation.gov.uk,NR3 1QZ,Other contracted services,,BREXIT,Programme
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33471.0,"21,015.00",Work to accept SI from LDAPP into the publishing system,NR3 1QZ,Other contracted services,,Legislation Services,Programme
The National Archives,The National Archives,22/12/2020,Contracted Services,Digital,THE STATIONERY OFFICE LTD,124741.0,33472.0,"52,418.25",Linked data iterations,NR3 1QZ,Other contracted services,,Legislation Services,Programme
The National Archives,The National Archives,22/12/2020,IT Storage,Digital,THE STATIONERY OFFICE LTD,124741.0,33475.0,"55,883.56",Legislation Cloud System TSO Amazon Web Services Environment Costs,NR3 1QZ,Minor software & hardware,,Legislation Services,Programme
The National Archives,The National Archives,22/12/2020,Furniture and equipment,Operations Directorate,SENATOR INTERNATIONAL LTD,124743.0,33483.0,"11,832.00",Delivery and installation of Fundamentals square tables,BB5  5YE,"Minor furniture, equipment and related maintenance",,Estates,Programme
The National Archives,The National Archives,22/12/2020,Internet Archiving,Digital,MIRRORWEB LIMITED,124734.0,33503.0,"31,578.00",EU Exit Web Archive (EEWA) – December payment ,M3 2RF,Film & Internet archiving,,Web Archiving,Programme
The National Archives,The National Archives,22/12/2020,Grants paid,Research & Collections,DURHAM COUNTY COUNCIL,124722.0,33504.0,"15,000.00",Grant payment,DH1 5UE,Grants paid,,ASD,Programme
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
