Subject,Start Date,End Date,Unnamed: 3
Last day of tax year.,2011-04-05,2011-04-05,
First day of new tax year.,2011-04-06,2011-04-06,
Deadline for postal payment to reach HMRC Accounts Office for any outstanding non-electronic PAYE tax and Class 1 NICs for the tax year ending 5 April 2011,2011-04-19,2011-04-19,
Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the tax year ending 5 April 2011,2011-04-21,2011-04-21,
Deadline for filing your Employer Annual Return P35 and P14s) for the tax year ending 5 April 2011,2011-05-19,2011-05-19,
Last date for giving a form P60 for 2010-11 to each relevant employee who was working for you on 5 April 2011,2011-05-31,2011-05-31,
Last date for agreeing your PAYE Settlement Agreement for 2010-11 if any,2011-07-05,2011-07-05,
Deadline for submitting form 42 or other relevant form to report share-related benefits provided to employees,2011-07-06,2011-07-06,
Deadline for filing forms P9D P11D P11Db or substitutes for the tax year ending 5 April 2011,2011-07-06,2011-07-06,
Last date for giving a copy of the 2010-11 forms P9D and P11D and substitutes for the tax year ending 5 April 2011 to reach your HMRC Tax Office,2011-07-06,2011-07-06,
Deadline for postal payment to reach HMRC Accounts Office for any outstanding Class 1A NICs for the tax year ending 5 April 2011,2011-07-19,2011-07-19,
This is the final date for electronic payments to be cleared in HMRC bank account for any outstanding Class 1A NICs for the tax year ending 5 April 2011.,2011-07-22,2011-07-22,
Deadline for second Self Assessment payment on account for tax year ended 5 April 2011,2011-07-31,2011-07-31,
Deadline to notify chargeability for Income Tax or Capital Gains Tax for 2010-11 if not registered for Self Assessment or a penalty for failure to notify may apply. Complete form CWF1 for self-employment or form SA1 for non self-employed income,2011-10-05,2011-10-05,
Deadline for paper submission of Self Assessment tax return for tax year ended 5 April 2011,2011-10-31,2011-10-31,
Deadline for online submission of Self Assessment tax return for tax year ended 5 April 2011 for HMRC to collect tax through clients PAYE code,2011-12-30,2011-12-30,
Deadline for online submission of Self Assessment tax return for tax year ended 5 April 2011,2012-01-31,2012-01-31,
Deadline for paying Self Assessment balancing payment for tax year ended 5 April 2011,2012-01-31,2012-01-31,
Deadline for first Self Assessment payment on account for tax year ended 5 April 2012,2012-01-31,2012-01-31,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-04-19,2011-04-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-05-19,2011-05-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-06-19,2011-06-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-07-19,2011-07-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-08-19,2011-08-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-09-19,2011-09-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-10-19,2011-10-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-11-19,2011-11-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2011-12-19,2011-12-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2012-01-19,2012-01-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2012-02-19,2012-02-19,
Construction Industry Scheme (CIS): Deadline for receipt of the Contractors monthly return whether submitted on paper or electronically or in the case of a nil return over the telephone,2012-03-19,2012-03-19,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-04-22,2011-04-22,
