CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
1.0,M,0K,GEN ED,-,-,-,792.0,39.0,20.3
1.0,M,0K,CTT,-,-,-,187.0,9.0,20.8
1.0,M,01,GEN ED,-,-,-,662.0,33.0,20.1
1.0,M,01,CTT,-,-,-,208.0,11.0,18.9
1.0,M,01,G&T,-,-,-,25.0,1.0,25.0
1.0,M,02,GEN ED,-,-,-,560.0,28.0,20.0
1.0,M,02,CTT,-,-,-,225.0,12.0,18.8
1.0,M,03,GEN ED,-,-,-,678.0,36.0,18.8
1.0,M,03,CTT,-,-,-,131.0,8.0,16.4
1.0,M,04,GEN ED,-,-,-,548.0,29.0,18.9
1.0,M,04,CTT,-,-,-,227.0,12.0,18.9
1.0,M,04,G&T,-,-,-,27.0,1.0,27.0
1.0,M,05,GEN ED,-,-,-,511.0,21.0,24.3
1.0,M,05,CTT,-,-,-,270.0,12.0,22.5
1.0,M,05,G&T,-,-,-,25.0,1.0,25.0
1.0,M,06,GEN ED,-,-,-,607.0,31.0,19.6
1.0,M,06,CTT,-,-,-,207.0,9.0,23.0
1.0,M,07,GEN ED,-,-,-,577.0,30.0,19.2
1.0,M,07,CTT,-,-,-,166.0,8.0,20.8
1.0,M,08,GEN ED,-,-,-,652.0,31.0,21.0
1.0,M,08,CTT,-,-,-,158.0,7.0,22.6
1.0,M,08,G&T,-,-,-,58.0,4.0,14.5
1.0,M,0K-09,SPEC ED,-,-,12:1,179.0,20.0,9.0
1.0,M,0K-09,SPEC ED,-,-,12:1:1,268.0,30.0,8.9
1.0,M,MS Core,GEN ED,ENGLISH,MS English Core,-,811.0,32.0,25.3
1.0,M,MS Core,GEN ED,MATH,MS Math Core,-,882.0,38.0,23.2
1.0,M,MS Core,GEN ED,MATH,Integrated Algebra,-,144.0,6.0,24.0
1.0,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,877.0,37.0,23.7
1.0,M,MS Core,GEN ED,SCIENCE,Living Environment,-,103.0,4.0,25.8
1.0,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,783.0,33.0,23.7
1.0,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,59.0,2.0,29.5
1.0,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,36.0,2.0,18.0
1.0,M,MS Core,GEN ED,SOCIAL STUDIES,Participation in Government,-,26.0,1.0,26.0
1.0,M,MS Core,CTT,ENGLISH,MS English Core,-,321.0,13.0,24.7
1.0,M,MS Core,CTT,MATH,MS Math Core,-,428.0,19.0,22.5
1.0,M,MS Core,CTT,SCIENCE,MS Science Core,-,445.0,20.0,22.3
1.0,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,368.0,16.0,23.0
1.0,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,52.0,5.0,10.4
1.0,M,MS Core,SPEC ED,MATH,MS Math Core,-,67.0,6.0,11.2
1.0,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,67.0,6.0,11.2
1.0,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,45.0,4.0,11.3
1.0,M,09-12,GEN ED,ENGLISH,English 9,-,847.0,38.0,22.3
1.0,M,09-12,GEN ED,ENGLISH,English 10,-,1010.0,44.0,23.0
1.0,M,09-12,GEN ED,ENGLISH,English 11,-,615.0,27.0,22.8
1.0,M,09-12,GEN ED,ENGLISH,English 12,-,631.0,30.0,21.0
1.0,M,09-12,GEN ED,ENGLISH,MS English Core,-,20.0,1.0,20.0
1.0,M,09-12,GEN ED,ENGLISH,Other English,-,457.0,22.0,20.8
1.0,M,09-12,GEN ED,MATH,Integrated Algebra,-,807.0,34.0,23.7
1.0,M,09-12,GEN ED,MATH,Geometry,-,698.0,28.0,24.9
1.0,M,09-12,GEN ED,MATH,Trigonometry,-,572.0,23.0,24.9
1.0,M,09-12,GEN ED,MATH,Math A,-,183.0,8.0,22.9
1.0,M,09-12,GEN ED,MATH,Math B,-,96.0,5.0,19.2
1.0,M,09-12,GEN ED,MATH,Other Math,-,477.0,22.0,21.7
1.0,M,09-12,GEN ED,SCIENCE,Earth Science,-,574.0,23.0,25.0
1.0,M,09-12,GEN ED,SCIENCE,Living Environment,-,888.0,36.0,24.7
1.0,M,09-12,GEN ED,SCIENCE,Chemistry,-,851.0,39.0,21.8
1.0,M,09-12,GEN ED,SCIENCE,Physics,-,726.0,34.0,21.4
1.0,M,09-12,GEN ED,SCIENCE,Other Science,-,922.0,43.0,21.4
1.0,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,1482.0,65.0,22.8
1.0,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,1019.0,43.0,23.7
1.0,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,258.0,10.0,25.8
1.0,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,335.0,14.0,23.9
1.0,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,358.0,18.0,19.9
1.0,M,09-12,CTT,ENGLISH,English 9,-,103.0,4.0,25.8
1.0,M,09-12,CTT,ENGLISH,English 10,-,52.0,2.0,26.0
1.0,M,09-12,CTT,ENGLISH,English 11,-,48.0,2.0,24.0
1.0,M,09-12,CTT,ENGLISH,English 12,-,42.0,2.0,21.0
1.0,M,09-12,CTT,ENGLISH,MS English Core,-,22.0,1.0,22.0
1.0,M,09-12,CTT,ENGLISH,Other English,-,22.0,1.0,22.0
1.0,M,09-12,CTT,MATH,Integrated Algebra,-,165.0,7.0,23.6
1.0,M,09-12,CTT,MATH,Geometry,-,103.0,4.0,25.8
1.0,M,09-12,CTT,MATH,Trigonometry,-,67.0,3.0,22.3
1.0,M,09-12,CTT,MATH,Other Math,-,26.0,1.0,26.0
1.0,M,09-12,CTT,SCIENCE,Earth Science,-,232.0,8.0,29.0
1.0,M,09-12,CTT,SCIENCE,Living Environment,-,549.0,20.0,27.5
1.0,M,09-12,CTT,SCIENCE,Chemistry,-,140.0,6.0,23.3
1.0,M,09-12,CTT,SCIENCE,Other Science,-,186.0,8.0,23.3
