Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Waiting for DQ,,Police Department - NYPD,Open,12/29/2017,,,,,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/29/2017,,4316.0,Police Officer,08/24/2020,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/28/2017,,6508.0,Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,12/28/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Character,Police Department - NYPD,Open,12/28/2017,,5329.0,Police Officer,07/07/2021,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/28/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,12/27/2017,,6323.0,School Safety Agent,04/05/2021,,NYPD
Section 50,Psych,Police Department - NYPD,Open,12/27/2017,,6329.0,Traffic Enforcement Agent,10/21/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/27/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/27/2017,,140.0,Police Officer,03/02/2019,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/26/2017,,5310.0,Police Officer,03/06/2021,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/26/2017,,4324.0,Police Officer,09/14/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,12/22/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/22/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/22/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/22/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Other,,Department of Citywide Administrative Services - DCAS,Closed,12/21/2017,12/27/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/21/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Open,12/21/2017,,6613.0,Structure Maintainer Group E,,,NYCT
Waiting for Appeal Request,,Department of Correction - DOC,Open,12/21/2017,,,,,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/21/2017,,6014.0,Auto Mechanic (Diesel),09/06/2021,,DCAS
Section 50,Score,MTA New York City Transit - NYCT,Open,12/21/2017,,5610.0,Car Inspector,11/02/2020,,NYCT
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/20/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/20/2017,,7019.0,Procurement Analyst,,,DCAS
Section 50,Character,Police Department - NYPD,Open,12/19/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/19/2017,,4328.0,Police Offficer,11/23/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/19/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Score,MTA New York City Transit - NYCT,Open,12/19/2017,,5716.0,Conductor,02/01/2021,,NYCT
Section 50,Character,Department of Correction - DOC,Open,12/18/2017,,7320.0,Correction Officer,01/11/2021,,DOC
Other,,Department of Citywide Administrative Services - DCAS,Closed,12/17/2017,12/18/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Open,12/15/2017,,4320.0,Police Officer,08/25/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/15/2017,,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/15/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/15/2017,,6066.0,Juvenile Counselor,05/10/2021,,DCAS
Waiting for DQ,,Department of Correction - DOC,Open,12/15/2017,,,,,,DOC
Section 50,Medical,Department of Correction - DOC,Open,12/15/2017,,7324.0,Correction Officer,09/20/2021,,DOC
Waiting for DQ,,MTA New York City Transit - NYCT,Open,12/15/2017,,,,,,NYCT
Waiting for Appeal Request,,Department of Correction - DOC,Open,12/15/2017,,,,,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/15/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Open,12/14/2017,,,,,,NYCHA
Section 76,,Housing Authority - NYCHA,Closed,12/14/2017,12/14/2017,,,,,NYCHA
Section 76,Termination,Housing Authority - NYCHA,Open,12/14/2017,,,,,,NYCHA
Section 50,Education and Experience,MTA New York City Transit - NYCT,Open,12/14/2017,,6617.0,Revenue Equipment Maintainer,,,NYCT
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/14/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Open,12/14/2017,,7304.0,School Safety Agent,07/20/2021,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,12/14/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/14/2017,,6042.0,Construction Project Manager,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,12/13/2017,,6329.0,Traffic Enforcement Agent,10/21/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/13/2017,,4316.0,Police Officer,08/24/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/13/2017,,2344.0,Police Officer,06/19/2019,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/13/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,12/13/2017,,6502.0,Police Officer,06/22/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/13/2017,,4316.0,Police Officer,08/24/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,12/13/2017,,6037.0,Senior Stationary Engineer,,,DCAS
Section 50,Score,MTA New York City Transit - NYCT,Open,12/13/2017,,5716.0,Conductor,02/01/2021,,NYCT
Section 50,Character,Police Department - NYPD,Open,12/13/2017,,4320.0,Police Officer,08/25/2020,,NYPD
