State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region
03/31/2014,1ST CLASS TRANSPORTATION SERVICE,4,1,48486,QUEENS VILLAGE  ,11
03/31/2014,21ST AVE. TRANSPORTATION,250,19,3531,BROOKLYN,11
03/31/2014,3J'S LIMOUSINE INC.,2,0,50284,MELVILLE,10
03/31/2014,3RD AVENUE TRANSIT,114,1,6043,BROOKLYN,11
03/31/2014,422 DND CORP,5,0,49379,ISLIP TERRACE,10
03/31/2014,5 STAR LIMO OF ELMIRA,2,1,49862,ELMIRA,4
03/31/2014,A & A SERVICE,5,1,5758,MT VERNON,11
03/31/2014,A & B VAN SERVICE,37,0,3479,STATEN ISLAND,11
03/31/2014,A & E MEDICAL TRANSPORT INC,42,5,6165,CANANDAIGUA,4
03/31/2014,A & E TRANSPORT SERVICES,28,4,6692,OSWEGO,3
03/31/2014,A & E TRANSPORT SERVICES INC,125,17,2303,OSWEGO,3
03/31/2014,A & E TRANSPORT SERVICES INC,113,26,24376,ROCHESTER,4
03/31/2014,A & W TOURS INC,4,0,46192,BROOKLYN,11
03/31/2014,A HUDSON VALLEY LIMOUSINE INC,4,0,49975,BLOOMINGBURGH,8
03/31/2014,A MEDICAL ESCORT AND TAXI,2,1,28844,FULTON,3
03/31/2014,A PLUS TRANSPORTATION INC,35,2,33889,ARMONK,8
03/31/2014,A RIDE 4U AMBULETTE,4,1,37981,WANTAGH,10
03/31/2014,A TO B EXPRESS TRANS INC,54,2,33830,MONTAUK,10
03/31/2014,"A WHITE STAR LIMOUSINE SERVICE, INC",5,0,48165,NEW HYDE PARK,11
03/31/2014,A YANKEE LINE INC,6,0,49754,BOSTON,11
03/31/2014,A.E. FALCONI CORP.,4,1,25675,CORONA,11
03/31/2014,A.E.F. INC.,5,1,6138,PINE BUSH,8
03/31/2014,A.N.N. CHARTER INC.,6,1,44161,LAGRANGEVILLE,8
03/31/2014,A+ PERSISTENT AMBULTT CAR SRVC,4,2,49141,POUGHKEEPSIE,8
03/31/2014,A1 NEW YORK TRANS INC.,3,0,43094,NEW HYDE PARK,11
03/31/2014,A-1 QUALITY LIMO SERVICE LLC,6,5,33424,BRENTWOOD,10
03/31/2014,AA BUS INC,4,1,46797,FLUSHING,11
03/31/2014,AA GET AWAY COACHES LIMOS AND MORE,10,0,49050,STATEN ISLAND,11
03/31/2014,AA JACKS BUS CO.,2,2,3275,LEVITTOWN,11
03/31/2014,AA OVERLAND EXPRESS LLC,1,1,51195,BRONX,8
03/31/2014,"AAA AMBULETTE SERVICE, INC",31,3,6362,FARMINGDALE,10
03/31/2014,AAA FIRST CHOICE LIMOUSINE SRVC INC,2,0,49910,CORAM,10
03/31/2014,ABAD TRANSPORTATION,3,0,5614,EAST ELMHURST,11
03/31/2014,ABBA LOCAL TRANSPORTATION INC,20,3,47428,BROOKLYN,11
03/31/2014,ABC DAY CARE,2,1,46962,DEPEW,5
03/31/2014,ABC FANTASY LAND,7,1,34115,WOODSIDE,11
03/31/2014,ABC HAPPY TOUR_INC,2,0,50730,JAMAICA,11
03/31/2014,ABI LIMOUSINE INC.,1,0,50133,JAMAICA,11
03/31/2014,ABLE BUS INC,7,0,3329,BROOKLYN,11
03/31/2014,ABLE MEDICAL TRANSPORTATION,40,7,2304,SYRACUSE,3
03/31/2014,ABLE MEDICAL TRANSPORTATION,18,4,36971,ROCHESTER,4
03/31/2014,ABLE TRANSPORTATION CORP,4,1,49278,FRESH MEADOWS,11
03/31/2014,ABRAHAM TRANSPORTATION SERVICE,23,1,28309,JAMAICA,11
03/31/2014,ABRAHAM WING SCHOOL,2,1,1447,GLENS FALLS,1
03/31/2014,"ACA TRANSPORTATION,INC.",35,0,4396,BROOKLYN,11
03/31/2014,ACADEMY BUS CO.,104,9,3941,YONKERS,8
03/31/2014,ACADEMY EXPRESS,95,3,23038,HOBOKEN,11
03/31/2014,ACADEMY OF OUR LADY OF GOOD COUNSEL,1,0,43022,WHITE PLAINS,8
03/31/2014,ACADEMY OF THE HOLY NAMES,4,0,46685,ALBANY,1
03/31/2014,ACADEMY TRANSPORTATION INC,39,1,28266,BROOKLYN,11
03/31/2014,ACCESS AMBULETTE,7,4,3942,MOUNT VERNON,8
03/31/2014,ACCESS TRANSPORTATION INC.,48,1,25092,FORT PLAIN,2
03/31/2014,ACCORD PROJECT HEAD START,12,0,2691,BELMONT,4
03/31/2014,ACE AMBULETTE SERVICE CORP,4,1,49922,MAHOPAC,8
03/31/2014,ACE LIMO LI CORPORATION,2,1,48775,NORTH MASSAPEQUA,10
03/31/2014,ACE METRO AMBULETTE INC,4,0,33666,NEW HYDE PARK,10
03/31/2014,ACES LIMOUSINE SERVICE INC.,9,1,40221,WILLIAMSVILLE,5
