Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
EWR,2012,Jun,26295,8337,34632
LGA,1991,Mar,23670,1440,25110
SWF,2007,Dec,1381,8,1389
JFK,1997,Mar,17723,9030,26753
LGA,2009,Dec,25136,1918,27054
EWR,1992,Dec,30557,2171,32728
EWR,1983,Oct,21743,174,21917
JFK,2000,Aug,18579,11333,29912
LGA,1987,Jun,27269,121,27390
EWR,1996,Sep,33738,3317,37055
EWR,1997,Nov,30983,3917,34900
LGA,1995,Jun,25498,1855,27353
LGA,1996,Jun,24988,2015,27003
LGA,1981,Mar,22517,0,22517
LGA,1997,Dec,25365,1899,27264
LGA,2002,Jan,25924,1244,27168
LGA,1983,Dec,23553,0,23553
JFK,1984,Oct,15318,6931,22249
JFK,2000,Nov,17358,9965,27323
LGA,1995,May,25953,1791,27744
LGA,1978,Jan,19107,0,19107
LGA,1986,Sep,26855,117,26972
JFK,1991,Nov,10441,7620,18061
SWF,2007,Jan,1181,0,1181
LGA,1979,Dec,20788,0,20788
JFK,1999,Sep,16796,10236,27032
LGA,1993,Feb,22261,1288,23549
LGA,2007,Oct,30660,1807,32467
LGA,1978,Mar,21745,0,21745
LGA,2006,Feb,27026,1638,28664
EWR,1989,Apr,25765,1149,26914
SWF,2009,Aug,668,0,668
JFK,2006,Jun,18341,11101,29442
LGA,1983,Apr,21784,0,21784
LGA,1988,Oct,27664,1330,28994
JFK,1994,Aug,20915,10067,30982
EWR,1981,Jan,12896,72,12968
LGA,1997,Sep,25751,1918,27669
EWR,2007,May,29084,7498,36582
LGA,1988,Feb,25036,1191,26227
LGA,2007,Mar,31136,1683,32819
JFK,1987,Jan,12234,6465,18699
SWF,2006,May,800,0,800
LGA,2001,Oct,24533,1364,25897
LGA,2013,Sep,26762,2783,29545
LGA,2007,Jun,28445,1767,30212
EWR,1979,Oct,13957,277,14234
SWF,2011,May,724,0,724
JFK,1995,Dec,16117,9627,25744
JFK,1991,Jul,12290,9274,21564
SWF,2011,Jun,754,0,754
EWR,1983,Aug,20632,275,20907
LGA,1999,Mar,27895,2081,29976
JFK,2010,May,19999,12245,32244
LGA,1991,Apr,24321,1422,25743
JFK,1978,Aug,15632,8085,23717
SWF,2013,Aug,686,1,687
SWF,2006,Jun,775,8,783
SWF,2009,Jan,648,0,648
LGA,2002,Dec,27811,1585,29396
JFK,1988,Jun,14824,8570,23394
LGA,1998,Jan,24810,1847,26657
LGA,1991,Jul,25390,1571,26961
EWR,1991,Aug,29363,2059,31422
LGA,2014,May,27438,2687,30125
LGA,2010,Apr,28395,2200,30595
EWR,1992,Feb,27913,1872,29785
EWR,1988,Aug,28854,759,29613
EWR,1981,May,13879,123,14002
EWR,1981,Sep,13203,145,13348
ACY,2014,Dec,795,1,796
JFK,1978,Feb,12623,5379,18002
JFK,1994,Jul,20916,10110,31026
ACY,2013,Aug,930,6,936
SWF,2014,Apr,616,0,616
EWR,2004,Jan,27808,5541,33349
EWR,1989,Sep,26287,1422,27709
EWR,2013,Jul,26630,8399,35029
LGA,2008,Dec,25430,1786,27216
LGA,2009,Apr,26694,1848,28542
EWR,1987,Nov,26789,292,27081
LGA,1978,May,21916,0,21916
EWR,1997,Jan,33162,3163,36325
LGA,2014,Aug,28474,2846,31320
JFK,1977,Apr,14210,6627,20837
EWR,2003,Feb,22873,4681,27554
LGA,1992,Oct,24990,1520,26510
EWR,1994,Nov,32078,2311,34389
SWF,2006,Jan,834,1,835
LGA,2009,Jul,28727,1898,30625
EWR,2010,Feb,20576,6579,27155
LGA,2013,Jul,27507,2797,30304
JFK,1992,Dec,17345,8227,25572
EWR,2014,Jun,25329,8031,33360
EWR,2008,Aug,28863,8694,37557
LGA,1983,Oct,24200,0,24200
JFK,1978,Jan,13642,6275,19917
LGA,1999,Nov,26451,1955,28406
SWF,2013,Dec,618,5,623
LGA,2008,Apr,29353,1952,31305
EWR,1995,Dec,29699,2731,32430
EWR,2009,Jan,25447,7410,32857
JFK,2010,Oct,20689,11938,32627
JFK,2003,Mar,14721,8851,23572
LGA,1983,Mar,22381,0,22381
LGA,2003,Oct,29977,1739,31716
LGA,1994,Jan,22506,1345,23851
JFK,2007,Oct,24941,11547,36488
JFK,1984,May,15990,6746,22736
SWF,2013,Feb,552,4,556
EWR,2011,Feb,20788,7165,27953
LGA,2014,Feb,21689,2245,23934
EWR,1978,Feb,10379,145,10524
JFK,1977,Feb,12613,5851,18464
LGA,1989,Jul,25227,1499,26726
EWR,1996,Dec,33347,3219,36566
EWR,1994,Jul,32221,2865,35086
SWF,2006,Jul,801,14,815
JFK,2009,Feb,20426,10293,30719
SWF,2013,Jul,694,2,696
