Disease,F10_1_17_12_31_17,F1_1_18_3_31_18,F4_1_18_6_30_18,F7_1_18_9_30_18,F10_1_18_12_31_18,Total,F5_Quarter_Average,ObjectId
Campylobacter,16.0,23.0,36.0,28.0,25.0,128.0,26.0,1
Cryptosporidiosis,2.0,2.0,1.0,3.0,7.0,15.0,3.0,2
Giardiasis,1.0,2.0,2.0,8.0,1.0,14.0,3.0,3
Listeriosis,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4
Salmonellosis,10.0,11.0,10.0,21.0,10.0,62.0,12.0,5
Shiga toxin-producing Escherichia coli,1.0,0.0,0.0,2.0,1.0,4.0,1.0,6
Shigellosis,7.0,3.0,0.0,6.0,17.0,33.0,7.0,7
Typhoid Fever,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8
Flu Like Disease,359.0,659.0,177.0,59.0,177.0,1431.0,286.0,9
Influenza,233.0,2826.0,483.0,3.0,164.0,3709.0,742.0,10
Meningitis - Aseptic,13.0,11.0,11.0,23.0,11.0,69.0,14.0,11
Meningitis - Bacterial Other,0.0,2.0,5.0,3.0,5.0,15.0,3.0,12
Meningococcal Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
"Streptococcus pneumoniae, Inv",22.0,28.0,29.0,9.0,14.0,102.0,20.0,14
CP-CRE,,6.0,7.0,13.0,8.0,34.0,9.0,15
Cyclosporiasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Guillain-Barre Syndrome,1.0,0.0,1.0,1.0,0.0,3.0,1.0,17
Histoplasmosis,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18
Kawasaki,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19
Legionellosis,17.0,7.0,12.0,60.0,37.0,133.0,27.0,20
"Streptococcal Dis, Inv, Grp A",20.0,21.0,17.0,11.0,3.0,72.0,14.0,21
"Streptoccocus pneumoniae, Drug Resistant",3.0,7.0,9.0,1.0,4.0,24.0,5.0,22
VISA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
Animal Bite*,35.0,53.0,125.0,151.0,75.0,439.0,88.0,24
Rabies Animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Chlamydia (Genital)**,2609.0,2718.0,2673.0,2731.0,2701.0,13432.0,2686.0,26
Gonorrhea**,1141.0,1098.0,1150.0,1340.0,1457.0,6186.0,1237.0,27
Syphilis - Congenital**,0.0,0.0,0.0,0.0,1.0,1.0,0.0,28
Syphilis - Primary**,4.0,0.0,0.0,0.0,0.0,4.0,1.0,29
Syphilis - Secondary**,18.0,2.0,2.0,0.0,0.0,22.0,4.0,30
Tuberculosis,6.0,4.0,8.0,5.0,7.0,30.0,6.0,31
Chickenpox (Varicella),4.0,0.0,1.0,2.0,2.0,9.0,2.0,32
H. influenzae Disease - Inv.,2.0,3.0,4.0,2.0,7.0,18.0,4.0,33
Measles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
Mumps,0.0,0.0,0.0,1.0,0.0,1.0,0.0,35
Pertussis,3.0,1.0,2.0,3.0,6.0,15.0,3.0,36
Rubella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
Shingles,6.0,11.0,12.0,19.0,9.0,57.0,11.0,38
Tetanus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
Lyme Disease,0.0,0.0,1.0,0.0,1.0,2.0,0.0,40
West Nile Virus,0.0,0.0,0.0,4.0,1.0,5.0,1.0,41
Hepatitis A,47.0,18.0,5.0,3.0,3.0,76.0,15.0,42
"Hepatitis B, Acute",1.0,0.0,1.0,3.0,3.0,8.0,2.0,43
"Hepatitis B, Chronic",6.0,17.0,10.0,15.0,19.0,67.0,13.0,44
"Hepatitis C, Acute",1.0,1.0,1.0,0.0,3.0,6.0,1.0,45
"Hepatitis C, Chronic",143.0,127.0,140.0,118.0,100.0,628.0,126.0,46
Last Updated: 1/17/19,,,,,,,,47
