Geographic ID,Region,County,Route,Road,Milepoint,Latitude,Longitude,Location 1
20615,5, , , ,0.0,42.49587326,-78.38435213,"(42.49587326, -78.38435213)"
41657,11, , , ,0.0,40.75480876,-73.7754356,"(40.75480876, -73.7754356)"
16889,5, , , ,0.0,42.97796789,-78.70219645,"(42.97796789, -78.70219645)"
40942,11, , , ,0.0,40.53240792,-74.20317964,"(40.53240792, -74.20317964)"
16613,5, , , ,0.0,43.02097309,-78.8780102,"(43.02097309, -78.8780102)"
13561,4, , , ,0.0,43.10271181,-77.48178658,"(43.10271181, -77.48178658)"
34474,10,SUFFOLK,NY25,North Rd,97.7379,41.11695229,-72.35967513,"(41.11695229, -72.35967513)"
26303,8,WESTCHESTER,NY100,Central Park Ave,2.0726,40.95863521,-73.8419688,"(40.95863521, -73.8419688)"
24075,7, , , ,0.0,44.6964431,-73.49562952,"(44.6964431, -73.49562952)"
40016,10,SUFFOLK,NY27A,Merrick Rd,2.106,40.66907064,-73.40890154,"(40.66907064, -73.40890154)"
39278,10,SUFFOLK,NY231,Deer Park Rd,6.3534,40.78431009,-73.33863583,"(40.78431009, -73.33863583)"
27024,8,ROCKLAND,NY304,Route 304,4.9866,41.11355643,-73.99496397,"(41.11355643, -73.99496397)"
39487,10,SUFFOLK,906D,Sunrise Hwy,4.5483,40.73456752,-73.25501987,"(40.73456752, -73.25501987)"
7910,3,CAYUGA,NY5,Arterial   E,199.0638,42.93240662,-76.56878944,"(42.93240662, -76.56878944)"
23074,6,ALLEGANY,NY19,State Hwy 19,14.4369,42.17425168,-77.97888724,"(42.17425168, -77.97888724)"
6054,2, , , ,0.0,43.11666156,-75.29047975,"(43.11666156, -75.29047975)"
18555,5,NIAGARA,US62,Walnut Ave,101.0105,43.09367326,-79.02304026,"(43.09367326, -79.02304026)"
1530,1,RENSSELAER,US20,COLUMBIAumbia Tpke,347.3534,42.60717396,-73.72234136,"(42.60717396, -73.72234136)"
38128,10,SUFFOLK,NY112,Route 112,11.2575,40.91788223,-73.03736041,"(40.91788223, -73.03736041)"
5925,2,ONEIDA,NY412,COLUMBIAlege St,0.4335,43.04819374,-75.38722824,"(43.04819374, -75.38722824)"
29525,8,ROCKLAND,US9W,N Route 9W,17.2974,41.21419511,-73.98590997,"(41.21419511, -73.98590997)"
23127,6,ALLEGANY,NY275,Pennsylvania Ave,10.6841,42.20297427,-78.14504621,"(42.20297427, -78.14504621)"
8109,3,OSWEGO,NY3,E Broadway,12.0798,43.32094922,-76.40650118,"(43.32094922, -76.40650118)"
36367,10,NASSAU,NY106,Newbridge Rd,1.027,40.70587275,-73.54451615,"(40.70587275, -73.54451615)"
13107,4,MONROE,NY153,N Washington St,2.1595,43.11897305,-77.48633541,"(43.11897305, -77.48633541)"
41539,11, , , ,0.0,40.69731516,-73.81397102,"(40.69731516, -73.81397102)"
6870,3,OSWEGO,NY104,W Bridge St,151.8547,43.45445731,-76.51870279,"(43.45445731, -76.51870279)"
672,1,WASHINGTON,US4,Main St,53.7381,43.31050178,-73.57985378,"(43.31050178, -73.57985378)"
39354,10,SUFFOLK,NY347,Nesconset Hwy,14.6692,40.93191166,-73.03298691,"(40.93191166, -73.03298691)"
36980,10,NASSAU,NY24,Hempstead Tpke,15.9898,40.72785777,-73.46672686,"(40.72785777, -73.46672686)"
603,1,WASHINGTON,NY22,S Main St,183.038,43.17025136,-73.32678586,"(43.17025136, -73.32678586)"
28296,8,WESTCHESTER,US1,Boston Post Rd,9.7525,40.89592832,-73.80567862,"(40.89592832, -73.80567862)"
24798,7,FRANKLIN,NY458,S Main St,7.6063,44.67212722,-74.54492219,"(44.67212722, -74.54492219)"
