PUBLICATION DATE,FISCAL YEAR,AGENCY CODE,AGENCY NAME,ALL FUNDS,CITY FUND,REMARK
2.017113E7,2011.0,991,General Reserve,0.0,0.0,?
2.017113E7,2002.0,858,D.O.I.T.T.,170951.0,53506.0,?
2.017113E7,2008.0,817,Dept of Mental Health,0.0,0.0,?
2.017113E7,2009.0,991,General Reserve,0.0,0.0,?
2.017113E7,2008.0,819,Health + Hospitals,256837.0,128181.0,?
2.017113E7,2002.0,100,M.A.C. Debt Service,462900.0,462900.0,?
2.017113E7,2002.0,101,Public Advocate,2821.0,2821.0,?
2.017113E7,2002.0,102,City Council,47299.0,47094.0,?
2.017113E7,2002.0,103,City Clerk,2727.0,2650.0,?
2.017113E7,2002.0,125,Department for the Aging,231227.0,166267.0,?
2.017113E7,2002.0,126,Department of Cultural Affairs,124680.0,122942.0,?
2.017113E7,2002.0,127,Financial Info. Serv. Agency,30790.0,26105.0,?
2.017113E7,2002.0,130,Department of Juvenile Justice,108943.0,74565.0,?
2.017113E7,2002.0,131,Office of Payroll Admin.,6129.0,5900.0,?
2.017113E7,2013.0,103,City Clerk,4407.0,4372.0,?
2.017113E7,2002.0,132,Independent Budget Office,2551.0,2551.0,?
2.017113E7,2002.0,133,Equal Employment Practices Com,342.0,342.0,?
2.017113E7,2002.0,134,Civil Service Commission,471.0,471.0,?
2.017113E7,2002.0,136,Landmarks Preservation Comm.,3170.0,2651.0,?
2.017113E7,2002.0,138,Districting Commission,0.0,0.0,?
2.017113E7,2002.0,156,Taxi & Limousine Commission,22978.0,22597.0,?
2.017113E7,2002.0,226,Commission on Human Rights,7463.0,3192.0,?
2.017113E7,2002.0,260,Youth & Community Development,153014.0,93681.0,?
2.017113E7,2002.0,312,Conflicts of Interest Board,1624.0,1624.0,?
2.017113E7,2002.0,313,Office of Collective Barg.,1482.0,1330.0,?
2.017113E7,2002.0,499,Community Boards (All),11407.0,11407.0,?
2.017113E7,2002.0,781,Department of Probation,89660.0,59297.0,?
2.017113E7,2002.0,801,Dept. Small Business Services,97229.0,88086.0,?
2.017113E7,2002.0,806,Housing Preservation & Dev.,408030.0,63211.0,?
2.017113E7,2002.0,810,Department of Buildings,56378.0,55750.0,?
2.017113E7,2002.0,816,Dept Health & Mental Hygiene,1436161.0,448564.0,?
2.017113E7,2002.0,817,Dept of Mental Health,276078.0,84754.0,?
2.017113E7,2002.0,819,Health + Hospitals,909465.0,826437.0,?
2.017113E7,2002.0,820,Office of Administrative Trials and Hearings,0.0,0.0,?
2.017113E7,2002.0,826,Dept of Environmental Prot.,668217.0,626224.0,?
2.017113E7,2002.0,827,Department of Sanitation,1005312.0,909920.0,?
2.017113E7,2002.0,829,Business Integrity Commission,2779.0,2627.0,?
2.017113E7,2002.0,836,Department of Finance,183819.0,179816.0,?
2.017113E7,2002.0,841,Department of Transportation,515126.0,271260.0,?
2.017113E7,2002.0,846,Dept of Parks and Recreation,270834.0,167554.0,?
2.017113E7,2002.0,850,Dept. of Design & Construction,621330.0,27269.0,?
2.017113E7,2002.0,856,Dept of Citywide Admin Srvces,643875.0,162231.0,?
2.017113E7,2002.0,860,Dept of Records & Info Serv.,4219.0,3303.0,?
2.017113E7,2002.0,866,Department of Consumer Affairs,14302.0,12258.0,?
2.017113E7,2002.0,901,District Attorney - N.Y.,83127.0,67086.0,?
2.017113E7,2002.0,902,District Attorney - Bronx,45355.0,38992.0,?
2.017113E7,2002.0,903,District Attorney - Kings,80626.0,71802.0,?
2.017113E7,2002.0,904,District Attorney - Queens,39448.0,35201.0,?
2.017113E7,2002.0,905,District Attorney - Richmond,7070.0,6045.0,?
