Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
ALBANY FIRE DEPARTMENT,1001.0,26 BROAD STREET,ALBANY,NY,12202-0000,1.0,Albany,5.184477879E9,42.662577,-73.759898,(42.662577, -73.759898)
ALTAMONT FIRE DEPARTMENT,1002.0,115 MAIN STREET PO BOX 642,ALTAMONT,NY,12009,1.0,Albany,5.188618171E9,42.702865,-74.02531,(42.702865, -74.02531)
BERNE FIRE DEPARTMENT,1003.0,CANADAY ROAD,BERNE,NY,12023,1.0,Albany,5.18872047E9,42.612842,-74.070082,(42.612842, -74.070082)
BOGHT COMMUNITY FIRE DEPARTMENT,1004.0,1095 LOUDON ROAD,COHOES,NY,12047,1.0,Albany,5.187850339E9,42.783571,-73.743969,(42.783571, -73.743969)
COEYMANS FIRE DEPARTMENT,1005.0,67 CHURCH STREET,COEYMANS,NY,12045,1.0,Albany,5.187562027E9,42.474106,-73.798832,(42.474106, -73.798832)
COEYMANS HOLLOW FIRE DEPARTMENT,1006.0,1290 ROUTE 143,COEYMANS HOLLOW,NY,12046,1.0,Albany,5.18756631E9,42.48034,-73.92286,(42.48034, -73.92286)
COHOES FIRE DEPARTMENT,1007.0,97 MOHAWK STREET,COHOES,NY,12047,1.0,Albany,5.182372125E9,42.774511,-73.700005,(42.774511, -73.700005)
COLONIE FIRE DEPARTMENT,1008.0,1631 CENTRAL AVENUE,ALBANY,NY,12205,1.0,Albany,5.188699306E9,42.719292,-73.834697,(42.719292, -73.834697)
DELMAR FIRE DEPARTMENT,1009.0,145 ADAMS STREET,DELMAR,NY,12054,1.0,Albany,5.18475731E9,42.621806,-73.83503,(42.621806, -73.83503)
ELSMERE FIRE DEPARTMENT,1010.0,15 WEST POPLAR DRIVE,DELMAR,NY,12054,1.0,Albany,5.184399144E9,42.624501,-73.819623,(42.624501, -73.819623)
FORT HUNTER FIRE DEPARTMENT,1011.0,3525 CARMAN ROAD,SCHENECTADY,NY,12303,1.0,Albany,5.183552434E9,42.7403,-73.942101,(42.7403, -73.942101)
FULLER ROAD FIRE DEPARTMENT,1012.0,1342 CENTRAL AVENUE,ALBANY,NY,12205,1.0,Albany,5.184894421E9,42.702595,-73.815808,(42.702595, -73.815808)
GREEN ISLAND FIRE DEPARTMENT,1013.0,7  CLINTON STREET,GREEN ISLAND,NY,12183,1.0,Albany,5.182731041E9,42.742022,-73.692784,(42.742022, -73.692784)
GUILDERLAND FIRE DEPARTMENT,1014.0,2303 WESTERN AVE,GUILDERLAND,NY,12084,1.0,Albany,5.184565E9,42.703916,-73.91061,(42.703916, -73.91061)
GUILDERLAND CENTER FIRE DEPT,1015.0,30 SCHOOL ROAD,GUILDERLAND CENTER,NY,12085,1.0,Albany,5.188618871E9,42.701834,-73.966158,(42.701834, -73.966158)
KNOX FIRE DEPARTMENT,1016.0,2198 BERNE ALTAMONT ROAD,KNOX,NY,12107,1.0,Albany,5.188720368E9,42.668944,-74.119396,(42.668944, -74.119396)
LATHAM FIRE DEPARTMENT,1017.0,226 OLD LOUDON ROAD,LATHAM,NY,12110,1.0,Albany,5.18785506E9,42.748925,-73.758425,(42.748925, -73.758425)
MEDUSA FIRE DEPARTMENT,1018.0,458 CR 351,MEDUSA,NY,12120,1.0,Albany,5.182396006E9,42.436845,-74.12705,(42.436845, -74.12705)
MAPLEWOOD FIRE DEPARTMENT,1019.0,61 COHOES ROAD,WATERVLIET,NY,12189,1.0,Albany,5.1827312E9,42.746005,-73.700941,(42.746005, -73.700941)
MC KOWNVILLE FIRE DEPARTMENT,1020.0,1250 WESTERN AVENUE,ALBANY,NY,12203,1.0,Albany,5.18489434E9,42.67876,-73.830528,(42.67876, -73.830528)
MENANDS FIRE DEPARTMENT,1021.0,250 BROADWAY,MENANDS,NY,12204,1.0,Albany,5.184639494E9,42.68282,-73.73486,(42.68282, -73.73486)
MIDWAY FIRE DEPARTMENT,1022.0,1956 CENTRAL AVENUE,ALBANY,NY,12205,1.0,Albany,5.184561993E9,42.739023,-73.857362,(42.739023, -73.857362)
NEW SALEM FIRE DEPARTMENT,1023.0,694 NEW SALEM ROAD,VOORHEESVILLE,NY,12186,1.0,Albany,5.187652244E9,42.625059,-73.968935,(42.625059, -73.968935)
NORTH BETHLEHEM FIRE DEPARTMENT,1024.0,589 RUSSELL ROAD,ALBANY,NY,12203,1.0,Albany,5.184896556E9,42.664105,-73.84205,(42.664105, -73.84205)
ONESQUETHAW FIRE DEPARTMENT,1025.0,2178 TARRYTOWN RD PO BOX E,CLARKSVILLE,NY,12041,1.0,Albany,5.184682823E9,42.57541,-73.96359,(42.57541, -73.96359)
RAVENA FIRE DEPARTMENT,1026.0,116 MAIN STREET PO BOX 207,RAVENA,NY,12143,1.0,Albany,5.187562089E9,42.471694,-73.810532,(42.471694, -73.810532)
RENSSELAERVILLE FIRE DEPARTMENT,1027.0,21 RICE RD PO BOX 134,RENSSELAERVILLE,NY,12147,1.0,Albany,5.187975269E9,42.518434,-74.138762,(42.518434, -74.138762)
SCHUYLER HEIGHTS FIRE DEPT,1028.0,900 FIRST STREET,WATERVLIET,NY,12189,1.0,Albany,5.182717851E9,42.710658,-73.720103,(42.710658, -73.720103)
SELKIRK FIRE DEPARTMENT,1029.0,126 MAPLE AVENUE,SELKIRK,NY,12158,1.0,Albany,5.184360534E9,42.53155,-73.795146,(42.53155, -73.795146)
SHAKER RD-LOUDONVILLE FIRE DEPT,1030.0,550 ALBANY-SHAKER ROAD,LOUDONVILLE,NY,12211,1.0,Albany,5.184581499E9,42.715127,-73.784522,(42.715127, -73.784522)
SLINGERLANDS FIRE DEPARTMENT,1031.0,PO BOX 99,SLINGERLANDS,NY,12159,1.0,Albany,5.184394734E9,42.62985,-73.862168,(42.62985, -73.862168)
STANFORD HEIGHTS FIRE DEPARTMENT,1032.0,2240 CENTRAL AVENUE,SCHENECTADY,NY,12304,1.0,Albany,5.183467948E9,42.764326,-73.8861,(42.764326, -73.8861)
TRI-VILLAGE FIRE DEPARTMENT,1033.0,3096 CO RTE 145 PO BOX 575,PRESTON HOLLOW,NY,12469,1.0,Albany,5.18239678E9,42.446314,-74.209669,(42.446314, -74.209669)
VERDOY FIRE DEPARTMENT,1034.0,988 TROY SCHENECTADY ROAD,LATHAM,NY,12110,1.0,Albany,5.187857291E9,42.763506,-73.800801,(42.763506, -73.800801)
VOORHEESVILLE FIRE DEPARTMENT,1035.0,12 ALTAMONT RD PO BOX 525,VOORHEESVILLE,NY,12186,1.0,Albany,5.187654048E9,42.650819,-73.937756,(42.650819, -73.937756)
WATERVLIET FIRE DEPARTMENT,1036.0,FIRE HEADQRTRS 116 13TH ST,WATERVLIET,NY,12189,1.0,Albany,5.182703826E9,42.723228,-73.702914,(42.723228, -73.702914)
WEST ALBANY FIRE DEPARTMENT,1038.0,113 SAND CREEK ROAD,ALBANY,NY,12205,1.0,Albany,5.184216624E9,42.692166,-73.785673,(42.692166, -73.785673)
WESTERLO FIRE DEPARTMENT,1039.0,591 ST RTE 143 PO BOX 87,WESTERLO,NY,12193,1.0,Albany,5.187973321E9,42.51526,-74.046139,(42.51526, -74.046139)
WESTMERE FIRE DEPARTMENT,1040.0,1732 WESTERN AVENUE,ALBANY,NY,12203,1.0,Albany,5.184566734E9,42.688816,-73.861582,(42.688816, -73.861582)
A E  CRANDALL HOOK AND LADDER CO,2001.0,8 S MAIN ST BOX 582,ALFRED,NY,14802,2.0,Allegany,6.07587888E9,42.254065,-77.790323,(42.254065, -77.790323)
ALFRED STATION FIRE DEPARTMENT,2002.0,623 STATE RTE 244 BOX 282,ALFRED STATION,NY,14803,2.0,Allegany,6.075879201E9,42.268636,-77.75986,(42.268636, -77.75986)
ALLENTOWN FIRE DEPARTMENT,2003.0,1966 CHURCH ST PO BOX 82,ALLENTOWN,NY,14707,2.0,Allegany,5.85593402E9,42.12375,-77.94883,(42.12375, -77.94883)
ALMA FIRE DEPARTMENT,2004.0,5778 CNTY ROUTE 18 BOX 49,ALMA,NY,14708,2.0,Allegany,5.855930044E9,42.012599,-78.060224,(42.012599, -78.060224)
ALMOND FIRE DEPARTMENT,2005.0,1 MARVIN LANE BOX 256,ALMOND,NY,14804,2.0,Allegany,6.072765921E9,42.316386,-77.740698,(42.316386, -77.740698)
ANDOVER FIRE DEPARTMENT,2006.0,60 S MAIN ST PO BOX 714,ANDOVER,NY,14806,2.0,Allegany,6.074788361E9,42.154809,-77.795274,(42.154809, -77.795274)
ANGELICA FIRE DEPARTMENT,2007.0,85 MAIN ST PO BOX 154,ANGELICA,NY,14709,2.0,Allegany,5.854667621E9,42.307251,-78.020337,(42.307251, -78.020337)
BELFAST FIRE DEPARTMENT,2008.0,11 MERTON AVENUE PO BOX 487,BELFAST,NY,14711,2.0,Allegany,5.853652606E9,42.344075,-78.110895,(42.344075, -78.110895)
BELMONT FIRE DEPARTMENT,2009.0,80 SCHUYLER STREET,BELMONT,NY,14813,2.0,Allegany,5.85268555E9,42.22457,-78.030511,(42.22457, -78.030511)
BOLIVAR FIRE DEPARTMENT,2010.0,460 MAIN ST  PO BOX 483,BOLIVAR,NY,14715,2.0,Allegany,5.85928125E9,42.064374,-78.168037,(42.064374, -78.168037)
CANASERAGA FIRE DEPARTMENT,2011.0,10 MAIN ST BOX 322,CANASERAGA,NY,14822,2.0,Allegany,6.075456221E9,42.43964,-77.85099,(42.43964, -77.85099)
CENTERVILLE MEMORIAL FIRE DEPT,2013.0,8936 CNTY ROAD 3 BOX 16,CENTERVILLE,NY,14029,2.0,Allegany,5.855678132E9,42.4802,-78.24897,(42.4802, -78.24897)
CLARKSVILLE FIRE DEPARTMENT,2014.0,8854 CNTY ROAD 40 BOX 132,WEST CLARKSVILLE,NY,14786,2.0,Allegany,5.859683138E9,42.2186,-78.28209,(42.2186, -78.28209)
CUBA FIRE DEPARTMENT,2015.0,51 E MAIN ST PO BOX 84,CUBA,NY,14727,2.0,Allegany,5.85968253E9,42.21782,-78.2883,(42.21782, -78.2883)
BROOKS FIRE DEPARTMENT,2016.0,20 S GENESEE ST BOX 53,FILLMORE,NY,14735,2.0,Allegany,5.855678614E9,42.465164,-78.112337,(42.465164, -78.112337)
FRIENDSHIP FIRE DEPARTMENT,2017.0,3 DEPOT STREET PO BOX 503,FRIENDSHIP,NY,14739,2.0,Allegany,5.859732371E9,42.208223,-78.133936,(42.208223, -78.133936)
HOUGHTON FIRE DEPARTMENT,2018.0,9750 STATE RT 19 PO BOX 96,HOUGHTON,NY,14744,2.0,Allegany,5.855678229E9,42.424165,-78.155972,(42.424165, -78.155972)
NEW HUDSON FIRE DEPARTMENT,2019.0,8597 STATE RTE 305 PO BOX 1,BLACK CREEK,NY,14714,2.0,Allegany,5.859681566E9,42.275383,-78.226176,(42.275383, -78.226176)
ORAMEL FIRE DEPARTMENT,2020.0,8415 STATE ROUTE 19,BELFAST,NY,14711,2.0,Allegany,5.853652511E9,42.31418,-78.13784,(42.31418, -78.13784)
RICHBURG FIRE DEPARTMENT,2021.0,277 MAIN ST PO BOX 74,RICHBURG,NY,14774,2.0,Allegany,5.8592818E9,42.08828,-78.15372,(42.08828, -78.15372)
RUSHFORD FIRE DEPARTMENT,2022.0,BOX 223,RUSHFORD,NY,14777,2.0,Allegany,5.854372522E9,42.389617,-78.246587,(42.389617, -78.246587)
SCIO FIRE DEPARTMENT,2023.0,4359 CNTY RD 10 PO BOX 231,SCIO,NY,14880,2.0,Allegany,5.855932046E9,42.191917,-77.899663,(42.191917, -77.899663)
SHORT TRACT FIRE DEPARTMENT,2024.0,10355 CO RD 15 PO BOX 105,FILLMORE,NY,14735,2.0,Allegany,5.855678075E9,42.43816,-78.07038,(42.43816, -78.07038)
WELLSVILLE FIRE DEPARTMENT,2025.0,40 S MAIN ST PO BOX 1156,WELLSVILLE,NY,14895,2.0,Allegany,5.85593498E9,42.11894,-77.943226,(42.11894, -77.943226)
WHITESVILLE FIRE DEPARTMENT,2026.0,496 MAIN ST PO BOX 256,WHITESVILLE,NY,14897,2.0,Allegany,6.073563223E9,42.037822,-77.767082,(42.037822, -77.767082)
WILLING FIRE DEPARTMENT,2027.0,1395 ST ROUTE 19 SOUTH,WELLSVILLE,NY,14895,2.0,Allegany,5.855932385E9,42.055868,-77.915924,(42.055868, -77.915924)
WISCOY-ROSSBURG FIRE DEPARTMENT,2028.0,11490 CO RD 27 PO BOX 171,FILLMORE,NY,14735,2.0,Allegany,5.855678989E9,42.499877,-78.07623,(42.499877, -78.07623)
BIRDSALL FIRE DEPARTMENT,2029.0,9040 CO RD 15B PO BOX 162,CANASERAGA,NY,14822,2.0,Allegany,5.854663E9,42.390335,-77.91577,(42.390335, -77.91577)
BINGHAMTON FIRE DEPARTMENT,4001.0,38 HAWLEY ST GOV PLZ 4TH FL,BINGHAMTON,NY,13901,4.0,Broome,6.077727016E9,NaN,NaN,?
CHENANGO FIRE DEPARTMENT,4003.0,86 CASTLE CREEK ROAD,BINGHAMTON,NY,13901-1044,4.0,Broome,NaN,42.162783,-75.894162,(42.162783, -75.894162)
CHENANGO BRIDGE FIRE DEPARTMENT,4005.0,PO BOX 12,CHENANGO,NY,13745,4.0,Broome,6.076485742E9,42.16892,-75.87468,(42.16892, -75.87468)
CHENANGO FORKS FIRE DEPARTMENT,4006.0,PO BOX 139,CHENANGO FORKS,NY,13746,4.0,Broome,6.076484136E9,42.27234,-75.85153,(42.27234, -75.85153)
CHOCONUT CENTER FIRE DEPARTMENT,4007.0,1011 MIDDLE STELLA IRELD RD,BINGHAMTON,NY,13905,4.0,Broome,6.077970914E9,42.15921,-75.92738,(42.15921, -75.92738)
CONKLIN FIRE DEPARTMENT,4008.0,1032 CONKLIN RD,CONKLIN,NY,13748,4.0,Broome,6.07775037E9,42.078376,-75.823243,(42.078376, -75.823243)
DEPOSIT FIRE DEPARTMENT,4009.0,130 SECOND STREET,DEPOSIT,NY,13754,4.0,Broome,6.074672894E9,42.06305,-75.42649,(42.06305, -75.42649)
EAST MAINE FIRE DEPARTMENT,4010.0,847 EAST MAIN ROAD,JOHNSON CITY,NY,13790,4.0,Broome,6.077970685E9,NaN,NaN,?
ENDICOTT FIRE DEPARMENT,4011.0,1009 EAST MAIN STREET,ENDICOTT,NY,13760,4.0,Broome,6.077572463E9,42.098898,-76.049109,(42.098898, -76.049109)
ENDWELL FIRE DEPARTMENT,4012.0,3508 COUNTRY CLUB ROAD,ENDWELL,NY,13760,4.0,Broome,6.077850985E9,42.116163,-76.018581,(42.116163, -76.018581)
FIVE MILE POINT FIRE DEPARTMENT,4013.0,16 CRESCENT DRIVE,KIRKWOOD,NY,13795,4.0,Broome,6.077753322E9,42.091499,-75.822996,(42.091499, -75.822996)
GLEN AUBREY FIRE DEPARTMENT,4014.0,PO BOX 328,GLEN AUBREY,NY,13777,4.0,Broome,6.07692823E9,42.2457,-75.98993,(42.2457, -75.98993)
HARPURSVILLE FIRE DEPARTMENT,4015.0,2 MAIN STREET PO BOX 98,HARPURSVILLE,NY,13787,4.0,Broome,6.076931454E9,42.178566,-75.624686,(42.178566, -75.624686)
HILLCREST FIRE DEPARTMENT,4016.0,1115 AVENUE B,BINGHAMTON,NY,13901,4.0,Broome,6.07778211E9,42.14919,-75.883879,(42.14919, -75.883879)
JOHNSON CITY FIRE DEPARTMENT,4018.0,320 HARRY L DRIVE,JOHNSON CITY,NY,13790,4.0,Broome,6.077299512E9,42.122658,-75.961976,(42.122658, -75.961976)
KILLAWOG FIRE DEPARTMENT,4019.0,PO BOX 13,KILLAWOG,NY,13794,4.0,Broome,6.078496194E9,42.40046,-76.02046,(42.40046, -76.02046)
KIRKWOOD FIRE DEPARTMENT,4020.0,297 MAIN STREET,KIRKWOOD,NY,13795,4.0,Broome,6.077752411E9,42.03948,-75.797248,(42.03948, -75.797248)
LISLE FIRE DEPARTMENT,4021.0,ST RT 79 PO BOX 306,LISLE,NY,13797,4.0,Broome,6.076923411E9,42.353093,-76.01085,(42.353093, -76.01085)
MAINE FIRE DEPARTMENT,4022.0,29 MC GREGOR AVE PO BOX 357,MAINE,NY,13802,4.0,Broome,6.078623927E9,42.23717,-76.05457,(42.23717, -76.05457)
NANTICOKE FIRE DEPARTMENT,4023.0,1042 NANTICOKE ROAD,MAINE,NY,13802,4.0,Broome,6.078623296E9,42.26949,-76.054809,(42.26949, -76.054809)
OUAQUAGA FIRE DEPARTMENT,4025.0,PO BOX 5,WINDSOR,NY,13865,4.0,Broome,6.076551913E9,42.11097,-75.64151,(42.11097, -75.64151)
PORT CRANE FIRE DEPARTMENT,4026.0,844 STATE ROUTE 369,PORT CRANE,NY,13833-1006,4.0,Broome,NaN,42.18961,-75.78658,(42.18961, -75.78658)
PORT DICKINSON FIRE DEPARTMENT,4027.0,786 CHENANGO STREET,BINGHAMTON,NY,13901,4.0,Broome,6.077221256E9,42.138373,-75.89541,(42.138373, -75.89541)
PROSPECT TERRACE FIRE DEPARTMENT,4028.0,PROSPECT ST & GIRARD AVE,BINGHAMTON,NY,13905,4.0,Broome,6.077293741E9,42.11418,-75.93491,(42.11418, -75.93491)
SANITARIA SPRINGS FIRE DEPT,4029.0,811 NY ROUTE 7,SANITARIA SPRINGS,NY,13833,4.0,Broome,6.076482332E9,42.18961,-75.78658,(42.18961, -75.78658)
TOWN OF BINGHAMTON DEPARTMENT,4030.0,22 REXFORD STREET,BINGHAMTON,NY,13903,4.0,Broome,6.076694146E9,42.069611,-75.918801,(42.069611, -75.918801)
TRIANGLE FIRE DEPARTMENT,4031.0,3621 NY ROUTE 206,WHITNEY POINT,NY,13862,4.0,Broome,NaN,42.32906,-75.97022,(42.32906, -75.97022)
UNION CENTER FIRE COMPANY INC,4032.0,PO BOX 8800,ENDICOTT,NY,13762,4.0,Broome,6.077481321E9,42.12071,-76.05295,(42.12071, -76.05295)
VESTAL FIRE DEPARTMENT,4034.0,605 VESTAL PARKWAY WEST,VESTAL,NY,13850,4.0,Broome,6.077481514E9,42.083166,-76.065433,(42.083166, -76.065433)
WEST COLESVILLE FIRE DEPARTMENT,4035.0,1305 COLESVILLE RD,BINGHAMTON,NY,13904,4.0,Broome,NaN,42.141368,-75.740889,(42.141368, -75.740889)
WEST CORNERS FIRE DEPARTMENT,4036.0,500 DAY HOLLOW ROAD,ENDICOTT,NY,13760,4.0,Broome,6.077854185E9,42.111249,-76.073003,(42.111249, -76.073003)
WEST ENDICOTT FIRE DEPARTMENT,4037.0,113 NORTH PAGE AVE,ENDICOTT,NY,13760,4.0,Broome,NaN,42.098958,-76.073512,(42.098958, -76.073512)
WEST WINDSOR FIRE DEPARTMENT,4038.0,8 CARLA DRIVE,WINDSOR,NY,13865,4.0,Broome,6.077752918E9,42.096876,-75.764906,(42.096876, -75.764906)
WHITNEY POINT FIRE DEPARTMENT,4039.0,32 N PARSONS DR,WHITNEY POINT,NY,13862,4.0,Broome,6.076923845E9,42.328955,-75.967353,(42.328955, -75.967353)
WINDSOR FIRE DEPARTMENT,4040.0,PO BOX 433,WINDSOR,NY,13865,4.0,Broome,6.076551462E9,NaN,NaN,?
ALLEGANY FIRE DEPARTMENT,5001.0,PO BOX 95,ALLEGANY,NY,14706-0095,5.0,Cattaraugus,7.163730477E9,42.094612,-78.49954,(42.094612, -78.49954)
CATTARAUGUS FIRE DEPARTMENT,5002.0,MEMORIAL DRIVE,CATTARAUGUS,NY,14719,5.0,Cattaraugus,7.169389491E9,42.319333,-78.866453,(42.319333, -78.866453)
CONEWANGO FIRE DEPARTMENT,5003.0,PO BOX 72,CONEWANGO VALLEY,NY,14726,5.0,Cattaraugus,NaN,42.2619,-79.03158,(42.2619, -79.03158)
