OBJECTID,ZCTA5CE10,GEOID10,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
1.0,49878.0,2649878.0,39.0,25.0,0.6410257,1.40469746270371E10,921741.106902927
2.0,49855.0,2649855.0,298.0,255.0,0.8557047,6.74744428185742E9,1162097.56327609
3.0,49408.0,2649408.0,0.0,NaN,NaN,2.99568958940625E9,351703.956238228
4.0,49010.0,2649010.0,243.0,182.0,0.7489712,4.61569928344214E9,531102.818013098
5.0,49055.0,2649055.0,0.0,NaN,NaN,1.6989194291792E9,234432.08736451
6.0,48604.0,2648604.0,110.0,100.0,0.9090909,7.30016629371094E8,168369.138382106
7.0,49683.0,2649683.0,108.0,82.0,0.7592593,2.41251747279199E9,355001.096660923
8.0,49106.0,2649106.0,83.0,82.0,0.9879518,4.83178021846313E8,120241.516819659
9.0,49117.0,2649117.0,67.0,63.0,0.9402985,5.89776620144531E8,161859.030876311
10.0,49128.0,2649128.0,44.0,36.0,0.8181818,1.204341376672E9,207524.498844259
11.0,49028.0,2649028.0,59.0,53.0,0.8983051,3.34967822427124E9,367383.39095492
12.0,49040.0,2649040.0,95.0,88.0,0.9263158,1.18470629465405E9,261609.100929652
13.0,49224.0,2649224.0,32.0,15.0,0.46875,2.81696471280835E9,403934.5444048
14.0,49795.0,2649795.0,15.0,12.0,0.8,3.66970029169531E9,426299.30823043
15.0,49788.0,2649788.0,34.0,3.0,0.0882353,2.17770422273438E8,84280.5284332418
16.0,49780.0,2649780.0,39.0,34.0,0.8717949,8.46182902376367E9,765093.797795674
17.0,48879.0,2648879.0,278.0,246.0,0.8848921,5.29213518565039E9,478579.979189274
18.0,48866.0,2648866.0,134.0,121.0,0.9029851,1.36311219667383E9,217380.762546071
19.0,48837.0,2648837.0,370.0,349.0,0.9432433,2.23634087182178E9,289062.49748577
20.0,49801.0,2649801.0,103.0,78.0,0.7572815,4.35640836103906E9,754896.745716157
21.0,48917.0,2648917.0,511.0,356.0,0.6966732,6.92424525053223E8,161185.830331308
22.0,48415.0,2648415.0,144.0,131.0,0.9097222,1.82510941089111E9,280336.416792238
23.0,48847.0,2648847.0,111.0,93.0,0.8378378,3.42182842010254E9,336806.45279681
24.0,48615.0,2648615.0,0.0,NaN,NaN,1.61085657644971E9,313541.524167309
25.0,49246.0,2649246.0,77.0,70.0,0.9090909,9.91251372876709E8,211426.251225833
26.0,48864.0,2648864.0,667.0,468.0,0.7016492,6.05961761278809E8,127942.317913181
27.0,48858.0,2648858.0,344.0,275.0,0.7994186,4.84986534833203E9,563897.950456986
28.0,49202.0,2649202.0,89.0,70.0,0.7865168,3.89819914053955E8,157479.019304675
29.0,49008.0,2649008.0,116.0,44.0,0.3793103,1.8815542867334E8,72860.5715516888
30.0,49002.0,2649002.0,663.0,570.0,0.8597285,5.6983015947168E8,138099.473619652
31.0,49053.0,2649053.0,71.0,58.0,0.8169014,7.14691872706299E8,201281.181930924
32.0,49071.0,2649071.0,309.0,295.0,0.9546925,8.12297744373535E8,226870.620732055
33.0,49646.0,2649646.0,104.0,83.0,0.7980769,6.34651982577344E9,656685.631382667
34.0,49544.0,2649544.0,307.0,257.0,0.8371335,5.8453001876709E8,185886.617243511
35.0,49525.0,2649525.0,650.0,540.0,0.8307692,6.83970002724609E8,125331.831644207
36.0,49330.0,2649330.0,72.0,70.0,0.9722222,1.24767179994189E9,226767.399546573
37.0,48371.0,2648371.0,408.0,378.0,0.9264706,1.23561809333496E9,207362.924188193
38.0,48014.0,2648014.0,77.0,61.0,0.7922078,1.02565770747754E9,153001.046384664
39.0,49228.0,2649228.0,81.0,80.0,0.9876543,2.2230196271955E9,311374.916008961
40.0,49221.0,2649221.0,335.0,290.0,0.8656716,3.320113765521E9,435493.342810885
41.0,49236.0,2649236.0,87.0,84.0,0.9655172,1.05367806951465E9,247056.705299053
42.0,48380.0,2648380.0,306.0,275.0,0.8986928,7.52500750591309E8,187144.651044014
