Year,All Students Total,All Students Full-Time,All Students Part-Time,Undergraduate Total,Undergraduate Full-Time,Undergraduate Part-Time,Graduate Total,Graduate Full-Time,Graduate Part-Time
2019,"415,572","285,305","130,267","372,948","259,869","113,079","42,624","25,436","17,188"
2018,"424,051","293,602","130,449","382,488","268,594","113,894","41,563","25,008","16,555"
2017,"431,855","299,668","132,187","391,416","275,069","116,347","40,439","24,599","15,840"
2016,"436,138","300,201","135,937","395,817","275,982","119,835","40,321","24,219","16,102"
2015,"442,940","306,833","136,107","402,722","282,503","120,219","40,218","24,330","15,888"
2014,"454,839","313,699","141,140","414,304","289,567","124,737","40,535","24,132","16,403"
2013,"459,550","319,539","140,011","418,917","295,021","123,896","40,633","24,518","16,115"
2012,"461,816","319,797","142,019","421,716","296,187","125,529","40,100","23,610","16,490"
2011,"468,006","323,903","144,103","427,402","300,602","126,800","40,604","23,301","17,303"
2010,"471,105","332,479","138,626","429,020","308,634","120,386","42,085","23,845","18,240"
2009,"461,447","326,428","135,019","419,886","303,180","116,706","41,561","23,248","18,313"
2008,"439,523","306,517","133,006","398,617","283,557","115,060","40,906","22,960","17,946"
2007,"427,398","298,040","129,358","386,818","275,058","111,760","40,580","22,982","17,598"
2006,"417,575","290,691","126,884","377,283","268,068","109,215","40,292","22,623","17,669"
2005,"414,165","284,702","129,463","373,629","263,811","109,818","40,536","20,891","19,645"
2004,"413,572","282,184","131,388","372,442","261,432","111,010","41,130","20,752","20,378"
2003,"409,880","277,681","132,199","367,224","255,533","111,691","42,656","22,148","20,508"
2002,"402,939","269,837","133,102","359,876","248,497","111,379","43,063","21,340","21,723"
2001,"388,356","253,921","134,435","346,948","234,464","112,484","41,408","19,457","21,951"
2000,"374,377","244,017","130,360","335,637","225,658","109,979","38,740","18,359","20,381"
1999,"372,443","242,381","130,062","334,668","224,259","110,409","37,775","18,122","19,653"
1998,"368,466","236,988","131,478","331,303","219,457","111,846","37,163","17,531","19,632"
1997,"366,708","235,731","130,977","330,155","218,583","111,572","36,553","17,148","19,405"
1996,"368,459","233,355","135,104","331,243","215,862","115,381","37,216","17,493","19,723"
1995,"382,859","237,674","145,185","344,758","220,308","124,450","38,101","17,366","20,735"
1994,"391,706","244,725","146,981","352,519","226,777","125,742","39,187","17,948","21,239"
1993,"397,637","247,048","150,589","358,473","229,232","129,241","39,164","17,816","21,348"
1992,"404,065","246,175","157,890","364,685","228,108","136,577","39,380","18,067","21,313"
1991,"400,777","242,599","158,178","360,866","224,852","136,014","39,911","17,747","22,164"
1990,"403,028","242,187","160,841","362,784","224,735","138,049","40,244","17,452","22,792"
1989,"389,354","235,788","153,566","350,720","218,911","131,809","38,634","16,877","21,757"
1988,"378,976","232,472","146,504","341,404","215,257","126,147","37,572","17,215","20,357"
1987,"369,318","224,534","144,784","333,263","207,741","125,522","36,055","16,793","19,262"
1986,"365,272","223,550","141,722","329,993","207,008","122,985","35,279","16,542","18,737"
1985,"364,487","225,677","138,810","331,307","209,850","121,457","33,180","15,827","17,353"
1984,"369,075","232,793","136,282","337,618","217,328","120,290","31,457","15,465","15,992"
1983,"379,814","242,686","137,128","348,274","227,388","120,886","31,540","15,298","16,242"
1982,"378,170","241,339","136,831","347,249","226,265","120,984","30,921","15,074","15,847"
1981,"379,741","241,389","138,352","347,322","225,861","121,461","32,419","15,528","16,891"
