Year,Term,College or Institution Type,College or Institution Name,Undergraduate Full-Time,Undergraduate Part-Time,Graduate Full-Time,Graduate Part-Time
2019,Fall,Community Colleges,Adirondack,1905.0,1515.0,,
2018,Fall,Community Colleges,Adirondack,2090.0,1637.0,,
2017,Fall,Community Colleges,Adirondack,2189.0,1703.0,,
2016,Fall,Community Colleges,Adirondack,2156.0,1620.0,,
2015,Fall,Community Colleges,Adirondack,2294.0,1699.0,,
2014,Fall,Community Colleges,Adirondack,2522.0,1725.0,,
2013,Fall,Community Colleges,Adirondack,2588.0,1642.0,,
2012,Fall,Community Colleges,Adirondack,2263.0,1724.0,,
2011,Fall,Community Colleges,Adirondack,2344.0,1754.0,,
2019,Fall,Doctoral Degree Granting Institutions,Albany,12568.0,718.0,2108.0,2150.0
2018,Fall,Doctoral Degree Granting Institutions,Albany,12899.0,699.0,2157.0,2189.0
2017,Fall,Doctoral Degree Granting Institutions,Albany,12740.0,768.0,2109.0,2126.0
2016,Fall,Doctoral Degree Granting Institutions,Albany,12421.0,718.0,2099.0,2135.0
2015,Fall,Doctoral Degree Granting Institutions,Albany,12223.0,684.0,2218.0,2053.0
2014,Fall,Doctoral Degree Granting Institutions,Albany,12191.0,738.0,2218.0,2126.0
2013,Fall,Doctoral Degree Granting Institutions,Albany,12055.0,767.0,2343.0,2173.0
2012,Fall,Doctoral Degree Granting Institutions,Albany,12064.0,814.0,2179.0,2255.0
2011,Fall,Doctoral Degree Granting Institutions,Albany,11925.0,830.0,2117.0,2242.0
2019,Fall,Technology Colleges,Alfred State,3482.0,298.0,,
2018,Fall,Technology Colleges,Alfred State,3456.0,281.0,,
2017,Fall,Technology Colleges,Alfred State,3396.0,290.0,,
2016,Fall,Technology Colleges,Alfred State,3447.0,288.0,,
2015,Fall,Technology Colleges,Alfred State,3378.0,321.0,,
2014,Fall,Technology Colleges,Alfred State,3329.0,332.0,,
2013,Fall,Technology Colleges,Alfred State,3222.0,333.0,,
2012,Fall,Technology Colleges,Alfred State,3212.0,316.0,,
2011,Fall,Technology Colleges,Alfred State,3277.0,339.0,,
2019,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,482.0,14.0,72.0,11.0
2018,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,516.0,20.0,73.0,7.0
2017,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,481.0,21.0,54.0,13.0
2016,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,500.0,10.0,56.0,15.0
2015,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,551.0,16.0,57.0,3.0
2014,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,539.0,16.0,77.0,13.0
2013,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,593.0,18.0,71.0,21.0
2012,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,609.0,12.0,63.0,17.0
2011,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,629.0,17.0,71.0,14.0
2019,Fall,Doctoral Degree Granting Institutions,Binghamton,13845.0,323.0,2320.0,1641.0
2018,Fall,Doctoral Degree Granting Institutions,Binghamton,13630.0,391.0,2125.0,1622.0
2017,Fall,Doctoral Degree Granting Institutions,Binghamton,13347.0,377.0,2105.0,1511.0
2016,Fall,Doctoral Degree Granting Institutions,Binghamton,13185.0,447.0,2153.0,1507.0
2015,Fall,Doctoral Degree Granting Institutions,Binghamton,13054.0,437.0,2059.0,1363.0
2014,Fall,Doctoral Degree Granting Institutions,Binghamton,12908.0,504.0,1944.0,1339.0
2013,Fall,Doctoral Degree Granting Institutions,Binghamton,12559.0,438.0,1824.0,1256.0
2012,Fall,Doctoral Degree Granting Institutions,Binghamton,11904.0,452.0,1682.0,1270.0
2011,Fall,Doctoral Degree Granting Institutions,Binghamton,11464.0,397.0,1566.0,1319.0
2019,Fall,Comprehensive Colleges,Brockport,5960.0,713.0,349.0,902.0
2018,Fall,Comprehensive Colleges,Brockport,6343.0,714.0,353.0,877.0
2017,Fall,Comprehensive Colleges,Brockport,6419.0,761.0,353.0,780.0
2016,Fall,Comprehensive Colleges,Brockport,6375.0,753.0,345.0,770.0
2015,Fall,Comprehensive Colleges,Brockport,6353.0,716.0,373.0,719.0
2014,Fall,Comprehensive Colleges,Brockport,6304.0,736.0,358.0,708.0
2013,Fall,Comprehensive Colleges,Brockport,6411.0,679.0,318.0,720.0
2012,Fall,Comprehensive Colleges,Brockport,6444.0,689.0,367.0,771.0
2011,Fall,Comprehensive Colleges,Brockport,6454.0,712.0,365.0,882.0
2019,Fall,Community Colleges,Broome,3448.0,2661.0,,
2018,Fall,Community Colleges,Broome,3771.0,2736.0,,
2017,Fall,Community Colleges,Broome,4075.0,1549.0,,
2016,Fall,Community Colleges,Broome,4157.0,1545.0,,
2015,Fall,Community Colleges,Broome,4265.0,1661.0,,
2014,Fall,Community Colleges,Broome,4337.0,1607.0,,
2013,Fall,Community Colleges,Broome,4192.0,1702.0,,
2012,Fall,Community Colleges,Broome,4113.0,1839.0,,
2011,Fall,Community Colleges,Broome,4376.0,1824.0,,
2019,Fall,Comprehensive Colleges,Buffalo State,6916.0,731.0,421.0,590.0
2018,Fall,Comprehensive Colleges,Buffalo State,7278.0,804.0,416.0,620.0
2017,Fall,Comprehensive Colleges,Buffalo State,7665.0,862.0,378.0,611.0
2016,Fall,Comprehensive Colleges,Buffalo State,7598.0,884.0,416.0,577.0
2015,Fall,Comprehensive Colleges,Buffalo State,8137.0,1050.0,442.0,701.0
2014,Fall,Comprehensive Colleges,Buffalo State,8326.0,1149.0,514.0,1094.0
2013,Fall,Comprehensive Colleges,Buffalo State,8293.0,1062.0,506.0,1230.0
2012,Fall,Comprehensive Colleges,Buffalo State,8606.0,1141.0,516.0,1518.0
2011,Fall,Comprehensive Colleges,Buffalo State,8811.0,1201.0,511.0,1681.0
2019,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,20401.0,1524.0,6361.0,3641.0
2018,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,19941.0,1671.0,6535.0,3361.0
2017,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,19401.0,1619.0,6306.0,3322.0
2016,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18824.0,1588.0,6354.0,3418.0
2015,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18452.0,1501.0,6406.0,3449.0
2014,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18166.0,1716.0,6422.0,3691.0
2013,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18091.0,1740.0,6725.0,3294.0
2012,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,17766.0,1893.0,6270.0,3200.0
2011,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,17664.0,1670.0,6048.0,3478.0
2019,Fall,Technology Colleges,Canton,2784.0,436.0,,
2018,Fall,Technology Colleges,Canton,2743.0,473.0,,
2017,Fall,Technology Colleges,Canton,2660.0,523.0,,
2016,Fall,Technology Colleges,Canton,2673.0,532.0,,
2015,Fall,Technology Colleges,Canton,2641.0,499.0,,
2014,Fall,Technology Colleges,Canton,2793.0,489.0,,
2013,Fall,Technology Colleges,Canton,2938.0,574.0,,
2012,Fall,Technology Colleges,Canton,3087.0,693.0,,
2011,Fall,Technology Colleges,Canton,2952.0,873.0,,
2019,Fall,Community Colleges,Cayuga County,1368.0,2301.0,,
2018,Fall,Community Colleges,Cayuga County,1420.0,2355.0,,
2017,Fall,Community Colleges,Cayuga County,1585.0,2199.0,,
2016,Fall,Community Colleges,Cayuga County,1616.0,2681.0,,
2015,Fall,Community Colleges,Cayuga County,1799.0,2385.0,,
2014,Fall,Community Colleges,Cayuga County,2029.0,2261.0,,
2013,Fall,Community Colleges,Cayuga County,2235.0,2175.0,,
2012,Fall,Community Colleges,Cayuga County,2241.0,2073.0,,
2011,Fall,Community Colleges,Cayuga County,2378.0,2054.0,,
2019,Fall,Community Colleges,Clinton,529.0,770.0,,
2018,Fall,Community Colleges,Clinton,605.0,771.0,,
2017,Fall,Community Colleges,Clinton,682.0,901.0,,
2016,Fall,Community Colleges,Clinton,770.0,841.0,,
2015,Fall,Community Colleges,Clinton,910.0,952.0,,
2014,Fall,Community Colleges,Clinton,990.0,880.0,,
2013,Fall,Community Colleges,Clinton,1092.0,898.0,,
2012,Fall,Community Colleges,Clinton,1267.0,982.0,,
2011,Fall,Community Colleges,Clinton,1361.0,973.0,,
2019,Fall,Technology Colleges,Cobleskill,2095.0,173.0,,
2018,Fall,Technology Colleges,Cobleskill,2155.0,177.0,,
2017,Fall,Technology Colleges,Cobleskill,2184.0,113.0,,
2016,Fall,Technology Colleges,Cobleskill,2168.0,119.0,,
2015,Fall,Technology Colleges,Cobleskill,2309.0,132.0,,
2014,Fall,Technology Colleges,Cobleskill,2413.0,122.0,,
