Project Number,Program Name,Project Type,Activity,Contract Amount,Organization,County,Municipality,Current Status,Residential Units - Existing,Residential Units – New,Civic Units - Existing,Civic Units – New,Commercial Units - Existing,Commercial Units – New
19900706,REST,LPA,CNSTR/RHAB,25000,TOWN OF COLONIE,ALBANY,COLONIE,CMPL,14,0,0,0,0,0
19900707,REST,LPA,CNSTR/RHAB,25000,CITY OF NORWICH COMMUNITY DEVELOPMENT OFFICE,CHENANGO,NORWICH,CMPL,18,0,0,0,0,0
19900708,REST,LPA,CNSTR/RHAB,25000,CITY OF PLATTSBURGH COMMUNITY DEVELOPMENT OFFICE,CLINTON,PLATTSBURGH,CMPL,10,0,0,0,0,0
19900709,REST,LPA,CNSTR/RHAB,25000,"RUPCO, INC.",ULSTER,MULTI-MUNI,CMPL,9,0,0,0,0,0
19900710,REST,LPA,CNSTR/RHAB,25000,CITY OF ALBANY COMMUNITY DEVELOPMENT AGENCY,ALBANY,ALBANY,CMPL,11,0,0,0,0,0
19900711,REST,LPA,CNSTR/RHAB,25000,COMMUNITY SERVICES PROGRAMS INC.,DUTCHESS,MULTI-MUNI,CMPL,7,0,0,0,0,0
19900712,REST,LPA,CNSTR/RHAB,25000,CITY OF ELMIRA DEPT. OF COMMUNITY DEV./ ELMIRA URBAN RENEWAL AGENCY,CHEMUNG,ELMIRA,CMPL,13,0,0,0,0,0
19900713,REST,LPA,CNSTR/RHAB,25000,"TIOGA OPPORTUNITIES, INC.",TIOGA,MULTI-MUNI,CMPL,7,0,0,0,0,0
19900714,REST,LPA,CNSTR/RHAB,25000,COMMUNITY PROGRESS INC.,MULTI-COUNTY,,CMPL,12,0,0,0,0,0
19900715,REST,LPA,CNSTR/RHAB,25000,"ITHACA NEIGHBORHOOD HOUSING SERVICES, INC.",TOMPKINS,MULTI-MUNI,CMPL,10,0,0,0,0,0
19900716,REST,LPA,CNSTR/RHAB,25000,"COMMUNITY ACTION IN SELF-HELP, INC.",WAYNE,MULTI-MUNI,CMPL,20,0,0,0,0,0
19900717,REST,LPA,CNSTR/RHAB,25000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,12,0,0,0,0,0
19900718,REST,LPA,CNSTR/RHAB,25000,CITY OF YONKERS,WESTCHESTER,YONKERS,CMPL,7,0,0,0,0,0
19900719,REST,LPA,CNSTR/RHAB,25000,"BUSHWICK INFORMATION COORDINATING & ACTION COMMITTEE, INC.",KINGS,NEW YORK CITY,CMPL,9,0,0,0,0,0
19900720,REST,LPA,CNSTR/RHAB,25000,COUNTY OF WESTCHESTER DEPARTMENT OF PLANNING,WESTCHESTER,MULTI-MUNI,CMPL,7,0,0,0,0,0
19900721,REST,LPA,CNSTR/RHAB,25000,"WOODSIDE ON THE MOVE, INC.",QUEENS,NEW YORK CITY,CMPL,1,0,0,0,0,0
19900722,REST,LPA,CNSTR/RHAB,25000,"RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL, INC.",KINGS,NEW YORK CITY,CMPL,7,0,0,0,0,0
19900723,REST,LPA,CNSTR/RHAB,25000,COMMUNITY AGENCY FOR SENIOR CITIZENS INC.,RICHMOND,NEW YORK CITY,CMPL,8,0,0,0,0,0
19900724,REST,LPA,CNSTR/RHAB,25000,"ST LAWRENCE COUNTY HOUSING COUNCIL, INC.",ST LAWRENCE,MULTI-MUNI,CMPL,8,0,0,0,0,0
19900725,REST,LPA,CNSTR/RHAB,37500,CITY OF WHITE PLAINS,WESTCHESTER,WHITE PLAINS,CMPL,9,0,0,0,0,0
19900726,REST,LPA,CNSTR/RHAB,37500,COUNTY OF MONROE COMMUNITY DEVELOPMENT CORP.,MONROE,MULTI-MUNI,CMPL,26,0,0,0,0,0
19900731,REST,LPA,CNSTR/RHAB,50000,CITIZENS ADVICE BUREAU INC.,BRONX,NEW YORK CITY,CMPL,10,0,0,0,0,0
19900732,REST,LPA,CNSTR/RHAB,72500,SCAP D/B/A ARBOR HOUSING & DEVELOPMENT,STEUBEN,MULTI-MUNI,CMPL,33,0,0,0,0,0
19900733,REST,LPA,CNSTR/RHAB,72500,RURAL REVITALIZATION CORP.,MULTI-COUNTY,,CMPL,40,0,0,0,0,0
19900734,REST,LPA,CNSTR/RHAB,72500,"OPPORTUNITIES FOR BROOME, INC.",BROOME,MULTI-MUNI,CMPL,29,0,0,0,0,0
19900735,REST,LPA,CNSTR/RHAB,72500,"WILSON MAJOR MORRIS COMMUNITY CENTER, INC.",NEW YORK,NEW YORK CITY,CMPL,15,0,0,0,0,0
19900736,REST,LPA,CNSTR/RHAB,50000,SUNNYSIDE FOUNDATION,QUEENS,NEW YORK CITY,CMPL,19,0,0,0,0,0
19900737,REST,LPA,CNSTR/RHAB,72500,LONG ISLAND WOMENS EQUAL OPPORTUNITY COUNCIL,NASSAU,MULTI-MUNI,CMPL,28,0,0,0,0,0
