Year,Region,NAICS Code,Industry,Jobs
2016.0,New York City,61,Educational Services,234167.0
2017.0,Mohawk Valley,71,Arts, Entertainment, and Recreation,2619.0
2017.0,Mid-Hudson,31,Manufacturing,43106.0
2017.0,Southern Tier,31,Manufacturing,33221.0
2017.0,North Country,42,Wholesale Trade,2763.0
2017.0,Finger Lakes,71,Arts, Entertainment, and Recreation,7884.0
2016.0,Mid-Hudson,62,Health Care and Social Assistance,166224.0
2016.0,North Country,62,Health Care and Social Assistance,24438.0
2016.0,Long Island,42,Wholesale Trade,64628.0
2017.0,North Country,23,Construction,5642.0
2016.0,Long Island,11,Agriculture, Forestry, Fishing and Hunting,4767.0
2016.0,North Country,23,Construction,7495.0
2017.0,Capital Region,99,Unclassified Industry,1324.0
2017.0,North Country,54,Professional, Scientific, and Technical Services,2772.0
2016.0,Capital Region,31,Manufacturing,34474.0
2017.0,Mohawk Valley,51,Information,2510.0
2016.0,North Country,72,Accommodation and Food Services,14666.0
2016.0,New York City,44,Retail Trade,360549.0
2016.0,Finger Lakes,51,Information,9111.0
2016.0,Southern Tier,56,Administrative and Support and Waste Management and Remediation Services,10041.0
2017.0,Long Island,72,Accommodation and Food Services,101029.0
2016.0,New York City,51,Information,189053.0
2017.0,Long Island,44,Retail Trade,160626.0
2017.0,Finger Lakes,62,Health Care and Social Assistance,86421.0
2017.0,Mid-Hudson,42,Wholesale Trade,30482.0
2017.0,Mid-Hudson,90,Government,159828.0
2017.0,Finger Lakes,51,Information,8276.0
2016.0,Western New York,44,Retail Trade,31413.0
2016.0,Mohawk Valley,55,Management of Companies and Enterprises,1372.0
2016.0,Mid-Hudson,56,Administrative and Support and Waste Management and Remediation Services,50394.0
2016.0,Western New York,61,Educational Services,24101.0
2016.0,Long Island,23,Construction,89617.0
2017.0,North Country,44,Retail Trade,21006.0
2016.0,North Country,44,Retail Trade,22090.0
2017.0,Mohawk Valley,55,Management of Companies and Enterprises,1231.0
2017.0,North Country,71,Arts, Entertainment, and Recreation,1635.0
2017.0,Western New York,53,Real Estate and Rental and Leasing,8021.0
2016.0,Mid-Hudson,21,Mining, Quarrying, and Oil and Gas Extraction,674.0
2016.0,Mid-Hudson,72,Accommodation and Food Services,70526.0
2016.0,Capital Region,62,Health Care and Social Assistance,79068.0
2017.0,Mid-Hudson,21,Mining, Quarrying, and Oil and Gas Extraction,666.0
2017.0,Mohawk Valley,61,Educational Services,7329.0
2016.0,Mohawk Valley,42,Wholesale Trade,4485.0
2017.0,Central New York,42,Wholesale Trade,14485.0
2016.0,Long Island,54,Professional, Scientific, and Technical Services,94960.0
2016.0,Mohawk Valley,53,Real Estate and Rental and Leasing,1478.0
2017.0,Capital Region,22,Utilities,1939.0
2016.0,Western New York,52,Finance and Insurance,7047.0
2016.0,New York City,71,Arts, Entertainment, and Recreation,113604.0
2017.0,Finger Lakes,48,Transportation and Warehousing,10522.0
2016.0,Mid-Hudson,31,Manufacturing,45081.0
2017.0,North Country,56,Administrative and Support and Waste Management and Remediation Services,3479.0
2016.0,North Country,71,Arts, Entertainment, and Recreation,2129.0
2017.0,Long Island,62,Health Care and Social Assistance,221281.0
2016.0,Long Island,81,Other Services (except Public Administration),68017.0
2017.0,Central New York,61,Educational Services,18184.0
2017.0,Western New York,55,Management of Companies and Enterprises,13387.0
2017.0,Capital Region,31,Manufacturing,34128.0
2017.0,Mid-Hudson,22,Utilities,5536.0
2017.0,Western New York,54,Professional, Scientific, and Technical Services,27681.0
2016.0,Central New York,62,Health Care and Social Assistance,52127.0
2017.0,Western New York,56,Administrative and Support and Waste Management and Remediation Services,30938.0
2016.0,North Country,42,Wholesale Trade,2845.0
2016.0,Capital Region,22,Utilities,1963.0
2016.0,Western New York,53,Real Estate and Rental and Leasing,3029.0
2016.0,Finger Lakes,52,Finance and Insurance,15828.0
2017.0,New York City,90,Government,577289.0
2016.0,Mid-Hudson,42,Wholesale Trade,30979.0
2017.0,Central New York,21,Mining, Quarrying, and Oil and Gas Extraction,186.0
2016.0,North Country,90,Government,61185.0
2017.0,North Country,11,Agriculture, Forestry, Fishing and Hunting,2869.0
2017.0,Finger Lakes,31,Manufacturing,63604.0
2017.0,Western New York,52,Finance and Insurance,30333.0
2017.0,Mid-Hudson,44,Retail Trade,116319.0
2017.0,New York City,44,Retail Trade,345296.0
2017.0,Western New York,31,Manufacturing,65579.0
2017.0,Long Island,61,Educational Services,34061.0
2017.0,New York City,48,Transportation and Warehousing,121936.0
2017.0,North Country,21,Mining, Quarrying, and Oil and Gas Extraction,247.0
2017.0,Finger Lakes,81,Other Services (except Public Administration),20701.0
2016.0,Central New York,53,Real Estate and Rental and Leasing,4676.0
2017.0,New York City,54,Professional, Scientific, and Technical Services,400396.0
2017.0,Central New York,55,Management of Companies and Enterprises,4467.0
2016.0,Southern Tier,42,Wholesale Trade,7049.0
2016.0,Southern Tier,23,Construction,10718.0
2016.0,Finger Lakes,71,Arts, Entertainment, and Recreation,9697.0
2017.0,Western New York,11,Agriculture, Forestry, Fishing and Hunting,2715.0
2016.0,New York City,56,Administrative and Support and Waste Management and Remediation Services,239765.0
2016.0,Finger Lakes,21,Mining, Quarrying, and Oil and Gas Extraction,677.0
2016.0,Mid-Hudson,71,Arts, Entertainment, and Recreation,23777.0
2016.0,Long Island,61,Educational Services,38131.0
2017.0,Mohawk Valley,22,Utilities,520.0
2016.0,New York City,62,Health Care and Social Assistance,720834.0
2017.0,New York City,99,Unclassified Industry,25897.0
2017.0,New York City,61,Educational Services,227016.0
2017.0,Capital Region,90,Government,119502.0
2017.0,Southern Tier,55,Management of Companies and Enterprises,2627.0
2017.0,Central New York,22,Utilities,3762.0
2016.0,Finger Lakes,55,Management of Companies and Enterprises,11930.0
2016.0,Capital Region,44,Retail Trade,60915.0
2017.0,Capital Region,11,Agriculture, Forestry, Fishing and Hunting,2597.0
2016.0,Capital Region,55,Management of Companies and Enterprises,7578.0
2017.0,Southern Tier,56,Administrative and Support and Waste Management and Remediation Services,8802.0
2017.0,Western New York,42,Wholesale Trade,21537.0
2016.0,Long Island,31,Manufacturing,72333.0
2016.0,New York City,90,Government,572528.0
2017.0,Finger Lakes,21,Mining, Quarrying, and Oil and Gas Extraction,682.0
2016.0,Mid-Hudson,11,Agriculture, Forestry, Fishing and Hunting,5622.0
2016.0,Capital Region,81,Other Services (except Public Administration),23205.0
2017.0,Capital Region,23,Construction,22328.0
2016.0,Finger Lakes,62,Health Care and Social Assistance,87495.0
2016.0,Central New York,71,Arts, Entertainment, and Recreation,6282.0
2017.0,Central New York,44,Retail Trade,40315.0
2017.0,Long Island,51,Information,17990.0
2017.0,Southern Tier,54,Professional, Scientific, and Technical Services,9867.0
2017.0,Southern Tier,21,Mining, Quarrying, and Oil and Gas Extraction,674.0
2016.0,Western New York,11,Agriculture, Forestry, Fishing and Hunting,2973.0
2016.0,Long Island,72,Accommodation and Food Services,99443.0
2017.0,Central New York,90,Government,66649.0
2016.0,Capital Region,90,Government,118876.0
2016.0,Central New York,48,Transportation and Warehousing,11033.0
2017.0,Mohawk Valley,42,Wholesale Trade,4370.0
2016.0,Mid-Hudson,81,Other Services (except Public Administration),56062.0
2017.0,New York City,51,Information,183974.0
2016.0,Central New York,23,Construction,16833.0
2016.0,Mid-Hudson,23,Construction,61169.0
2017.0,Long Island,53,Real Estate and Rental and Leasing,18243.0
2016.0,Long Island,52,Finance and Insurance,55542.0
2017.0,Southern Tier,71,Arts, Entertainment, and Recreation,2780.0
2017.0,Long Island,56,Administrative and Support and Waste Management and Remediation Services,72210.0
2016.0,Capital Region,51,Information,9925.0
2016.0,Southern Tier,11,Agriculture, Forestry, Fishing and Hunting,2973.0
2016.0,Central New York,99,Unclassified Industry,882.0
2017.0,Mid-Hudson,48,Transportation and Warehousing,28251.0
2014.0,Mid-Hudson,51,Information,16255.0
2017.0,Capital Region,56,Administrative and Support and Waste Management and Remediation Services,20862.0
2017.0,Mid-Hudson,99,Unclassified Industry,5191.0
2016.0,New York City,23,Construction,181314.0
2016.0,Mohawk Valley,48,Transportation and Warehousing,8246.0
2016.0,Capital Region,23,Construction,26468.0
2017.0,Mid-Hudson,81,Other Services (except Public Administration),45491.0
2016.0,Western New York,90,Government,52943.0
2016.0,North Country,52,Finance and Insurance,2431.0
2016.0,Finger Lakes,72,Accommodation and Food Services,42740.0
2017.0,Long Island,52,Finance and Insurance,52621.0
2016.0,Long Island,48,Transportation and Warehousing,43930.0
2016.0,Southern Tier,72,Accommodation and Food Services,21314.0
2016.0,North Country,53,Real Estate and Rental and Leasing,1691.0
2016.0,New York City,53,Real Estate and Rental and Leasing,140059.0
2017.0,North Country,51,Information,1708.0
2017.0,Western New York,72,Accommodation and Food Services,60106.0
2017.0,Mohawk Valley,11,Agriculture, Forestry, Fishing and Hunting,988.0
2017.0,Western New York,48,Transportation and Warehousing,17168.0
2017.0,Central New York,52,Finance and Insurance,11625.0
2017.0,Mid-Hudson,11,Agriculture, Forestry, Fishing and Hunting,3865.0
2016.0,Southern Tier,31,Manufacturing,33779.0
2017.0,Mohawk Valley,44,Retail Trade,22635.0
2017.0,Western New York,51,Information,7558.0
2017.0,Mid-Hudson,72,Accommodation and Food Services,71141.0
2016.0,North Country,81,Other Services (except Public Administration),6416.0
2016.0,Southern Tier,22,Utilities,1340.0
2016.0,North Country,99,Unclassified Industry,340.0
2016.0,Central New York,55,Management of Companies and Enterprises,4235.0
2016.0,Finger Lakes,56,Administrative and Support and Waste Management and Remediation Services,30675.0
2017.0,Finger Lakes,22,Utilities,1770.0
2016.0,Capital Region,53,Real Estate and Rental and Leasing,7244.0
