Award Year,Loan Forgiveness Program Name,Region Name,Loan Forgiveness Program Headcount,Loan Forgiveness Program Dollars
2012.0,John R. Justice Student Loan Repayment Program,Capital District,8.0,7922.45
2012.0,John R. Justice Student Loan Repayment Program,Central New York,3.0,2915.28
2012.0,John R. Justice Student Loan Repayment Program,Finger Lakes,8.0,7922.44
2012.0,John R. Justice Student Loan Repayment Program,Hudson Valley,8.0,7811.17
2012.0,John R. Justice Student Loan Repayment Program,Long Island,10.0,10014.32
2012.0,John R. Justice Student Loan Repayment Program,New York City,30.0,29486.61
2012.0,John R. Justice Student Loan Repayment Program,North Country,7.0,6987.77
2012.0,John R. Justice Student Loan Repayment Program,Southern Tier,3.0,3026.55
2012.0,John R. Justice Student Loan Repayment Program,Western New York,7.0,6987.77
2012.0,John R. Justice Student Loan Repayment Program,x - unassigned,5.0,4784.64
2012.0,Loan Forgiveness for District Attorneys,Capital District,29.0,98600.0
2012.0,Loan Forgiveness for District Attorneys,Central New York,26.0,88077.0
2012.0,Loan Forgiveness for District Attorneys,Finger Lakes,49.0,166408.0
2012.0,Loan Forgiveness for District Attorneys,Hudson Valley,53.0,180200.0
2012.0,Loan Forgiveness for District Attorneys,Long Island,93.0,316200.0
2012.0,Loan Forgiveness for District Attorneys,Mohawk Valley,7.0,23800.0
2012.0,Loan Forgiveness for District Attorneys,New York City,442.0,1498856.0
2012.0,Loan Forgiveness for District Attorneys,North Country,11.0,37400.0
2012.0,Loan Forgiveness for District Attorneys,Southern Tier,10.0,34000.0
2012.0,Loan Forgiveness for District Attorneys,Western New York,39.0,132452.66
2012.0,Loan Forgiveness for District Attorneys,x - unassigned,8.0,27200.0
2012.0,Loan Forgiveness for Licensed Social Workers,Central New York,10.0,63207.0
2012.0,Loan Forgiveness for Licensed Social Workers,Finger Lakes,16.0,95135.36
2012.0,Loan Forgiveness for Licensed Social Workers,Long Island,2.0,13000.0
2012.0,Loan Forgiveness for Licensed Social Workers,Mohawk Valley,1.0,6500.0
2012.0,Loan Forgiveness for Licensed Social Workers,New York City,97.0,610778.69
2012.0,Loan Forgiveness for Licensed Social Workers,North Country,1.0,6500.0
2012.0,Loan Forgiveness for Licensed Social Workers,Southern Tier,7.0,45500.0
2012.0,Loan Forgiveness for Licensed Social Workers,Western New York,9.0,48887.0
2012.0,Loan Forgiveness for Licensed Social Workers,x - unassigned,12.0,75072.0
2012.0,Loan Forgiveness for Nursing Faculty,Capital District,3.0,21000.0
2012.0,Loan Forgiveness for Nursing Faculty,Central New York,4.0,31201.0
2012.0,Loan Forgiveness for Nursing Faculty,Finger Lakes,9.0,72000.0
2012.0,Loan Forgiveness for Nursing Faculty,Hudson Valley,7.0,42598.0
2012.0,Loan Forgiveness for Nursing Faculty,Long Island,9.0,68157.46
2012.0,Loan Forgiveness for Nursing Faculty,Mohawk Valley,4.0,30867.0
2012.0,Loan Forgiveness for Nursing Faculty,New York City,8.0,56772.34
2012.0,Loan Forgiveness for Nursing Faculty,North Country,3.0,24000.0
2012.0,Loan Forgiveness for Nursing Faculty,Southern Tier,4.0,25463.0
2012.0,Loan Forgiveness for Nursing Faculty,Western New York,9.0,72000.0
2012.0,Loan Forgiveness for Nursing Faculty,x - unassigned,1.0,8000.0
2011.0,John R. Justice Student Loan Repayment Program,Capital District,9.0,19111.65
2011.0,John R. Justice Student Loan Repayment Program,Central New York,5.0,10719.45
2011.0,John R. Justice Student Loan Repayment Program,Finger Lakes,9.0,19111.65
2011.0,John R. Justice Student Loan Repayment Program,Hudson Valley,10.0,21189.0
2011.0,John R. Justice Student Loan Repayment Program,Long Island,10.0,21189.0
2011.0,John R. Justice Student Loan Repayment Program,Mohawk Valley,1.0,2160.45
2011.0,John R. Justice Student Loan Repayment Program,New York City,37.0,78191.55
2011.0,John R. Justice Student Loan Repayment Program,North Country,9.0,19111.65
2011.0,John R. Justice Student Loan Repayment Program,Southern Tier,3.0,6315.15
2011.0,John R. Justice Student Loan Repayment Program,Western New York,8.0,16868.1
2011.0,Loan Forgiveness for District Attorneys,Capital District,30.0,102000.0
2011.0,Loan Forgiveness for District Attorneys,Central New York,26.0,88400.0
2011.0,Loan Forgiveness for District Attorneys,Finger Lakes,50.0,170000.0
2011.0,Loan Forgiveness for District Attorneys,Hudson Valley,36.0,122400.0
2011.0,Loan Forgiveness for District Attorneys,Long Island,98.0,330948.0
2011.0,Loan Forgiveness for District Attorneys,Mohawk Valley,3.0,10200.0
2011.0,Loan Forgiveness for District Attorneys,New York City,443.0,1502646.0
2011.0,Loan Forgiveness for District Attorneys,North Country,12.0,40800.0
2011.0,Loan Forgiveness for District Attorneys,Southern Tier,8.0,27200.0
2011.0,Loan Forgiveness for District Attorneys,Western New York,36.0,122400.0
2011.0,Loan Forgiveness for District Attorneys,x - unassigned,17.0,57800.0
2011.0,Loan Forgiveness for Licensed Social Workers,Central New York,11.0,71500.0
2011.0,Loan Forgiveness for Licensed Social Workers,Finger Lakes,14.0,91000.0
2011.0,Loan Forgiveness for Licensed Social Workers,Hudson Valley,2.0,10591.0
2011.0,Loan Forgiveness for Licensed Social Workers,Long Island,2.0,13000.0
2011.0,Loan Forgiveness for Licensed Social Workers,Mohawk Valley,2.0,10199.0
2011.0,Loan Forgiveness for Licensed Social Workers,New York City,101.0,636580.39
2011.0,Loan Forgiveness for Licensed Social Workers,North Country,3.0,13895.0
2011.0,Loan Forgiveness for Licensed Social Workers,Southern Tier,6.0,39000.0
2011.0,Loan Forgiveness for Licensed Social Workers,Western New York,9.0,58500.0
2011.0,Loan Forgiveness for Licensed Social Workers,x - unassigned,3.0,19500.0
2011.0,Loan Forgiveness for Nursing Faculty,Capital District,10.0,76799.21
2011.0,Loan Forgiveness for Nursing Faculty,Central New York,7.0,47128.0
2011.0,Loan Forgiveness for Nursing Faculty,Finger Lakes,9.0,72000.0
2011.0,Loan Forgiveness for Nursing Faculty,Hudson Valley,6.0,48000.0
2011.0,Loan Forgiveness for Nursing Faculty,Long Island,5.0,40000.0
2011.0,Loan Forgiveness for Nursing Faculty,Mohawk Valley,3.0,24000.0
2011.0,Loan Forgiveness for Nursing Faculty,New York City,9.0,72000.0
2011.0,Loan Forgiveness for Nursing Faculty,North Country,1.0,8000.0
2011.0,Loan Forgiveness for Nursing Faculty,Southern Tier,3.0,24000.0
2011.0,Loan Forgiveness for Nursing Faculty,Western New York,11.0,77420.0
2011.0,Loan Forgiveness for Nursing Faculty,x - unassigned,3.0,24000.0
