Authority Name,Fiscal Year End Date,Bonds,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Amount Issued,Date Issued,Interest Rate,Expected Year Retired,Principal Retired During Year,Principal Retired at Start of Fiscal Year,Amount Outstanding,Bond Purpose,New Jobs,Jobs Planned,Jobs Created,Fully Retired
MUNIPRO, Inc.,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
MUNIPRO, Inc.,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
MUNIPRO, Inc.,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bethel Local Development Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
ATC of Buffalo and Erie County, Inc.,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany CSO Pool Communities Corporation,09/30/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany CSO Pool Communities Corporation,09/30/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
