Authority Name,Fiscal Year End Date,Awarded Grants,Grant Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Grant Amount,Date Grant Awarded,Grant Purpose,New Jobs,Jobs Planned,Jobs Created
"ATC of Buffalo and Erie County, Inc.",12/31/2011,No,,,,,,,,,,,
Albany CSO Pool Communities Corporation,09/30/2016,No,,,,,,,,,,,
Albany CSO Pool Communities Corporation,09/30/2017,No,,,,,,,,,,,
Albany CSO Pool Communities Corporation,09/30/2018,No,,,,,,,,,,,
Albany CSO Pool Communities Corporation,09/30/2019,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2011,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2012,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2013,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2014,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2015,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2016,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2017,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2018,No,,,,,,,,,,,
Albany County Business Development Corporation,12/31/2019,No,,,,,,,,,,,
Albany County Capital Resource Corporation,12/31/2014,No,,,,,,,,,,,
Albany County Capital Resource Corporation,12/31/2015,,Other,Huck Finn Playland LLC,ALBANY,NY,12204,150000.0,02/18/2015,Equipment and Fixed Asset Acquisition,Yes,30.0,35.0
Albany County Capital Resource Corporation,12/31/2015,,Other,Town of Berne,BERNE,NY,12023,125000.0,01/22/2015,Land Preservation/Resource Conservation/Recreation,No,,
Albany County Capital Resource Corporation,12/31/2016,No,,,,,,,,,,,
Albany County Capital Resource Corporation,12/31/2017,No,,,,,,,,,,,
Albany County Capital Resource Corporation,12/31/2018,No,,,,,,,,,,,
Albany County Capital Resource Corporation,12/31/2019,No,,,,,,,,,,,
Albany County Land Bank Corporation,06/30/2015,,Municipal,Albany County Land Bank,ALBANY,NY,12210,500000.0,09/26/2014,Business Expansion/Startup,Yes,3.0,3.0
Albany County Land Bank Corporation,06/30/2015,,State,Albany County Land Bank,ALBANY,NY,12210,585000.0,10/12/2015,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Albany County Land Bank Corporation,06/30/2016,No,,,,,,,,,,,
Albany County Land Bank Corporation,06/30/2017,No,,,,,,,,,,,
Albany County Land Bank Corporation,06/30/2018,No,,,,,,,,,,,
Albany County Land Bank Corporation,12/31/2018,No,,,,,,,,,,,
Albany County Land Bank Corporation,12/31/2019,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2011,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2012,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2013,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2014,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2015,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2016,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2017,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2018,No,,,,,,,,,,,
Allegany County Capital Resource Corporation,12/31/2019,No,,,,,,,,,,,
Allegany County Land Bank Corporation,12/31/2017,No,,,,,,,,,,,
Allegany County Land Bank Corporation,12/31/2018,No,,,,,,,,,,,
Allegany County Land Bank Corporation,12/31/2019,No,,,,,,,,,,,
Apple Industrial Development Corporation,06/30/2011,No,,,,,,,,,,,
Apple Industrial Development Corporation,06/30/2012,No,,,,,,,,,,,
Apple Industrial Development Corporation,06/30/2013,No,,,,,,,,,,,
Apple Industrial Development Corporation,06/30/2014,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2011,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2012,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2013,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2014,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2015,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2016,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2017,No,,,,,,,,,,,
Auburn Local Development Corporation,12/31/2018,No,,,,,,,,,,,
BURA INC,12/31/2018,No,,,,,,,,,,,
BURA INC,12/31/2019,No,,,,,,,,,,,
Batavia Development Corporation,03/31/2012,No,,,,,,,,,,,
Batavia Development Corporation,03/31/2013,No,,,,,,,,,,,
Batavia Development Corporation,03/31/2014,No,,,,,,,,,,,
Batavia Development Corporation,03/31/2015,No,,,,,,,,,,,
Batavia Development Corporation,03/31/2016,,Federal,Amy's Fluffy Friends,BATAVIA,NY,14020,8500.0,09/03/2015,Business Expansion/Startup,No,5.0,0.0
Batavia Development Corporation,03/31/2016,,Federal,T-Shirts Etc,BATAVIA,NY,14020,25000.0,09/03/2015,Business Expansion/Startup,Yes,1.0,2.0
Batavia Development Corporation,03/31/2016,,Federal,Teddy Bear Daycare,BATAVIA,NY,14020,15000.0,09/03/2015,Business Expansion/Startup,Yes,1.0,1.0
Batavia Development Corporation,03/31/2016,,Federal,The Hidden Door,BATAVIA,NY,14020,10000.0,03/30/2016,Business Expansion/Startup,Yes,1.0,0.0
Batavia Development Corporation,03/31/2016,,Federal,Trash Away LLC,BATAVIA,NY,14020,30000.0,09/17/2015,Business Expansion/Startup,Yes,1.0,1.0
Batavia Development Corporation,03/31/2017,,Federal,AGRV - freshLAB,BATAVIA,NY,14020,27494.0,08/01/2015,Business Expansion/Startup,Yes,7.0,2.0
Batavia Development Corporation,03/31/2018,,Federal,Batavia Dev Corp - FreshLAB restaurant incubator,BATAVIA,NY,14020,23662.0,08/24/2016,Equipment and Fixed Asset Acquisition,Yes,7.0,23.0
Batavia Development Corporation,03/31/2018,,Other,Batavia Dev Corp - AGRV Properties Inc,BATAVIA,NY,14020,100000.0,12/01/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,7.0,23.0
Batavia Development Corporation,03/31/2018,,State,Batavia Dev Corp - AGRV Properties Inc,BATAVIA,NY,14020,490000.0,12/08/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Batavia Development Corporation,03/31/2018,,State,Batavia Dev Corp - Harvester/Mancuso,BATAVIA,NY,14020,15000.0,12/08/2015,Marketing and Business Recruitment,No,,
Batavia Development Corporation,03/31/2019,,State,Batavia Development Corporation,BATAVIA,NY,14020,600000.0,07/11/2018,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2011,No,,,,,,,,,,,
Bethel Local Development Corporation,12/31/2012,No,,,,,,,,,,,
Bethel Local Development Corporation,12/31/2013,,Not for Profit,ASAP Warehouse,MONGAUP VALLEY,NY,12762,1000.0,06/29/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2013,,Not for Profit,Janet Planet's Kozmic Kitchen,MONGAUP VALLEY,NY,12762,974.85,07/27/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2013,,Not for Profit,Keller Signs,MONTICELLO,NY,12701,1000.0,06/21/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2013,,Not for Profit,Lighthouse Restaurant,WHITE LAKE,NY,12786,625.0,07/27/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2013,,Not for Profit,Stray Cat Gallery,BETHEL,NY,12720,1000.0,07/27/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2014,,Not for Profit,Bubba's BBQ,WHITE LAKE,NY,12786,800.0,06/27/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2014,,Not for Profit,Java Love,WHITE LAKE,NY,12786,1000.0,06/27/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2014,,Not for Profit,L and M Greenhouses,WHITE LAKE,NY,12786,800.0,06/27/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2015,,Private,L and M Greenhouse,WHITE LAKE,NY,12786,200.0,07/06/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2016,,Private,L and M Greenhouse,WHITE LAKE,NY,12786,600.0,04/05/2016,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bethel Local Development Corporation,12/31/2017,No,,,,,,,,,,,
Bethel Local Development Corporation,12/31/2018,No,,,,,,,,,,,
Bethel Local Development Corporation,12/31/2019,No,,,,,,,,,,,
Binghamton Local Development Corporation,08/31/2011,,Federal,Heather Staley,BINGHAMTON,NY,13901,5000.0,07/01/2011,Business Expansion/Startup,No,,
Binghamton Local Development Corporation,08/31/2011,,State,"135 Washington Street Development, LLC",BINGHAMTON,NY,13901,15039.86,07/13/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2011,,State,Binghamton Local Development Corporation,BINGHAMTON,NY,13901,10000.0,02/23/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2011,,State,Florence Street Associates,BINGHAMTON,NY,13905,13400.0,04/25/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2011,,State,Frederick J. Meagher & Sherwood Walls - Hawley St. Partners,BINGHAMTON,NY,13901,35000.0,05/02/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2011,,State,"Greater Binghamton Development, LLC",BINGHAMTON,NY,13901,35512.5,05/23/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2011,,State,Mary Puglisi,BINGHAMTON,NY,13901,37397.64,03/25/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
