Authority Name,Fiscal Year End Date,Loans,Loan Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Date Loan Awarded,Original Loan Amount,Interest Rate,Loan Length,Amount Repaid,Loan Purpose,New Jobs,Jobs Planned,Jobs Created,Loan Terms Completed
Columbia County Capital Resource Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Monroe County Sports Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Riverhead IDA Economic Job Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Greene Tobacco Asset Securitization Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Hudson Yards Development Corporation,06/30/2014,No,,,,,,,,,,,,,,,
Queens Economic Development Corporation,06/30/2012,No,,,,,,,,,,,,,,,
Queens Economic Development Corporation,06/30/2013,No,,,,,,,,,,,,,,,
New Main Street Development Corporation,12/31/2012,No,,,,,,,,,,,,,,,
City of Troy Capital Resource Corporation,12/31/2016,No,,,,,,,,,,,,,,,
Greater Rochester Outdoor Sports Facility Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Salamanca Area Development Corporation,03/31/2011,No,,,,,,,,,,,,,,,
Watertown Industrial Center Local Development Corporation,06/30/2011,,Federal,Ferguson Waterworks,WATERTOWN,NY,13601,04/17/2007,100000.0,3.0,5.0,61741.85,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Watertown Industrial Center Local Development Corporation,06/30/2011,,Federal,Ferguson Waterworks,WATERTOWN,NY,13601,02/17/2009,25179.75,3.0,5.0,25179.75,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,Yes
Watertown Industrial Center Local Development Corporation,06/30/2011,,Federal,Jefferson County Job Development Corporation,WATERTOWN,NY,13601,09/21/2004,81000.0,3.0,5.0,81000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,Yes
Watertown Industrial Center Local Development Corporation,06/30/2011,,Federal,ServPro of Jefferson County,WATERTOWN,NY,13601,06/24/2008,58457.0,3.0,10.0,15840.62,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Wyandanch Community Development Corporation,06/30/2011,No,,,,,,,,,,,,,,,
Coney Island Development Corporation,06/30/2011,No,,,,,,,,,,,,,,,
"TSASC, Inc.",06/30/2011,No,,,,,,,,,,,,,,,
Fiscal Year 2005 Securitization Corporation,06/30/2011,No,,,,,,,,,,,,,,,
STAR (Sales Tax Asset Receivable) Corporation,06/30/2011,No,,,,,,,,,,,,,,,
