DataSet,ID,LocationName,Terminal,TerminalLevel,LocationType,Campus,DataExportDateTime,Lat,Long
Defibrillator,56367,Defibrillator,3,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94502843,-118.40732401
Defibrillator,56368,Defibrillator,3,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94511909,-118.40663238
Defibrillator,56366,Defibrillator,3,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94631599,-118.40738589
Defibrillator,56369,Defibrillator,3,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94502456,-118.40707113
Defibrillator,56370,Defibrillator,3,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94552087,-118.4072738
Defibrillator,56371,Defibrillator,3,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94657248,-118.40722629
Defibrillator,56372,Defibrillator,3,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94653773,-118.40754324
Defibrillator,56373,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.93994347,-118.41003653
Defibrillator,56374,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94082773,-118.41015078
Defibrillator,56375,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94220979,-118.41038786
Defibrillator,56376,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94407389,-118.40962585
Defibrillator,56377,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94389678,-118.41000942
Defibrillator,56378,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94327971,-118.41004356
Defibrillator,56379,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94307252,-118.41050022
Defibrillator,56380,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94426573,-118.41053112
Defibrillator,56381,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94519868,-118.4108055
Defibrillator,56382,Defibrillator,T2,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94538387,-118.40437029
Defibrillator,56383,Defibrillator,T2,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94533912,-118.40529379
Defibrillator,56384,Defibrillator,T2,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94548656,-118.4035912
Defibrillator,56385,Defibrillator,T2,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94541569,-118.40412788
Defibrillator,56386,Defibrillator,T2,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94515771,-118.40576897
Defibrillator,56388,Defibrillator,T2,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94643193,-118.404298
Defibrillator,56389,Defibrillator,T2,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94590719,-118.40385497
Defibrillator,56390,Defibrillator,T2,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94680401,-118.40419874
Defibrillator,56391,Defibrillator,T2,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94683607,-118.40409918
Defibrillator,56392,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94335118,-118.40849808
Defibrillator,56393,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94372871,-118.40855357
Defibrillator,56394,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94327013,-118.40848618
Defibrillator,56395,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94324108,-118.40919275
Defibrillator,56396,Defibrillator,T2,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94585837,-118.40427705
Defibrillator,56397,Defibrillator,T2,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94636601,-118.40422045
Defibrillator,56398,Defibrillator,T2,4.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94643652,-118.40401384
Defibrillator,56399,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94276386,-118.40943353
Defibrillator,56400,Defibrillator,TBIT,4.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94278856,-118.40945368
Defibrillator,56401,Defibrillator,TBIT,4.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94389449,-118.41000776
Defibrillator,56402,Defibrillator,TBIT,4.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94318449,-118.40986515
Defibrillator,56403,Defibrillator,T1,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94567738,-118.40109777
Defibrillator,56404,Defibrillator,T1,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94564734,-118.40084143
Defibrillator,56405,Defibrillator,T1,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94620677,-118.40111589
Defibrillator,56408,Defibrillator,T1,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94576747,-118.4018503
Defibrillator,56409,Defibrillator,T1,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94590331,-118.40071182
Defibrillator,56410,Defibrillator,T1,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94755825,-118.40133144
Defibrillator,56411,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94419962,-118.40861701
Defibrillator,56412,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94406952,-118.40947958
Defibrillator,56362,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94279298,-118.40929059
Defibrillator,56413,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94572975,-118.41055629
Defibrillator,56414,Defibrillator,TBIT,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94617111,-118.41032454
