OBJECTID,LABEL,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1,Adams Township,2601890.0,61.0,27.0,10.0,17.0,34.0,14.0,24.0,37.0,,0.0,0.0,0.0,0.37037037037037,0.411764705882353,,0.0,2335145419.62891,372236.508200235
2,Addison,2601920.0,219.0,95.0,35.0,60.0,124.0,51.0,86.0,133.0,8.0,0.0,0.0,0.0,0.368421052631579,0.411290322580645,0.0365296803652968,0.0,2086111291.05432,388829.899328688
3,Adrian,2601950.0,1076.0,536.0,191.0,345.0,540.0,237.0,428.0,648.0,61.0,0.0,0.0,0.0,0.35634328358209,0.438888888888889,0.0566914498141264,0.0,1929500283.46033,478469.932480884
4,Airport,2601980.0,516.0,249.0,91.0,158.0,267.0,116.0,207.0,309.0,17.0,0.0,0.0,0.0,0.365461847389558,0.434456928838951,0.0329457364341085,0.0,2318119546.21265,335503.307432365
5,Akron-Fairgrove,2602010.0,183.0,84.0,33.0,51.0,99.0,45.0,78.0,105.0,,0.0,0.0,0.0,0.392857142857143,0.454545454545455,,0.0,2569049690.26563,460145.999420713
6,Alanson,2621810.0,141.0,70.0,26.0,44.0,71.0,32.0,58.0,83.0,8.0,0.0,0.0,0.0,0.371428571428571,0.450704225352113,0.0567375886524823,0.0,1172731539.74219,201057.964023235
7,Alba,2602040.0,39.0,21.0,6.0,15.0,18.0,6.0,12.0,27.0,,0.0,0.0,0.0,0.285714285714286,0.333333333333333,,0.0,1849303197.05371,299585.285400198
8,Albion,2602070.0,500.0,238.0,85.0,153.0,262.0,110.0,195.0,305.0,28.0,0.0,0.0,0.0,0.357142857142857,0.419847328244275,0.056,0.0,1818229772.17847,335549.481766602
9,Alcona,2602160.0,210.0,81.0,27.0,54.0,129.0,54.0,81.0,129.0,,0.0,0.0,0.0,0.333333333333333,0.418604651162791,,0.0,11083460315.8037,562474.205808738
10,Algonac,2602190.0,353.0,162.0,59.0,103.0,191.0,76.0,135.0,218.0,14.0,0.0,0.0,0.0,0.364197530864198,0.397905759162304,0.0396600566572238,0.0,1300048700.47412,765398.458769249
11,Allegan,2602220.0,745.0,377.0,146.0,231.0,368.0,161.0,307.0,438.0,28.0,0.0,0.0,0.0,0.387267904509284,0.4375,0.0375838926174497,0.0,4356295765.6936,505583.714756845
12,Allen Park,2602520.0,400.0,170.0,56.0,114.0,230.0,89.0,145.0,255.0,7.0,0.0,0.0,0.0,0.329411764705882,0.38695652173913,0.0175,0.0,104285689.932861,53493.4843844254
13,Allendale,2602550.0,249.0,117.0,36.0,81.0,132.0,48.0,84.0,165.0,7.0,0.0,0.0,0.0,0.307692307692308,0.363636363636364,0.0281124497991968,0.0,891182785.916992,134338.567183624
14,Alma,2602640.0,599.0,270.0,105.0,165.0,329.0,145.0,250.0,349.0,14.0,0.0,0.0,0.0,0.388888888888889,0.440729483282675,0.0233722871452421,0.0,2842725137.98926,357916.854403598
15,Almont,2602670.0,134.0,61.0,19.0,42.0,73.0,25.0,44.0,90.0,8.0,0.0,0.0,0.0,0.311475409836066,0.342465753424658,0.0597014925373134,0.0,1607389644.67139,314704.487082679
16,Alpena,2602730.0,1052.0,477.0,164.0,313.0,575.0,231.0,395.0,657.0,20.0,0.0,0.0,0.0,0.343815513626834,0.401739130434783,0.0190114068441065,0.0,16896884267.4561,1168154.32774196
17,Anchor Bay,2602790.0,490.0,218.0,62.0,156.0,272.0,90.0,152.0,338.0,17.0,0.0,0.0,0.0,0.284403669724771,0.330882352941176,0.0346938775510204,0.0,798715847.663086,173903.174623414
18,Ann Arbor,2602820.0,1210.0,558.0,170.0,388.0,652.0,218.0,388.0,822.0,69.0,0.0,0.0,0.0,0.304659498207885,0.334355828220859,0.0570247933884298,0.0,2890793260.70996,382787.356735718
19,Arenac Eastern,2603060.0,108.0,43.0,17.0,26.0,65.0,30.0,47.0,61.0,,0.0,0.0,0.0,0.395348837209302,0.461538461538462,,0.0,2457892030.43555,356651.280242934
20,Armada,2603240.0,138.0,46.0,10.0,36.0,92.0,34.0,44.0,94.0,,0.0,0.0,0.0,0.217391304347826,0.369565217391304,,0.0,2066122221.25684,281163.455512986
21,Arvon Township,2603270.0,9.0,,,,7.0,,,6.0,,0.0,0.0,0.0,,,,0.0,3496089473.87891,395731.370838547
22,Ashley,2603480.0,114.0,48.0,17.0,31.0,66.0,27.0,44.0,70.0,,0.0,0.0,0.0,0.354166666666667,0.409090909090909,,0.0,1674741765.91113,526471.967717398
23,Athens,2603510.0,119.0,53.0,18.0,35.0,66.0,21.0,39.0,80.0,,0.0,0.0,0.0,0.339622641509434,0.318181818181818,,0.0,2076681618.43262,317662.456144766
24,Atherton,2603540.0,218.0,108.0,39.0,69.0,110.0,48.0,87.0,131.0,10.0,0.0,0.0,0.0,0.361111111111111,0.436363636363636,0.0458715596330275,0.0,253805015.45459,111056.943652144
25,Atlanta,2603570.0,135.0,60.0,18.0,42.0,75.0,28.0,46.0,89.0,,0.0,0.0,0.0,0.3,0.373333333333333,,0.0,5394763150.83691,434920.007819814
26,Au Gres-Sims,2603600.0,129.0,50.0,17.0,33.0,79.0,35.0,52.0,77.0,,0.0,0.0,0.0,0.34,0.443037974683544,,0.0,1947172617.04688,421261.1286816
27,Autrain-Onota,2603660.0,22.0,,,,18.0,8.0,9.0,13.0,,0.0,0.0,0.0,,0.444444444444444,,0.0,4387029924.90234,430554.347120397
28,Avondale,2603690.0,363.0,182.0,62.0,120.0,181.0,71.0,133.0,230.0,20.0,0.0,0.0,0.0,0.340659340659341,0.392265193370166,0.0550964187327824,0.0,339563841.044434,130655.698696892
29,Bad Axe,2600017.0,248.0,121.0,44.0,77.0,127.0,54.0,98.0,150.0,6.0,0.0,0.0,0.0,0.363636363636364,0.425196850393701,0.0241935483870968,0.0,2505657092.64941,552046.519164707
30,Baldwin,2603810.0,529.0,225.0,90.0,135.0,304.0,135.0,225.0,304.0,17.0,0.0,0.0,0.0,0.4,0.444078947368421,0.0321361058601134,0.0,10301378298.7813,721147.998950935
31,Bangor,2603870.0,502.0,234.0,86.0,148.0,268.0,114.0,200.0,302.0,8.0,0.0,0.0,0.0,0.367521367521368,0.425373134328358,0.0159362549800797,0.0,2399007948.67188,502292.507948118
32,Bangor Township,2603900.0,280.0,137.0,51.0,86.0,143.0,60.0,111.0,169.0,17.0,0.0,0.0,0.0,0.372262773722628,0.41958041958042,0.0607142857142857,0.0,420227392.847656,133562.432421445
33,Bangor Township #8,2603960.0,11.0,,,,6.0,,,6.0,,0.0,0.0,0.0,,,,0.0,112992874.312744,113101.642469852
34,Baraga,2603990.0,122.0,64.0,20.0,44.0,58.0,20.0,40.0,82.0,,0.0,0.0,0.0,0.3125,0.344827586206897,,0.0,5820542411.69531,397636.248478647
35,Bark River-Harris,2604020.0,64.0,32.0,9.0,23.0,32.0,9.0,18.0,46.0,,0.0,0.0,0.0,0.28125,0.28125,,0.0,4959036004.61914,416677.934379759
36,Bath,2604170.0,104.0,61.0,22.0,39.0,43.0,17.0,39.0,65.0,6.0,0.0,0.0,0.0,0.360655737704918,0.395348837209302,0.0576923076923077,0.0,1154451394.3667,236851.031185088
37,Battle Creek,2600005.0,2328.0,1166.0,410.0,756.0,1162.0,489.0,899.0,1429.0,116.0,7.0,0.0,0.0,0.351629502572899,0.420826161790017,0.0498281786941581,0.0030068728522336,1173680232.59155,283266.181310086
