Year,Total___Chlamydia_Cases_Diagnos,F__Cases_Among_Ages_Under_15_Yea,F__Cases_Among_Ages_15_19_Years_,F__Cases_Among_Ages_20_24_Years,F__Cases_Among_Ages_25_29_Years,F__Cases_Among_Ages_30_44_Years,F__Cases_Among_Ages_45_Years___O,ObjectId
2001.0,11552.0,223.0,3787.0,4049.0,1829.0,1323.0,162.0,1.0
2002.0,11374.0,216.0,3811.0,4018.0,1748.0,1319.0,138.0,2.0
2003.0,10423.0,167.0,3709.0,3419.0,1570.0,1296.0,162.0,3.0
2004.0,12719.0,280.0,4594.0,4243.0,1788.0,1517.0,174.0,4.0
2005.0,13425.0,304.0,5390.0,4181.0,1705.0,1542.0,165.0,5.0
2006.0,11071.0,321.0,4813.0,3136.0,1373.0,1194.0,157.0,6.0
2007.0,13656.0,368.0,6305.0,3811.0,1653.0,1276.0,203.0,7.0
2008.0,17364.0,449.0,8376.0,4918.0,1806.0,1589.0,209.0,8.0
2009.0,17717.0,361.0,8355.0,5282.0,1861.0,1590.0,218.0,9.0
2010.0,18830.0,414.0,8567.0,6136.0,1926.0,1492.0,218.0,10.0
2011.0,16264.0,336.0,7215.0,5515.0,1665.0,1287.0,189.0,11.0
2012.0,13787.0,273.0,5604.0,4998.0,1541.0,1150.0,183.0,12.0
2013.0,11490.0,216.0,4237.0,4532.0,1340.0,953.0,134.0,13.0
2014.0,10028.0,120.0,3311.0,4069.0,1361.0,960.0,188.0,14.0
2015.0,10839.0,127.0,3349.0,4145.0,1816.0,1150.0,226.0,15.0
2016.0,9729.0,144.0,3134.0,3481.0,1696.0,1050.0,213.0,16.0
2017.0,10693.0,117.0,3294.0,3758.0,2082.0,1197.0,234.0,17.0
