X,Y,OBJECTID,FacilityID,Name,Address,City,Zip,Type,Phone,Website,Organics,CSA,Dairy,FarmersMarket,Honey,Meat,OrchardCiderMill,Retail,UPick,ChristmasTree,NativePlants,Alpaca,BreweryWinery,Other,Comment,RevisionDate,NurseryGreenhouse
-9282333.58544512,5283624.81153478,1,231,Sunshine Meadows Farm,2610 Cook Trl,Ortonville,48462,CSA,248-464-1825,http://www.sunshinemeadowsfarm.com,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Eggs, grains, vegetables, fruit, herbs, flowers, meat (broilers,ducks,hertiage turkeys)",2013/10/25 00:00:00+00,No
-9263748.39857097,5244029.55557097,2,233,Birmingham Farmers Market,660 N Old Woodward Ave,Birmingham,48009,Farmers Market,248-530-1200,http://www.birminghamfarmersmarket.org,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,No
-9281150.91345299,5230637.13200329,3,234,Farmington Farmers & Artisans Market,33111 Grand River Ave,Farmington,48335,Farmers Market,248-971-5882,http://www.farmingtonfarmersmarket.com,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,No
-9276612.07243874,5259322.15988495,4,235,Oakland County Farmers Market,2350 Pontiac Lake Rd,Waterford,48328,Farmers Market,248-858-5495,http://www.oakgov.com/parks/parksandtrails/farmers-market/Pages/default.aspx,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2017/06/27 00:00:00+00,No
-9254224.41053278,5263259.28196539,5,237,Rochester Farmers Market,202 E 3rd St,Rochester,48307,Farmers Market,248-656-0060,http://www.downtownrochestermi.com,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,No
-9255223.21306337,5234574.21298323,6,238,Royal Oak Farmers Market,316 E 11 Mile Rd,Royal Oak,48067,Farmers Market,248-246-3276,http://www.romi.gov/389/Farmers-Market,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2017/06/27 00:00:00+00,No
-9254640.17306794,5272695.27788547,7,240,Fogler’s Greenhouse & Farm Market,3979 N Rochester Rd,Rochester,48306,Farmers Market,248-652-3614,http://www.foglersgreenhouse.com,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,<Null>,2015/09/04 00:00:00+00,No
-9254081.44485463,5253233.61695558,8,241,Peacock's Poultry Farm,6355 Rochester Rd,Troy,48085,Meat,"248-879-0020
",http://www.peacockspoultryfarm.com,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Poultry, lamb/veal, pork, beef, wild game, seafood, dairy",2013/10/25 00:00:00+00,No
-9308331.46766178,5256583.05492634,9,244,Colasanti's Market,468 S Milford Rd,Highland,48357,Retail,248-887-0012,http://www.colasantis.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotoes local products,2013/10/25 00:00:00+00,No
-9281338.77167292,5282937.48722602,10,245,Ashton Orchards,3925 Seymour Lake Rd,Ortonville,48462,Orchard/Cider Mill,248-627-6671,http://www.facebook.com/pages/Ashton-Orchards/149943108360974,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Orchard, apples, applesauce, bakery products, caramel apples, cider, jams/jellies, peaches, pears, pumpkins, squash",2018/09/19 00:00:00+00,No
-9250035.18500317,5262353.87534127,11,246,Yates Cider Mill,1990 E Avon Rd,Rochester Hills,48307,Orchard/Cider Mill,248-651-8300,http://www.yatescidermill.com,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Apples, cider, bakery, picnic area, pumpkins, ice cream shop",2018/09/19 00:00:00+00,No
-9273503.41037077,5240758.71028993,12,247,Franklin Cider Mill,7450 Franklin Rd,Bloomfield Hills,48301,Orchard/Cider Mill,248-626-8261,http://www.franklincidermill.com,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Orchard, donuts, cider mill uses only Michigan apples",2018/09/19 00:00:00+00,No
-9290437.3528821,5236015.62775479,13,249,MSU Tollgate Farm,28115 Meadowbrook Rd,Novi,48375,CSA,248-347-3860,http://www.tollgate.msu.edu/sustainable-ag/,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"wait list for next season, apply early",2017/06/27 00:00:00+00,No
-9257941.21787872,5271895.29158972,14,250,Goodison Cider Mill,4295 Orion Rd,Rochester,48306,Orchard/Cider Mill,248-652-8450,http://www.goodisoncidermill.wordpress.com,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Orchard, cider, donuts, pistachio nut bread",2018/09/19 00:00:00+00,No
-9254508.53151946,5269950.24080972,15,251,Rochester Cider Mill,5125 N Rochester Rd,Rochester,48306,Orchard/Cider Mill,248-651-4224,http://www.rochestercidermill.com,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Cider, donuts, caramel apples, pony rides, petting zoo",2018/09/19 00:00:00+00,No
-9257584.12700732,5271354.75386323,16,252,Paint Creek Cider Mill,4480 Orion Rd,Rochester,48306,Orchard/Cider Mill,248-656-3400,http://www.facebook.com/PaintCreekCiderMill/,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Cider, donuts, apples, pumpkins",2018/09/19 00:00:00+00,No
-9306261.84294732,5269457.66685036,17,253,Diehl’s Orchard & Cider Mill,1479 Ranch Rd,Holly,48442,Orchard/Cider Mill,248-634-8981,http://www.diehlsorchard.com,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Orchard, apples, cider, donuts, caramel apples, apple chips, apple butter, honey, jams/jellies, fudge, pies, pumpkin",2018/09/19 00:00:00+00,No
-9312606.07966722,5236633.48059334,18,254,Erwin Orchards,61475 Silver Lake Rd,South Lyon,48178,U-Pick,248-437-0150,http://www.erwinorchards.com,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"U-pick apples (14 varieties), cider, pumpkins, raspberries, sweet cherries, sunflowers.",2015/09/04 00:00:00+00,No
-9267345.35714739,5282961.3349631,19,255,Harvest Time Farm Market,1125 S Lapeer Rd,Oxford,48371,Farmers Market,248-628-7115,http://www.facebook.com/pg/Harvest-Time-Farm-Market-Pet-Stuff-315168938501376/about/?ref=page_internal,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,<Null>,2020/08/20 00:00:00+00,No
-9260506.8278158,5282401.82486937,20,256,Upland Hills Farm CSA,2365 Indian Lake Rd,Oxford,48370,CSA,248-693-0423,http://www.uplandhillscsa.org/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Organic produce,2015/09/04 00:00:00+00,No
-9280476.93794814,5278110.72198532,21,257,Hodgson Tree Farm,5461 Whipple Lake Rd,Clarkston,48348,Christmas Tree,248-394-0390,http://www.clarkstontreefarm.com,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2015/11/01 00:00:00+00,No
-9279455.55314165,5242509.31996013,22,258,Plum Market,6565 Orchard Lake Rd ,West Bloomfield,48322,Retail,248-626-7000,http://www.plummarket.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Full service grocery with emphasis on organic and natural foods,2013/10/25 00:00:00+00,No
-9298216.55202588,5265372.16351001,23,262,Ruggles Farm Market,6401 White Lake Rd,White Lake,48383,Nursery/Greenhouse,810-869-7611,http://rugglesmarket.com/index.php/about-us,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Local plants and produce daily May thru October,2020/08/20 00:00:00+00,Yes
-9266183.40900629,5279104.92713669,24,264,Lucky's Natural Foods,101 S Broadway,Lake Orion,48362,Retail,248-693-1209,http://www.luckysnaturalfoods.com,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Full line natural organic grocery. Amish, free-range, hormone-free and antibiotic meats, poultry & turkey, raw honey, raw cheese, organic dairy products",2013/10/25 00:00:00+00,No
-9279323.13570589,5230073.08888674,25,266,The Treehouse for Earth's Children,22906 Mooney St,Farmington,48336,Retail,248-473-0624,http://www.treehouseforearthschildren.com,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2015/09/04 00:00:00+00,No
-9260828.11773698,5263609.12331644,26,267,Whole Foods Market,2918 Walton Blvd,Rochester Hills,48309,Retail,248-371-1400,http://www.wholefoodsmarket.com,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Full service grocery with emphasis on organic and natural foods,2013/10/25 00:00:00+00,No
-9261133.023513,5243258.9869832,27,268,Whole Foods Market,2100 E Maple Rd,Birmingham,48009,Retail,248-649-9600,http://www.wholefoodsmarket.com,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Full service grocery with emphasis on organic and natural foods,2018/08/01 00:00:00+00,No
