New York State Agency Occupation Title,Agency,Division,Street Address,City,State,ZIP,Telephone,URL,Occupation Code,Occupation Title,Location 1
Racetrack Exercise Rider,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/racetrack-exercise-rider.shtm, 39-2021,"Gaming Service Workers, All Other","One Broadway Center
Schenectady, NY 12305"
Armored Car Guard,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/armored-car-guard.shtm, 33-9032,Security Guards,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Mold Worker,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 161",Albany,NY,12240,5184857815,http://labor.ny.gov/stats/olcny/mold-worker.shtm, 47-4041,Hazardous Materials Removal Workers ,
Acupunturist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/acupuncturist.shtm, 29-1199,Acupunturists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
AEM Certified Planner,NYS Department of Agriculture and Markets,Division of Soil and Water,10B Airline Drive,Albany,NY,12235,5184573738,http://labor.ny.gov/stats/olcny/aem-certified-planners.shtm, 45-2011,Occupational Health and Safety Specialists,"10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Aquatic Antifouling Paint Applicator,NYS Department of Environmental Conservation,Division of Solid & Hazardous Materials,"625 Broadway, 11th Floor",Albany,NY,12233,5184028748,http://labor.ny.gov/stats/olcny/aquatic-antifouling.shtm, 51-9122,"Painters, Transportation Equipment","625 Broadway
Albany, NY 12233
(42.652548, -73.749302)"
Architect,NYS Education Department,Division of Licensing Services,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/architect.shtm, 17-1011,"Architects, Except Landscape and Naval","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Asbestos Handler,NYS Department of Health,Division of Occupational Health and Environmental Epidemiology,2 University Place,Albany,NY,12203,5184586483,http://labor.ny.gov/stats/olcny/asbestos-handler.shtm, 47-4041,Hazardous Materials Removal Workers,"2 University Place
Albany, NY 12203
(42.677372, -73.821616)"
Athlete Agent,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/athlete-agent.shtm, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Audiologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/audiologists.shtm, 29-1181,Audiologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
