Rain Season,Month,Rain Barrels,Residential (Small) Cisterns,Medium Cisterns,Large Cisterns
2016/2017,04/01/2017 12:00:00 AM,8,60,1,0
2015/2016,06/01/2016 12:00:00 AM,8733,2,0,0
2014/2015,12/01/2014 12:00:00 AM,73,0,0,0
2016/2017,03/01/2017 12:00:00 AM,311,15,2,1
2017/2018,07/01/2018 12:00:00 AM,12,2,0,0
2017/2018,09/01/2018 12:00:00 AM,14,0,0,1
2015/2016,03/01/2016 12:00:00 AM,4131,3,0,0
2017/2018,12/01/2017 12:00:00 AM,16,12,1,0
2017/2018,08/01/2018 12:00:00 AM,19,2,0,0
2017/2018,10/01/2017 12:00:00 AM,32,24,1,0
2014/2015,05/01/2015 12:00:00 AM,141,0,0,0
2017/2018,11/01/2017 12:00:00 AM,31,31,0,0
2013/2014,12/01/2013 12:00:00 AM,0,0,0,0
2015/2016,02/01/2016 12:00:00 AM,257,0,0,0
2015/2016,01/01/2016 12:00:00 AM,341,0,0,0
2014/2015,03/01/2015 12:00:00 AM,305,0,0,0
2014/2015,06/01/2015 12:00:00 AM,320,0,0,0
2015/2016,05/01/2016 12:00:00 AM,23931,16,0,0
2013/2014,10/01/2013 12:00:00 AM,0,0,0,0
2016/2017,06/01/2017 12:00:00 AM,88,7,0,0
2014/2015,01/01/2015 12:00:00 AM,48,0,0,0
2015/2016,10/01/2015 12:00:00 AM,574,0,0,0
2016/2017,12/01/2016 12:00:00 AM,2571,29,0,0
2016/2017,11/01/2016 12:00:00 AM,340,0,0,0
2016/2017,05/01/2017 12:00:00 AM,237,70,0,0
2014/2015,04/01/2015 12:00:00 AM,233,0,0,0
2014/2015,02/01/2015 12:00:00 AM,155,0,0,0
2016/2017,10/01/2016 12:00:00 AM,250,1,0,0
2015/2016,04/01/2016 12:00:00 AM,2768,1,0,0
2015/2016,12/01/2015 12:00:00 AM,439,0,0,0
2015/2016,11/01/2015 12:00:00 AM,422,0,0,0
2013/2014,11/01/2013 12:00:00 AM,0,0,0,0
2014/2015,11/01/2014 12:00:00 AM,24,0,0,0
2016/2017,02/01/2017 12:00:00 AM,290,1,0,0
2016/2017,01/01/2017 12:00:00 AM,368,117,0,1
2014/2015,10/01/2014 12:00:00 AM,29,0,0,0
2014/2015,08/01/2015 12:00:00 AM,284,0,0,0
2013/2014,02/01/2014 12:00:00 AM,0,0,0,0
2012/2013,09/01/2013 12:00:00 AM,0,0,0,0
2014/2015,09/01/2015 12:00:00 AM,152,0,0,0
2014/2015,07/01/2015 12:00:00 AM,173,0,0,0
2015/2016,08/01/2016 12:00:00 AM,6968,0,0,0
2012/2013,07/01/2013 12:00:00 AM,0,0,0,0
2016/2017,08/01/2017 12:00:00 AM,16,2,0,0
2013/2014,04/01/2014 12:00:00 AM,0,0,0,0
2013/2014,06/01/2014 12:00:00 AM,0,0,0,0
2015/2016,07/01/2016 12:00:00 AM,20985,5,0,0
2016/2017,07/01/2017 12:00:00 AM,37,1,0,0
2016/2017,09/01/2017 12:00:00 AM,0,0,0,0
2013/2014,05/01/2014 12:00:00 AM,0,0,0,0
2012/2013,08/01/2013 12:00:00 AM,0,0,0,0
2013/2014,08/01/2014 12:00:00 AM,125,0,0,0
2013/2014,03/01/2014 12:00:00 AM,0,0,0,0
2013/2014,07/01/2014 12:00:00 AM,116,0,0,0
2015/2016,09/01/2016 12:00:00 AM,10938,3,0,0
2013/2014,09/01/2014 12:00:00 AM,56,0,0,0
2013/2014,01/01/2014 12:00:00 AM,0,0,0,0
2017/2018,01/01/2018 12:00:00 AM,55,36,0,0
2017/2018,02/01/2018 12:00:00 AM,12,5,0,0
2017/2018,03/01/2018 12:00:00 AM,34,24,1,0
2017/2018,04/01/2018 12:00:00 AM,7,1,0,0
2017/2018,05/01/2018 12:00:00 AM,60,21,0,0
2017/2018,06/01/2018 12:00:00 AM,26,11,0,0
