Month-Year,Actual (Acre Feet)
Jul-12,880.0
Aug-12,567.0
Sep-12,578.0
Oct-12,727.0
Nov-12,430.0
Dec-12,256.0
Jan-13,0.0
Feb-13,1061.0
Mar-13,449.7
Apr-13,715.1
May-13,980.2
Jun-13,836.0
Jul-13,1226.0
Aug-13,860.0
Sep-13,1159.0
Oct-13,890.0
Nov-13,782.0
Dec-13,738.0
Jan-14,502.0
Feb-14,1223.0
Mar-14,455.0
Apr-14,674.0
May-14,902.0
Jun-14,1125.0
Jul-14,1282.0
Aug-14,1120.0
Sep-14,1325.0
Oct-14,716.0
Nov-14,758.0
Dec-14,665.0
Jan-15,448.0
Feb-15,835.0
Mar-15,443.0
Apr-15,874.0
May-15,1006.0
Jun-15,952.0
Jul-15,882.0
Aug-15,1111.0
Sep-15,1093.0
Oct-15,833.0
Nov-15,1035.0
Dec-15,917.0
Jan-16,336.0
Feb-16,231.0
Mar-16,410.0
Apr-16,575.0
May-16,997.0
Jun-16,1490.0
Jul-16,1053.0
Aug-16,1295.0
Sep-16,1104.0
Oct-16,815.0
Nov-16,406.0
Dec-16,380.0
Jan-17,230.0
Feb-17,143.0
Jul-17,976.8
May-17,921.0
Mar-17,249.0
Apr-17,674.0
Jun-17,760.0
