Subsidiary,Month,Year,Percent On-Time
Regional Transit Service,4.0,2009.0,84.0
Regional Transit Service,5.0,2009.0,83.0
Regional Transit Service,6.0,2009.0,82.0
Regional Transit Service,7.0,2009.0,83.6
Regional Transit Service,8.0,2009.0,83.2
Regional Transit Service,9.0,2009.0,81.3
Regional Transit Service,10.0,2009.0,82.7
Regional Transit Service,11.0,2009.0,83.7
Regional Transit Service,12.0,2009.0,82.2
Regional Transit Service,1.0,2009.0,82.9
Regional Transit Service,2.0,2009.0,83.4
Regional Transit Service,3.0,2009.0,84.0
Regional Transit Service,4.0,2010.0,83.7
Regional Transit Service,5.0,2010.0,82.6
Regional Transit Service,6.0,2010.0,83.4
Regional Transit Service,7.0,2010.0,84.9
Regional Transit Service,8.0,2010.0,85.0
Regional Transit Service,9.0,2010.0,84.4
Regional Transit Service,10.0,2010.0,84.7
Regional Transit Service,11.0,2010.0,86.2
Regional Transit Service,12.0,2010.0,82.7
Regional Transit Service,4.0,2011.0,86.9
Regional Transit Service,5.0,2011.0,85.9
Regional Transit Service,6.0,2011.0,88.1
Regional Transit Service,7.0,2011.0,88.3
Regional Transit Service,8.0,2011.0,88.0
Regional Transit Service,9.0,2011.0,84.9
Regional Transit Service,10.0,2011.0,86.5
Regional Transit Service,11.0,2011.0,88.5
Regional Transit Service,12.0,2011.0,89.4
Regional Transit Service,1.0,2012.0,89.9
Regional Transit Service,2.0,2012.0,91.1
Regional Transit Service,3.0,2012.0,90.1
Regional Transit Service,4.0,2012.0,91.4
Regional Transit Service,5.0,2012.0,89.8
Regional Transit Service,6.0,2012.0,88.9
Regional Transit Service,7.0,2012.0,90.0
Regional Transit Service,8.0,2012.0,89.2
Regional Transit Service,9.0,2012.0,87.2
Regional Transit Service,10.0,2012.0,88.8
Regional Transit Service,11.0,2012.0,90.7
Regional Transit Service,12.0,2012.0,91.1
Regional Transit Service,1.0,2013.0,90.6
Regional Transit Service,2.0,2013.0,89.6
Regional Transit Service,3.0,2013.0,91.9
Lift Line,4.0,2011.0,93.06
Lift Line,5.0,2011.0,92.61
Lift Line,6.0,2011.0,92.42
Lift Line,7.0,2011.0,92.88
Lift Line,8.0,2011.0,93.76
Lift Line,9.0,2011.0,91.49
Lift Line,10.0,2011.0,91.84
Lift Line,11.0,2011.0,93.04
Lift Line,12.0,2011.0,91.81
Lift Line,1.0,2012.0,93.5
Lift Line,2.0,2012.0,92.32
Lift Line,3.0,2012.0,93.73
Lift Line,4.0,2012.0,94.28
Lift Line,5.0,2012.0,92.65
Lift Line,6.0,2012.0,92.79
Lift Line,7.0,2012.0,94.34
Lift Line,8.0,2012.0,93.07
Lift Line,9.0,2012.0,93.26
Lift Line,10.0,2012.0,94.09
Lift Line,11.0,2012.0,93.42
Lift Line,12.0,2012.0,92.58
Lift Line,1.0,2013.0,93.17
Lift Line,2.0,2013.0,90.85
Lift Line,3.0,2013.0,93.3
Batavia Bus Service,4.0,2011.0,91.9
Batavia Bus Service,5.0,2011.0,93.7
Batavia Bus Service,6.0,2011.0,90.4
Batavia Bus Service,7.0,2011.0,91.5
Batavia Bus Service,8.0,2011.0,90.5
Batavia Bus Service,9.0,2011.0,88.8
Batavia Bus Service,10.0,2011.0,92.3
Batavia Bus Service,11.0,2011.0,92.8
Batavia Bus Service,12.0,2011.0,93.8
Batavia Bus Service,1.0,2012.0,93.7
Batavia Bus Service,2.0,2012.0,94.3
Batavia Bus Service,3.0,2012.0,94.5
Batavia Bus Service,4.0,2012.0,92.6
Batavia Bus Service,5.0,2012.0,92.0
Batavia Bus Service,6.0,2012.0,91.3
Batavia Bus Service,7.0,2012.0,93.8
Batavia Bus Service,8.0,2012.0,89.4
Batavia Bus Service,9.0,2012.0,96.0
Batavia Bus Service,10.0,2012.0,93.7
Batavia Bus Service,11.0,2012.0,93.7
Batavia Bus Service,12.0,2012.0,90.9
Batavia Bus Service,1.0,2013.0,95.0
Batavia Bus Service,2.0,2013.0,94.1
Batavia Bus Service,3.0,2013.0,93.7
Livingston Area Transportation Service,4.0,2011.0,98.8
Livingston Area Transportation Service,5.0,2011.0,98.2
Livingston Area Transportation Service,6.0,2011.0,96.1
Livingston Area Transportation Service,7.0,2011.0,98.0
Livingston Area Transportation Service,8.0,2011.0,96.6
Livingston Area Transportation Service,9.0,2011.0,97.8
Livingston Area Transportation Service,10.0,2011.0,98.7
Livingston Area Transportation Service,11.0,2011.0,98.2
Livingston Area Transportation Service,12.0,2011.0,96.6
Livingston Area Transportation Service,1.0,2012.0,99.0
Livingston Area Transportation Service,2.0,2012.0,97.9
Livingston Area Transportation Service,3.0,2012.0,98.4
Livingston Area Transportation Service,4.0,2012.0,95.7
Livingston Area Transportation Service,5.0,2012.0,96.4
Livingston Area Transportation Service,6.0,2012.0,94.6
Livingston Area Transportation Service,7.0,2012.0,97.2
Livingston Area Transportation Service,8.0,2012.0,98.3
Livingston Area Transportation Service,9.0,2012.0,96.7
Livingston Area Transportation Service,10.0,2012.0,98.9
Livingston Area Transportation Service,11.0,2012.0,97.9
Livingston Area Transportation Service,12.0,2012.0,97.5
Livingston Area Transportation Service,1.0,2013.0,98.0
Livingston Area Transportation Service,2.0,2013.0,98.0
Livingston Area Transportation Service,3.0,2013.0,99.6
Orleans Transit Service,4.0,2011.0,98.0
Orleans Transit Service,5.0,2011.0,97.6
Orleans Transit Service,6.0,2011.0,96.0
Orleans Transit Service,7.0,2011.0,98.3
Orleans Transit Service,8.0,2011.0,85.1
Orleans Transit Service,9.0,2011.0,95.5
Orleans Transit Service,10.0,2011.0,96.4
Orleans Transit Service,11.0,2011.0,92.9
Orleans Transit Service,12.0,2011.0,94.6
Orleans Transit Service,1.0,2012.0,90.0
Orleans Transit Service,2.0,2012.0,93.4
Orleans Transit Service,3.0,2012.0,90.7
Orleans Transit Service,4.0,2012.0,93.0
Orleans Transit Service,5.0,2012.0,95.7
Orleans Transit Service,6.0,2012.0,92.7
Orleans Transit Service,7.0,2012.0,88.5
Orleans Transit Service,8.0,2012.0,93.9
Orleans Transit Service,9.0,2012.0,96.9
Orleans Transit Service,10.0,2012.0,98.0
Orleans Transit Service,11.0,2012.0,94.7
Orleans Transit Service,12.0,2012.0,96.5
Orleans Transit Service,1.0,2013.0,95.8
Orleans Transit Service,2.0,2013.0,93.9
Orleans Transit Service,3.0,2013.0,98.5
Seneca Transit Service ,4.0,2011.0,95.0
Seneca Transit Service ,5.0,2011.0,98.0
Seneca Transit Service ,6.0,2011.0,97.0
Seneca Transit Service ,7.0,2011.0,96.0
Seneca Transit Service ,8.0,2011.0,97.0
Seneca Transit Service ,9.0,2011.0,97.0
Seneca Transit Service ,10.0,2011.0,97.0
Seneca Transit Service ,11.0,2011.0,98.0
Seneca Transit Service ,12.0,2011.0,97.0
Seneca Transit Service ,1.0,2012.0,88.0
Seneca Transit Service ,2.0,2012.0,97.0
Seneca Transit Service ,3.0,2012.0,97.0
Seneca Transit Service ,4.0,2012.0,97.0
Seneca Transit Service ,5.0,2012.0,95.0
Seneca Transit Service ,6.0,2012.0,98.0
Seneca Transit Service ,7.0,2012.0,98.0
Seneca Transit Service ,8.0,2012.0,98.0
Seneca Transit Service ,9.0,2012.0,96.0
Seneca Transit Service ,10.0,2012.0,97.0
Seneca Transit Service ,11.0,2012.0,97.0
Seneca Transit Service ,12.0,2012.0,90.0
Seneca Transit Service ,1.0,2013.0,91.0
Seneca Transit Service ,2.0,2013.0,95.0
Seneca Transit Service ,3.0,2013.0,99.0
Wayne Area Transportation Service,4.0,2011.0,99.0
Wayne Area Transportation Service,5.0,2011.0,99.0
Wayne Area Transportation Service,6.0,2011.0,97.0
Wayne Area Transportation Service,7.0,2011.0,99.0
Wayne Area Transportation Service,8.0,2011.0,99.0
Wayne Area Transportation Service,9.0,2011.0,98.0
Wayne Area Transportation Service,10.0,2011.0,98.0
Wayne Area Transportation Service,11.0,2011.0,99.0
Wayne Area Transportation Service,12.0,2011.0,92.0
Wayne Area Transportation Service,1.0,2012.0,98.0
Wayne Area Transportation Service,2.0,2012.0,99.0
Wayne Area Transportation Service,3.0,2012.0,98.0
Wayne Area Transportation Service,4.0,2012.0,98.0
Wayne Area Transportation Service,5.0,2012.0,96.0
Wayne Area Transportation Service,6.0,2012.0,96.0
Wayne Area Transportation Service,7.0,2012.0,93.45
Wayne Area Transportation Service,8.0,2012.0,95.0
Wayne Area Transportation Service,9.0,2012.0,97.0
Wayne Area Transportation Service,10.0,2012.0,94.0
Wayne Area Transportation Service,11.0,2012.0,98.4
Wayne Area Transportation Service,12.0,2012.0,96.0
Wayne Area Transportation Service,1.0,2013.0,91.0
Wayne Area Transportation Service,2.0,2013.0,96.7
Wayne Area Transportation Service,3.0,2013.0,96.9
Wyoming Transportation Service,4.0,2011.0,90.0
Wyoming Transportation Service,5.0,2011.0,85.0
Wyoming Transportation Service,6.0,2011.0,92.0
Wyoming Transportation Service,7.0,2011.0,90.0
Wyoming Transportation Service,8.0,2011.0,91.0
Wyoming Transportation Service,9.0,2011.0,94.0
Wyoming Transportation Service,10.0,2011.0,93.0
Wyoming Transportation Service,11.0,2011.0,91.8
Wyoming Transportation Service,12.0,2011.0,93.8
Wyoming Transportation Service,1.0,2012.0,95.0
Wyoming Transportation Service,2.0,2012.0,91.0
Wyoming Transportation Service,3.0,2012.0,92.7
Wyoming Transportation Service,4.0,2012.0,93.5
Wyoming Transportation Service,5.0,2012.0,94.6
Wyoming Transportation Service,6.0,2012.0,90.41
Wyoming Transportation Service,7.0,2012.0,90.6
Wyoming Transportation Service,8.0,2012.0,90.1
Wyoming Transportation Service,9.0,2012.0,91.2
Wyoming Transportation Service,10.0,2012.0,93.9
Wyoming Transportation Service,11.0,2012.0,92.5
Wyoming Transportation Service,12.0,2012.0,93.9
Wyoming Transportation Service,1.0,2013.0,93.4
Wyoming Transportation Service,2.0,2013.0,92.8
Wyoming Transportation Service,3.0,2013.0,91.6
Regional Transit Service,4.0,2013.0,90.9
Regional Transit Service,5.0,2013.0,85.3
Regional Transit Service,6.0,2013.0,88.8
Regional Transit Service,7.0,2013.0,88.4
Regional Transit Service,8.0,2013.0,88.57
Regional Transit Service,9.0,2013.0,88.1
Regional Transit Service,10.0,2013.0,90.19
Regional Transit Service,11.0,2013.0,92.44
Regional Transit Service,12.0,2013.0,90.48
Regional Transit Service,1.0,2014.0,90.4
Regional Transit Service,2.0,2014.0,91.23
Regional Transit Service,3.0,2014.0,93.25
Lift Line,4.0,2013.0,92.6
Lift Line,5.0,2013.0,91.56
Lift Line,6.0,2013.0,91.7
Lift Line,7.0,2013.0,91.5
Lift Line,8.0,2013.0,92.8
Lift Line,9.0,2013.0,92.2
Lift Line,10.0,2013.0,93.1
Lift Line,11.0,2013.0,92.13
Lift Line,12.0,2013.0,90.0
Lift Line,1.0,2014.0,89.6
Lift Line,2.0,2014.0,92.0
Lift Line,3.0,2014.0,93.47
Batavia Bus Service,4.0,2013.0,95.0
Batavia Bus Service,5.0,2013.0,91.3
Batavia Bus Service,6.0,2013.0,76.2
Batavia Bus Service,7.0,2013.0,91.5
Batavia Bus Service,8.0,2013.0,93.8
Batavia Bus Service,9.0,2013.0,81.0
Batavia Bus Service,10.0,2013.0,94.2
Batavia Bus Service,11.0,2013.0,96.9
Batavia Bus Service,12.0,2013.0,88.5
Batavia Bus Service,1.0,2014.0,81.6
Batavia Bus Service,2.0,2014.0,91.0
Batavia Bus Service,3.0,2014.0,91.0
Livingston Area Transportation Service,4.0,2013.0,97.6
Livingston Area Transportation Service,5.0,2013.0,97.3
Livingston Area Transportation Service,6.0,2013.0,98.6
Livingston Area Transportation Service,7.0,2013.0,92.9
Livingston Area Transportation Service,8.0,2013.0,97.1
Livingston Area Transportation Service,9.0,2013.0,96.9
Livingston Area Transportation Service,10.0,2013.0,97.6
Livingston Area Transportation Service,11.0,2013.0,95.7
Livingston Area Transportation Service,12.0,2013.0,97.9
Livingston Area Transportation Service,1.0,2014.0,97.6
Livingston Area Transportation Service,2.0,2014.0,98.6
Livingston Area Transportation Service,3.0,2014.0,99.3
Orleans Transit Service,4.0,2013.0,98.3
Orleans Transit Service,5.0,2013.0,96.7
Orleans Transit Service,6.0,2013.0,95.8
Orleans Transit Service,7.0,2013.0,96.5
Orleans Transit Service,8.0,2013.0,97.0
Orleans Transit Service,9.0,2013.0,93.9
Orleans Transit Service,10.0,2013.0,96.3
Orleans Transit Service,11.0,2013.0,96.3
Orleans Transit Service,12.0,2013.0,95.1
Orleans Transit Service,1.0,2014.0,91.7
Orleans Transit Service,2.0,2014.0,96.2
Orleans Transit Service,3.0,2014.0,93.8
Seneca Transit Service,4.0,2013.0,94.4
Seneca Transit Service,5.0,2013.0,87.0
Seneca Transit Service,6.0,2013.0,94.6
Seneca Transit Service,7.0,2013.0,95.2
Seneca Transit Service,8.0,2013.0,95.1
Seneca Transit Service,9.0,2013.0,95.6
Seneca Transit Service,10.0,2013.0,95.6
Seneca Transit Service,11.0,2013.0,95.2
Seneca Transit Service,12.0,2013.0,95.9
Seneca Transit Service,1.0,2014.0,95.1
Seneca Transit Service,2.0,2014.0,95.4
