Agency,Agency Business Street Address,City,State,Zip,URL,Phone,Phone Extension,Crisis Shelter,Transition Independent Living Program,Interim Family,Supported Residence,Group Residence,Georeference
"Equinox, Inc.",500 Central Avenue,Albany,NY,12206,http://www.equinoxinc.org,(518)435-9931 ext(240),,N,Y,N,Y,Y,POINT (-73.778383 42.669911000000006)
"CORE Services Group, Inc.",45 Main Street,Brooklyn,NY,11201,http://www.coresvcs.org,(718)801-8050,,N,Y,N,N,Y,POINT (-73.990673 40.70277200000001)
"Teaching & Restoring Youth, Inc.",228 Brinkman Avenue,Buffalo,NY,14211,http://www.tryprogram.org/,(716)892-2814,,N,Y,N,N,Y,POINT (-78.812613 42.907685)
Ali Forney Center,224 West 35th Street,New York,NY,10001,http://aliforneycenter.org,(212)222-3427,,Y,Y,N,N,Y,POINT (-73.991125 40.752097)
"Project Hospitality, Inc.",100 Park Avenue,Staten Island,NY,10302,http://projecthospitality.org,(718)448-1544 ext(107),,N,Y,N,N,Y,POINT (-74.131904 40.63798)
Covenant House,550 10th Avenue,New York,NY,10018,http://ny.covenanthouseny.org,(212)613-0357,,Y,Y,N,N,Y,POINT (-73.996172 40.758661)
SCO Family of Services,1 Alexander Place,Glen Cove,NY,11542,http://sco.org,(516)953-1803,,N,Y,N,N,Y,POINT (-73.61855 40.857623)
"Family of Woodstock, Inc",166 Albany Avenue,Kingston,NY,12401,http://www.familyofwoodstockinc.org,(845)331-7080,,Y,Y,N,N,Y,POINT (-74.008506 41.933327)
"Sheltering Arms Children and Family Services, Inc.",305 7th Avenue,New York,NY,10001,https://shelteringarmsny.org,(212)886-5601,,Y,Y,N,N,Y,POINT (-73.99368300000002 40.74676)
Saint Anne Institute,160 North Main Avenue,Albany,NY,12206,https://www.stanneinstitute.org,(518)437-6501,,Y,N,N,N,N,POINT (-73.781888 42.671202)
"Diaspora Community Services, Inc.",921B East New York Avenue,Brooklyn,NY,11203,http://www.diasporacs.org,(718)399-0200,,N,Y,N,Y,Y,POINT (-73.932723 40.662783)
"Safe Horizon, Inc",2 Lafayette Street,New York,NY,10007,http://safehorizon.org,(917)507-1562,,Y,N,N,N,N,POINT (-74.003491 40.713931)
"The Salvation Army, Syracuse Area Services",677 South Salina Street,Syracuse,NY,13202,http://www.sasyr.org,(315)479-1353,,Y,Y,N,Y,N,POINT (-76.150745 43.040811000000005)
Plymouth Crossroads,5522 Broadway,Lancaster,NY,14086,http://www.plymouthcrossroads.org/,(716)393-3906,,N,Y,N,N,Y,POINT (-78.665066 42.898861)
"Hudson River Housing, Inc.",313 Mill Street,Poughkeepsie,NY,12561,http://www.hudsonriverhousing.org,(845)454-5176,,Y,N,N,N,N,POINT (-73.925121 41.704465)
Compass House,1451 Main St.,Buffalo,NY,14209,http://www.compasshouse.org/,(716)886-1351,,Y,N,N,N,N,POINT (-78.865293 42.913087)
"Chautauqua Opportunities, Inc.",17 W. Courtney Street,Dunkirk,NY,14048,http://www.chautopp.com,(716)366-3333 ext(1111),,Y,Y,N,Y,Y,POINT (-79.321516 42.480509)
"Rising Ground, Inc.",463 Hawthorne Avenue,Yonkers,NY,10705,https://www.risingground.org,(914)375-8703,,N,Y,N,N,Y,POINT (-73.905154 40.916659)
Hope for Youth,201 Dixon Ave.,Amityville,NY,11701,https://hfyny.org,(631)782-6530,,Y,N,N,N,N,POINT (-73.410318 40.683665)
Mercy Center Ministries,436 West Main Street,Patchogue,NY,11772,http://www.mercycenterministries.org,(631)447-3978,,N,Y,N,N,Y,POINT (-73.029176 40.76138)
Salvation Army,PO Box 41210,Rochester,NY,14604,http://www.use.salvationarmy.org,(585)987-9500,,Y,N,N,N,N,
