Authority Name,Fiscal Year End Date,Has Outstanding Debt,Type Of Debt,Debt Program,Begin Amount Total,New Debt Issuance,Amount Retired,End Amount Total
Suffolk County Judicial Facilities Agency,12/31/2011,N,,,,,,
Freeport Community Development Agency,02/28/2011,N,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Genesee Valley Regional Market Authority,03/31/2011,N,,,,,,
Utica Urban Renewal Agency,03/31/2011,N,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Central New York Regional Market Authority,03/31/2011,,Authority Debt - Other,Other Non-State Funded,611887.81,0.0,29010.03,582877.78
Upper Mohawk Valley Regional Water Board,03/31/2011,,Authority Debt - Revenue,,63733720.0,0.0,2405000.0,61328720.0
Nyack Parking Authority,05/31/2011,N,,,,,,
Suffern Parking Authority,05/31/2011,N,,,,,,
Syracuse Parking Authority,05/31/2011,N,,,,,,
Victor Urban Renewal Agency,05/31/2011,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2011,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2011,N,,,,,,
Village of Spring Valley Urban Renewal Agency,05/31/2011,N,,,,,,
Green Island Power Authority,05/31/2011,,Authority Debt - Revenue,,18320000.0,0.0,655000.0,17665000.0
Incorporated Village of Hempstead Community Development Agency,05/31/2011,,Conduit Debt,Conduit Debt,588000.0,0.0,588000.0,0.0
Suffolk County Water Authority,05/31/2011,,Authority Debt - Other,Other Non-State Funded,73843928.0,100000000.0,3843928.0,170000000.0
Suffolk County Water Authority,05/31/2011,,Authority Debt - Revenue,,661440000.0,35216923.0,115338791.0,581318132.0
Water Authority of Western Nassau County,05/31/2011,,Authority Debt - Revenue,,70690000.0,0.0,1525000.0,69165000.0
Amsterdam Urban Renewal Agency,06/30/2011,N,,,,,,
Buffalo Water Board,06/30/2011,N,,,,,,
New York City School Construction Authority,06/30/2011,N,,,,,,
New York City Water Board,06/30/2011,N,,,,,,
Olean Urban Renewal Agency,06/30/2011,N,,,,,,
Rochester Urban Renewal Agency,06/30/2011,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2011,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2011,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2011,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2011,,Authority Debt - Revenue,,157406181.0,0.0,5630233.0,151775948.0
Buffalo Sewer Authority,06/30/2011,,Authority Debt - Revenue,,57335000.0,0.0,8945000.0,48390000.0
Buffalo Urban Renewal Agency,06/30/2011,,Authority Debt - Revenue,,12415000.0,0.0,2750000.0,9665000.0
Franklin County Solid Waste Management Authority,06/30/2011,,Authority Debt - Revenue,,12680000.0,0.0,2505000.0,10175000.0
New York City Health and Hospitals Corporation,06/30/2011,,Authority Debt - Revenue,,942425000.0,510460000.0,399025000.0,1053860000.0
New York City Municipal Water Finance Authority,06/30/2011,,Authority Debt - Other,Other Non-State Funded,600000000.0,1852409769.66,2000000000.0,452409769.66
New York City Municipal Water Finance Authority,06/30/2011,,Authority Debt - Revenue,,23977713419.0,4517856733.0,2039110000.0,26456460152.0
New York City Transitional Finance Authority,06/30/2011,,Authority Debt - Revenue,,15872495000.0,4249425000.0,1031995000.0,19089925000.0
New York City Transitional Finance Authority,06/30/2011,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,4221155000.0,650000000.0,141305000.0,4729850000.0
Town of Islip Community Development Agency,06/30/2011,,Authority Debt - General Obligation,General Obligation,1160000.0,0.0,110000.0,1050000.0
White Plains Urban Renewal Agency,06/30/2011,,Authority Debt - Revenue,,4000000.0,0.0,4000000.0,0.0
Yonkers Community Development Agency,06/30/2011,,Authority Debt - Other,Other Non-State Funded,32218.0,0.0,32218.0,0.0
Yonkers Community Development Agency,06/30/2011,,Authority Debt - Revenue,,0.0,2500000.0,0.0,2500000.0
City of Hudson Community Development and Planning Agency,09/30/2011,N,,,,,,
Village of Fairport Urban Renewal Agency,09/30/2011,N,,,,,,
New York City Housing Development Corporation,10/31/2011,,Authority Debt - Revenue,,3767120000.0,654995000.0,446295000.0,3975820000.0
New York City Housing Development Corporation,10/31/2011,,Conduit Debt,Conduit Debt,4706591877.32,30000000.0,228101730.5,4508490146.82
Albany Water Board,12/31/2011,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2011,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2011,N,,,,,,
City of Fulton Community Development Agency,12/31/2011,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2011,N,,,,,,
Glen Cove Community Development Agency,12/31/2011,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2011,N,,,,,,
Gloversville Community Development Agency,12/31/2011,N,,,,,,
Greater Rochester Sports Authority,12/31/2011,N,,,,,,
Harrison Parking Authority,12/31/2011,N,,,,,,
Huntington Community Development Agency,12/31/2011,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2011,N,,,,,,
Little Falls Urban Renewal Agency,12/31/2011,N,,,,,,
"Montgomery, Otsego, Schoharie Solid Waste Management Authority",12/31/2011,N,,,,,,
Mount Vernon Urban Renewal Agency,12/31/2011,N,,,,,,
Oneida County Sports Facility Authority,12/31/2011,N,,,,,,
Orange County Water Authority,12/31/2011,N,,,,,,
Ossining Urban Renewal Agency,12/31/2011,N,,,,,,
Port Jervis Community Development Agency,12/31/2011,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2011,N,,,,,,
Saratoga Springs City Center Authority,12/31/2011,N,State Supported,DASNY NYS ECONOMIC DEVELOPMENT (2005),0.0,0.0,0.0,0.0
Saratoga Springs City Center Authority,12/31/2011,N,State Supported,DASNY REGIONAL ECONOMIC DEVELOPMENT,0.0,0.0,0.0,0.0
Schenectady Urban Renewal Agency,12/31/2011,N,,,,,,
Tonawanda (City) Community Development Agency,12/31/2011,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2011,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2011,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2011,N,,,,,,
Albany Community Development Agency,12/31/2011,,Authority Debt - General Obligation,General Obligation,136229.0,0.0,48030.0,88199.0
Albany Community Development Agency,12/31/2011,,Authority Debt - Other,Other Non-State Funded,424653.0,500000.0,29330.0,895323.0
Albany County Airport Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,2454409.0,0.0,943731.0,1510678.0
Albany County Airport Authority,12/31/2011,,Authority Debt - Revenue,,136605887.0,0.0,7630887.0,128975000.0
Albany Municipal Water Finance Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,65164331.0,58137965.0,63276103.0,60026193.0
Albany Parking Authority,12/31/2011,,Authority Debt - Revenue,,21913061.0,7850000.0,9335000.0,20428061.0
Albany Port District Commission,12/31/2011,,Authority Debt - General Obligation,General Obligation,1112634.0,0.0,60556.0,1052078.0
Albany Port District Commission,12/31/2011,,Authority Debt - Revenue,,110516.0,0.0,110516.0,0.0
Albany Port District Commission,12/31/2011,,Conduit Debt,Conduit Debt,31884.0,0.0,18146.0,13738.0
Albany Port District Commission,12/31/2011,,State Guaranteed,NEW YORK JOB DEVELOPMENT AUTHORITY,317709.0,0.0,80000.0,237709.0
Cayuga County Water and Sewer Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,4021051.0,0.0,2805560.0,1215491.0
Cayuga County Water and Sewer Authority,12/31/2011,,Authority Debt - Revenue,,0.0,8263751.0,0.0,8263751.0
Clifton Park Water Authority,12/31/2011,,Authority Debt - Revenue,,25770000.0,0.0,1080000.0,24690000.0
Clifton-Fine Health Care Corporation,12/31/2011,,Authority Debt - General Obligation,General Obligation,304687.0,0.0,0.0,304687.0
Dutchess County Resource Recovery Agency,12/31/2011,,Authority Debt - General Obligation,General Obligation,29455000.0,0.0,3075000.0,26380000.0
Dutchess County Water and Wastewater Authority,12/31/2011,,Authority Debt - Revenue,,38974156.0,1935000.0,3532302.0,37376854.0
Elmira Urban Renewal Agency,12/31/2011,,Authority Debt - General Obligation,General Obligation,700000.0,0.0,200000.0,500000.0
Elmira Urban Renewal Agency,12/31/2011,,Conduit Debt,Conduit Debt,700000.0,0.0,700000.0,0.0
Erie County Water Authority,12/31/2011,,Authority Debt - Revenue,,91900000.0,0.0,6215000.0,85685000.0
Haverstraw Urban Renewal Agency,12/31/2011,,Authority Debt - General Obligation,General Obligation,3195000.0,0.0,100000.0,3095000.0
Islip Resource Recovery Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,25925000.0,0.0,25925000.0,0.0
Islip Resource Recovery Authority,12/31/2011,,Authority Debt - Revenue,,25925000.0,0.0,4525000.0,21400000.0
Ithaca Urban Renewal Agency,12/31/2011,,Authority Debt - General Obligation,General Obligation,870000.0,0.0,30000.0,840000.0
Livingston County Water and Sewer Authority,12/31/2011,,Authority Debt - Other,Other Non-State Funded,8651.0,0.0,8651.0,0.0
Livingston County Water and Sewer Authority,12/31/2011,,Authority Debt - Revenue,,3740686.0,925910.0,40661.0,4625935.0
Monroe County Airport Authority,12/31/2011,,Authority Debt - Revenue,,58333000.0,0.0,4947000.0,53386000.0
Monroe County Water Authority,12/31/2011,,Authority Debt - Revenue,,131900000.0,0.0,3255000.0,128645000.0
Nassau County Bridge Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,11145000.0,0.0,635000.0,10510000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2011,,Authority Debt - Revenue,,161955000.0,0.0,7360000.0,154595000.0
Niagara Falls Water Board,12/31/2011,,Authority Debt - Revenue,,103675000.0,0.0,2660000.0,101015000.0
North Hempstead Solid Waste Management Authority,12/31/2011,,Authority Debt - Revenue,,11035000.0,0.0,2155000.0,8880000.0
Oneida-Herkimer Solid Waste Management Authority,12/31/2011,,Authority Debt - Revenue,,47475000.0,10725000.0,5030000.0,53170000.0
Onondaga County Resource Recovery Agency,12/31/2011,,Authority Debt - Revenue,,69299030.0,0.0,5466464.0,63832566.0
Onondaga County Water Authority,12/31/2011,,Authority Debt - Revenue,,63985000.0,16910000.0,2500000.0,78395000.0
Rensselaer County Water and Sewer Authority,12/31/2011,,Authority Debt - Revenue,,14415000.0,0.0,145000.0,14270000.0
Rockland County Solid Waste Management Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,66345000.0,0.0,3180000.0,63165000.0
Saratoga County Water Authority,12/31/2011,,Authority Debt - Revenue,,44555000.0,0.0,455000.0,44100000.0
Schenectady Metroplex Development Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,46745000.0,0.0,1930000.0,44815000.0
Schenectady Metroplex Development Authority,12/31/2011,,Authority Debt - Other,Other Non-State Funded,1041844.0,0.0,42145.0,999699.0
Trust for Cultural Resources of the City of New York,12/31/2011,,Conduit Debt,Conduit Debt,1651685000.0,125000000.0,93340000.0,1683345000.0
Trust for Cultural Resources of the City of New York,12/31/2011,,Conduit Debt - Pilot Increment Financing,,48620000.0,0.0,1800000.0,46820000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2011,,Conduit Debt,Conduit Debt,107235000.0,47670000.0,145000.0,154760000.0
Ulster County Resource Recovery Agency,12/31/2011,,Authority Debt - Revenue,,23278745.0,0.0,2175000.0,21103745.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,393558.0,0.0,63966.0,329592.0
Water Authority of Great Neck North,12/31/2011,,Authority Debt - Revenue,,36610000.0,0.0,1320000.0,35290000.0
Wayne County Water and Sewer Authority,12/31/2011,,Authority Debt - General Obligation,General Obligation,0.0,920000.0,0.0,920000.0
Wayne County Water and Sewer Authority,12/31/2011,,Authority Debt - Revenue,,1415160.0,0.0,1135160.0,280000.0
Wilton Water and Sewer Authority,12/31/2011,,Authority Debt - Revenue,,1605000.0,0.0,245000.0,1360000.0
Yonkers Parking Authority,12/31/2011,,Authority Debt - Revenue,,2273512.0,0.0,93512.0,2180000.0
Freeport Community Development Agency,02/28/2012,N,,,,,,
Genesee Valley Regional Market Authority,03/31/2012,N,,,,,,
Utica Urban Renewal Agency,03/31/2012,N,,,,,,
Central New York Regional Market Authority,03/31/2012,,Authority Debt - Other,Other Non-State Funded,582877.78,0.0,31320.0,551557.78
Upper Mohawk Valley Regional Water Board,03/31/2012,,Authority Debt - Revenue,,61328720.0,0.0,2580000.0,58748720.0
Nyack Parking Authority,05/31/2012,N,,,,,,
Suffern Parking Authority,05/31/2012,N,,,,,,
Syracuse Parking Authority,05/31/2012,N,,,,,,
Victor Urban Renewal Agency,05/31/2012,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2012,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2012,N,,,,,,
Village of Spring Valley Urban Renewal Agency,05/31/2012,N,,,,,,
Green Island Power Authority,05/31/2012,,Authority Debt - Revenue,,17665000.0,0.0,695000.0,16970000.0
Incorporated Village of Hempstead Community Development Agency,05/31/2012,,Conduit Debt,Conduit Debt,5296000.0,0.0,588000.0,4708000.0
Suffolk County Water Authority,05/31/2012,,Authority Debt - Other,Other Non-State Funded,170000000.0,50000000.0,50000000.0,170000000.0
Suffolk County Water Authority,05/31/2012,,Authority Debt - Revenue,,581318132.0,94581917.0,102926923.0,572973126.0
Water Authority of Western Nassau County,05/31/2012,,Authority Debt - Revenue,,69165000.0,0.0,1505000.0,67660000.0
Amsterdam Urban Renewal Agency,06/30/2012,N,,,,,,
Buffalo Water Board,06/30/2012,N,,,,,,
New York City School Construction Authority,06/30/2012,N,,,,,,
New York City Water Board,06/30/2012,N,,,,,,
Olean Urban Renewal Agency,06/30/2012,N,,,,,,
Rochester Urban Renewal Agency,06/30/2012,N,,,,,,
Syracuse Regional Airport Authority,06/30/2012,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2012,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2012,N,,,,,,
White Plains Urban Renewal Agency,06/30/2012,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2012,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2012,,Authority Debt - Revenue,,151775948.0,21995670.0,11553675.0,162217943.0
Buffalo Sewer Authority,06/30/2012,,Authority Debt - Revenue,,48390000.0,0.0,6270000.0,42120000.0
Buffalo Urban Renewal Agency,06/30/2012,,Authority Debt - Revenue,,9665000.0,0.0,1110000.0,8555000.0
Franklin County Solid Waste Management Authority,06/30/2012,,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Franklin County Solid Waste Management Authority,06/30/2012,,Authority Debt - Revenue,,10175000.0,4810000.0,2610000.0,12375000.0
New York City Health and Hospitals Corporation,06/30/2012,,Authority Debt - Revenue,,1053860000.0,0.0,51825000.0,1002035000.0
New York City Municipal Water Finance Authority,06/30/2012,,Authority Debt - Other,Other Non-State Funded,452409769.66,0.0,0.0,452409769.66
New York City Municipal Water Finance Authority,06/30/2012,,Authority Debt - Revenue,,26456460152.0,3735182405.0,2265772269.55,27925870287.45
New York City Municipal Water Finance Authority,06/30/2012,,State Supported,EFC ENVIRONMENTAL INFRASTRUCTURE PROGRAM,0.0,0.0,0.0,0.0
New York City Transitional Finance Authority,06/30/2012,,Authority Debt - Revenue,,19089925000.0,3500000000.0,1631235000.0,20958690000.0
New York City Transitional Finance Authority,06/30/2012,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,4729850000.0,650000000.0,71190000.0,5308660000.0
Town of Islip Community Development Agency,06/30/2012,,Authority Debt - General Obligation,General Obligation,1050000.0,0.0,120000.0,930000.0
