Year,Processing Snapshot Date,Scholarship Name,Metric Type,Metric Value,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,College Region Name,Headcount Type,Headcount
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1410.0,2687.0,CUNY BROOKLYN COLLEGE,New York City,Recipient(s),5
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,960.0,2668.0,ALFRED UNIVERSITY,Western New York,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1414.0,2693.0,CUNY JOHN JAY COLLEGE,New York City,Recipient(s),5
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,900.0,2841.0,SUC BROCKPORT (UNDERGRAD),Finger Lakes,Recipient(s),3
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,4975.0,11678.0,SUNY POLYTECHNIC INSTITUTE,Mohawk Valley,Recipient(s),11
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,3010.0,2855.0,SUNY COLLEGE OF TECH AT CANTON,North Country,Recipient(s),2
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,925.0,2846.0,SUC NEW PALTZ,Hudson Valley,Recipient(s),5
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1416.0,2690.0,CUNY QUEENS COLLEGE,New York City,Recipient(s),6
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,940.0,2849.0,SUNY PLATTSBURGH,North Country,Recipient(s),5
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,935.0,2848.0,SUC OSWEGO (UNDERGRAD),Central New York,Recipient(s),13
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,920.0,2845.0,SUC GENESEO,Finger Lakes,Recipient(s),43
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,6015.0,2856.0,SUNY COBLESKILL,Mohawk Valley,Recipient(s),3
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,880.0,2836.0,SUNY BINGHAMTON,Southern Tier,Recipient(s),137
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1418.0,4759.0,CUNY YORK COLLEGE,New York City,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1413.0,2689.0,CUNY HUNTER COLLEGE,New York City,Recipient(s),3
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,6005.0,2854.0,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Recipient(s),4
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,905.0,2842.0,SUC BUFFALO,Western New York,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,930.0,2847.0,SUC ONEONTA,Mohawk Valley,Recipient(s),9
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2085.0,2869.0,JAMESTOWN COMMUNITY COLLEGE,Western New York,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2113.0,2873.0,NASSAU COMMUNITY COLLEGE,Long Island,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,910.0,2843.0,SUC CORTLAND (UNDERGRAD),Central New York,Recipient(s),3
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,945.0,2850.0,SUC POTSDAM,North Country,Recipient(s),6
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,955.0,2853.0,SUNY MARITIME COLLEGE,New York City,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,895.0,2835.0,SUNY ALBANY (UNDERGRAD),Capital District,Recipient(s),28
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2000.0,2860.0,ADIRONDACK COMMUNITY COLLEGE,Capital District,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2243.0,6785.0,SCHENECTADY COUNTY COMM COLLEGE,Capital District,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,915.0,2844.0,SUC FREDONIA,Western New York,Recipient(s),7
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2105.0,2871.0,MOHAWK VALLEY COMMUNITY COLLEGE,Mohawk Valley,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,970.0,6791.0,SUC PURCHASE,Hudson Valley,Recipient(s),2
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,950.0,2851.0,SUC ENV SCI&FORESTRY,Central New York,Recipient(s),23
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,174.0,2711.0,CORNELL UNIV STATUTORY COLLEGES,Southern Tier,Recipient(s),13
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2080.0,2868.0,HUDSON VALLEY COMMUNITY COLLEGE,Capital District,Recipient(s),2
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,3005.0,2854.0,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Recipient(s),4
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,875.0,2838.0,SUNY STONY BROOK,Long Island,Recipient(s),98
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2160.0,2881.0,WESTCHESTER COMMUNITY COLLEGE,Hudson Valley,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1411.0,2688.0,CUNY CITY COLLEGE,New York City,Recipient(s),28
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1417.0,2698.0,CUNY COL STATEN ISLAND,New York City,Recipient(s),3
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1409.0,7273.0,CUNY BARUCH COLLEGE,New York City,Recipient(s),3
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1405.0,2696.0,CUNY NYC COLLEGE OF TECHNOLOGY,New York City,Recipient(s),5
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2180.0,2872.0,MONROE COMMUNITY COLLEGE,Finger Lakes,Recipient(s),2
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2025.0,2862.0,BROOME COMMUNITY COLLEGE,Southern Tier,Recipient(s),1
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,1010.0,2837.0,SUNY BUFFALO,Western New York,Recipient(s),64
2014,,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2256.0,7532.0,FINGER LAKES COMMUNITY COLLEGE,Finger Lakes,Recipient(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,875.0,2838.0,SUNY STONY BROOK,Long Island,Eligible Applicant(s),81
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,1010.0,2837.0,SUNY BUFFALO,Western New York,Eligible Applicant(s),228
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,6005.0,2854.0,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),3
