INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,Location
NY-2012-WS-258,2,Rescue,10/31/2012,9:47 AM,2,M,,NY,US,Flood Victim,Stranded,40.57678,-74.00043,20.0,False,,3,True,Private Land,na,KINGS,BROOKLYN,False,False,11/01/2012,7:30 AM,POINT (-74.00043 40.57678)
NY-2012-WS-029,3,Search,03/08/2012,12:10 PM,1,M,63.0,NY,US,Runaway,Missing,41.7093,-74.73742,1217.0,True,,8,True,Private Land,,SULLIVAN,THOMPSON,False,False,03/09/2012,10:45 AM,POINT (-74.73742 41.7093)
NY-2017-WS-231,6,Recovery,08/25/2017,7:13 AM,2,M,47.0,NY,US,Fishing,Injured,44.47172,-75.64377,283.0,True,Vehicle/boat evacuation,6,True,Other Municipal Land,Black Lake,ST LAWRENCE,MORRISTOWN,False,False,08/27/2017,11:15 AM,POINT (-75.64377000000002 44.47172)
NY-2017-WS-075,5,Search,04/20/2017,6:02 AM,2,M,8.0,NY,US,Hiking,Lost,44.34401,-74.10859,1535.0,False,Assist/own power,2,True,Forest Preserve,McKenzie Mountain Wilderness,ESSEX,ST ARMAND,True,False,04/20/2017,8:30 AM,POINT (-74.10859 44.34401)
NY-2018-WS-298,5,Rescue,10/15/2018,12:23 PM,1,F,20.0,NY,US,Hiking,Injured,44.39007,-73.85954,2040.0,False,Carry out by foot,2,True,Forest Preserve,Wilmington Wild Forest,ESSEX,WILMINGTON,True,False,10/15/2018,1:45 AM,POINT (-73.85954 44.39007)
NY-2016-WS-130,6,Search,06/23/2016,7:40 AM,2,M,16.0,NY,US,Hiking,Lost,44.34005,-75.32338,655.0,True,Assist/own power,3,True,State Forests,Wolf Lake,ST LAWRENCE,EDWARDS,False,False,06/24/2016,1:30 AM,POINT (-75.32338 44.34005)
NY-2016-WS-333,5,Rescue,11/08/2016,4:02 AM,2,F,55.0,FL,US,Hiking,Overdue,43.61569,-73.60901,400.0,True,Assist/own power; Vehicle/boat evacuation,1,False,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,True,False,11/08/2016,6:30 AM,POINT (-73.60901000000001 43.61569)
NY-2017-WS-123,5,Search,06/19/2017,1:58 AM,3,M,8.0,NY,US,Hiking,Lost,43.85988,-73.64556,1400.0,True,Assist/own power,2,True,Forest Preserve,Pharoah Lakes Wilderness,ESSEX,SCHROON,True,False,06/19/2017,5:00 AM,POINT (-73.64556 43.85988)
NY-2016-WS-117,3,Search,06/08/2016,4:39 AM,2,M,77.0,CT,US,Hiking,Overdue,42.02414,-74.59943,2585.0,True,Assist/own power; Vehicle/boat evacuation,3,False,Forest Preserve,Balsam Lake Mountain,ULSTER,HARDENBURGH,False,True,06/08/2016,8:00 AM,POINT (-74.59943 42.02414)
NY-2017-WS-238,4,Rescue,08/31/2017,10:52 AM,1,M,75.0,NY,US,Hiking,Injured,42.19363,-74.06623,1698.0,True,Carry out by foot; Technical Rope,4,True,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,False,True,08/31/2017,1:30 AM,POINT (-74.06623 42.19363)
NY-2016-WS-342,4,Search,11/14/2016,6:00 AM,6,F,9.0,NY,US,Hiking,Lost,42.11978,-74.09293,2475.0,False,Assist/own power,1,False,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,False,True,11/14/2016,8:00 AM,POINT (-74.09293 42.119780000000006)
NY-2018-WS-085,5,Search,06/04/2018,10:05 AM,2,F,10.0,MA,US,Hiking,Overdue,44.13636,-73.86819,2950.0,True,Assist/own power,2,True,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,True,False,06/04/2018,11:45 AM,POINT (-73.86819 44.13636)
NY-2018-WS-248,5,Rescue,09/04/2018,7:04 AM,1,F,18.0,NY,US,Hiking,Injured,43.45541,-74.45503,1892.0,True,Carry out by foot,3,True,Forest Preserve,Moose River Plains Wild Forest,HAMILTON,INLET,True,False,09/04/2018,9:54 AM,POINT (-74.45503 43.45541)
NY-2016-WS-223,5,Search,08/17/2016,7:08 AM,1,F,48.0,NY,US,Hiking,Overdue,44.18618,-74.25239,1116.0,True,Assist/own power,2,False,Forest Preserve,Giant Mountain Wilderness,ESSEX,KEENE,True,False,08/17/2016,8:29 AM,POINT (-74.25239 44.18618)
NY-2016-WS-240,4,Search,08/24/2016,8:40 AM,2,F,17.0,NY,US,Hiking,Lost,42.18917,-74.06824,1835.0,True,Assist/own power,1,False,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,False,True,08/24/2016,11:00 AM,POINT (-74.06824 42.18917)
NY-2017-WS-160,5,Search,07/12/2017,7:57 AM,3,M,36.0,NY,US,Hiking,Overdue,44.07667,-74.08682,1954.0,True,Assist/own power,3,False,Forest Preserve,Western High Peaks Wilderness,ESSEX,NEWCOMB,True,False,07/12/2017,10:18 AM,POINT (-74.08682 44.07667)
NY-2018-WS-272,5,Search,09/19/2018,5:03 AM,3,M,25.0,NY,US,Hiking,Lost,44.07147,-73.96227,2484.0,True,Assist/own power; Vehicle/boat evacuation,3,True,Forest Preserve,E. High Peaks Wilderness,ESSEX,NEWCOMB,True,False,09/19/2018,2:30 AM,POINT (-73.96227 44.07147)
NY-2017-WS-346,4,Search,12/15/2017,1:40 AM,1,M,77.0,NY,US,Hunting,Missing,42.51015,-74.74967,1740.0,True,Carry out by foot; Vehicle/boat evacuation,29,True,Private Land,Private Land,DELAWARE,HARPERSFIELD,False,False,12/21/2017,1:53 AM,POINT (-74.74967 42.51015)
NY-2016-WS-284,5,Search,09/29/2016,11:45 AM,1,M,30.0,NY,US,Hiking,Fugitive,44.04358,-73.80508,2100.0,True,Assist/own power,3,True,Forest Preserve,Dix Mountain Wilderness,ESSEX,NORTH HUDSON,True,False,10/23/2016,11:00 AM,POINT (-73.80508 44.04358)
NY-2018-WS-098,4,Rescue,06/12/2018,12:30 PM,1,F,15.0,NY,US,Hiking,Injured,42.19331,-74.06487,1811.0,False,Assist/own power,2,True,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,False,True,06/12/2018,2:30 AM,POINT (-74.06487 42.19331)
NY-2016-WS-184,3,Search,07/26/2016,8:15 AM,6,F,32.0,NY,US,Hiking,Lost,41.56587,-74.61742,1500.0,True,Assist/own power,2,True,Other DEC Land,Neversink River Unique Area,SULLIVAN,NEVERSINK,False,False,07/26/2016,10:30 AM,POINT (-74.61742 41.56587)
NY-2017-WS-111,9,Rescue,05/29/2017,3:00 AM,1,M,18.0,NY,US,Hiking,Injured,42.43919,-78.89483,890.0,True,Assist/own power; Carry out by foot,3,True,Other DEC Land,Zoar Valley MUA,CATTARAUGUS,PERSIA,False,False,05/29/2017,6:30 AM,POINT (-78.89483 42.43919)
NY-2017-WS-068,4,Recovery,04/16/2017,1:02 AM,1,M,23.0,NY,US,Despondent,Missing,42.61598,-73.90119,249.0,True,Carry out by foot,3,True,Other DEC Land,Five Rivers Environmental Education Center,ALBANY,NEW SCOTLAND,False,False,04/16/2017,2:00 AM,POINT (-73.90119 42.61598)
NY-2018-WS-113,5,Search,06/20/2018,6:04 AM,1,M,68.0,QC,CA,Hiking,Overdue,44.18285,-73.96617,2180.0,True,Assist/own power,6,True,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,True,False,06/21/2018,12:00 PM,POINT (-73.96617000000002 44.18285)
NY-2017-WS-239,5,Search,08/31/2017,5:10 AM,2,M,41.0,NY,US,Boating,Lost,43.49552,-74.36233,1762.0,True,Assist/own power,1,False,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,ARIETTA,True,False,08/31/2017,7:30 AM,POINT (-74.36233000000001 43.49552)
NY-2016-WS-343,1,Search,11/12/2016,11:30 AM,1,M,60.0,NY,US,Hunting,Lost,40.54155,-72.75,70.0,True,Assist/own power,1,True,Other DEC Land,David A. Sarnoff Preserve,SUFFOLK,SOUTHAMPTON,False,False,11/12/2016,12:00 PM,POINT (-72.75 40.54155)
NY-2018-WS-173,6,Search,07/27/2018,5:38 AM,6,M,38.0,NY,US,Hiking,Lost,43.66974,-74.99782,1726.0,True,Assist/own power; Carry out by foot,8,True,Forest Preserve,Black River Wild Forest,HERKIMER,WEBB,True,False,07/27/2018,11:37 AM,POINT (-74.99782 43.66974)
NY-2017-WS-074,5,Search,04/19/2017,8:42 AM,1,M,17.0,NY,US,Hiking,Lost,43.86873,-74.41447,2757.0,True,Assist/own power,2,True,Forest Preserve,Blue Mountain Wild Forest,HAMILTON,INDIAN LAKE,True,False,04/20/2017,12:15 PM,POINT (-74.41447 43.86873)
NY-2016-WS-134,5,Search,06/26/2016,6:55 AM,1,F,24.0,NY,US,Runaway,Missing,43.00671,-74.37444,700.0,False,Assist/own power,14,True,Private Land,,HAMILTON,WELLS,True,False,07/08/2016,12:00 PM,POINT (-74.37444 43.00671)
NY-2017-WS-319,6,Fugitive Search,11/06/2017,11:34 AM,1,M,60.0,NY,US,Despondent,Fugitive,44.1573,-76.17045,355.0,True,Vehicle/boat evacuation,13,True,Private Land,Private Land,JEFFERSON,CAPE VINCENT,False,False,11/09/2017,10:54 AM,POINT (-76.17045 44.1573)
NY-2016-WS-294,5,Rescue,10/11/2016,12:10 PM,1,F,48.0,NY,US,Hiking,Injured,44.14337,-73.73816,2361.0,True,Assist/own power,4,True,Forest Preserve,Giant Mt Wilderness Area,ESSEX,KEENE,True,False,10/11/2016,3:30 AM,POINT (-73.73816 44.14337)
NY-2017-WS-026,5,Search,02/13/2017,3:46 AM,1,M,20.0,MD,US,Skiing,Overdue,44.18233,-73.96652,2179.0,True,Assist/own power,1,True,Forest Preserve,High Peaks,ESSEX,KEENE,True,False,02/13/2017,7:00 AM,POINT (-73.96652000000002 44.18233)
NY-2018-WS-003,5,Rescue,01/16/2018,11:15 AM,1,M,51.0,NY,US,Snowmobile,Stranded,43.51136,-74.33981,1720.0,True,Airboat,2,True,Conservation Easement,Speculator Tree Farm Easement,HAMILTON,LAKE PLEASANT,True,False,01/16/2018,4:00 AM,POINT (-74.33981 43.51136)
NY-2018-WS-178,5,Search,07/30/2018,12:52 PM,3,M,5.0,NJ,US,Hiking,Lost,43.80446,-73.47015,845.0,True,Assist/own power; Carry out by foot,2,True,Forest Preserve,Lake George Wild Forest,WARREN,HAGUE,True,False,07/30/2018,4:24 AM,POINT (-73.47015 43.80446)
NY-2017-WS-039,4,Recovery,02/28/2017,6:33 AM,1,,,NY,US,Criminal,Missing,42.29941,-73.78523,30.0,False,Carry out by foot,2,True,Wildlife Management Area,Vosburgh Swamp WMA,GREENE,COXSACKIE,False,False,03/01/2017,3:00 AM,POINT (-73.78523 42.29941)
NY-2018-WS-353,5,Rescue,01/01/2019,5:45 AM,1,F,47.0,NY,US,Hiking,Lost,43.57117,-73.69359,1135.0,True,Assist/own power,2,True,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,True,False,01/01/2019,7:50 AM,POINT (-73.69359 43.57117)
NY-2016-WS-236,5,Search,08/22/2016,4:41 AM,2,M,13.0,NY,US,Hiking,Lost,43.42571,-73.73464,1270.0,True,Vehicle/boat evacuation,1,True,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,True,False,08/22/2016,9:48 AM,POINT (-73.73464 43.42571)
NY-2017-WS-147,6,Rescue,07/05/2017,8:12 AM,1,M,23.0,NY,US,Boating,Missing,43.02184,-74.80153,336.0,True,Airboat; Carry out by foot; Swiftwater; Technical Rope,12,True,Other Municipal Land,Other,HERKIMER,LITTLE FALLS,False,False,07/08/2017,2:00 AM,POINT (-74.80153 43.02184)
NY-2017-WS-292,5,Rescue,10/14/2017,1:28 AM,1,F,59.0,NY,US,Hiking,Injured,43.37406,-73.69734,2360.0,True,Assist/own power,10,True,Forest Preserve,Wilcox Lake Wild Forest,SARATOGA,HADLEY,True,False,10/14/2017,6:11 AM,POINT (-73.69734 43.37406)
NY-2017-WS-220,5,Search,08/18/2017,3:01 AM,4,F,18.0,NY,US,Hiking,Lost,43.40123,-73.74899,1086.0,True,Assist/own power,1,False,Forest Preserve,Lake George Wild Foest,WARREN,LAKE GEORGE,True,False,08/18/2017,6:21 AM,POINT (-73.74899 43.40123)
NY-2016-WS-145,3,Search,07/04/2016,12:30 PM,2,M,39.0,NY,US,Hiking,Missing,42.04734,-74.39594,3049.0,True,Assist/own power,3,False,Forest Preserve,Slide mountain Wilderness,ULSTER,SHANDAKEN,False,True,07/04/2016,5:30 AM,POINT (-74.39594 42.04734)
NY-2018-WS-284,5,Search,09/30/2018,9:00 AM,1,M,75.0,NY,US,Walking,Missing,43.57163,-73.38538,100.0,True,Vehicle/boat evacuation,9,True,Private Land,private and East Bay WMA,WASHINGTON,WHITEHALL,False,False,09/30/2018,6:07 AM,POINT (-73.38538 43.57163)
NY-2016-WS-281,5,Search,09/27/2016,5:19 AM,4,M,11.0,NY,US,Hiking,Lost,43.80276,-74.30906,1800.0,True,Assist/own power,3,True,Forest Preserve,Blue Mountain Wild Forest,HAMILTON,INDIAN LAKE,True,False,09/27/2016,11:00 AM,POINT (-74.30906 43.80276)
NY-2017-WS-345,3,Search,12/11/2017,8:03 AM,3,F,23.0,NJ,US,Hiking,Lost,41.98656,-74.35931,3339.0,True,Assist/own power,10,True,Forest Preserve,Friday Mountain,ULSTER,SHANDAKEN,False,True,12/12/2017,7:45 AM,POINT (-74.35931 41.986560000000004)
