Property Name,Country,Commodity,Type of Work,Status,Extent of Processing,Best Reserve Available,Reserves Tonnes  (_000) Units,Reserve Grade,Reserve grade Unit,Current Production,Current Production Unit,(Expected) Yearly Production at full capacity ,(Expected) Production at full capacity unit,Life of Mine (years),Project Inception (Year),Project Completion (Year),Company Name,(Expected)  Investment (MM$),Probability to move to investment by 2020 ,Power Sourcing Arrangement or Relationship Between Mine and Grid.,Source of power,Energy Consumption (kwh/t product),Annual Energy Consumption (MWh),Energy needs (MW),Shareholding Code,Mine Location,Location notes,Region,Tariff Public Utility,Cost relativity,Grid Energy Source,Grid Reliability,Source,Notes,Reference,Projects Pre-2000,Projects 2001-2012,Projects 2020
Bokoni Mine (Lebowa),South Africa,PGM,Underground,Producer,refined,Proven Reserves,52100.0,5.13,grams,1509924.0,grams,527000,ounce,73.0,1969.0,2042.0,"Anglo American Platinum (49%), Atlatsa Resources (51%)",,high,Grid supply,On-Grid,69489780,1038190,108.14,Join-venture with only private interests,"(-24.3, 29.8666667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Middelpunt Eskom substation. 17.9M Oz of 4E PGMs over 34 years: 526,470 oz","Infomine, Technical Report April 2008 (SEDAR)",Yes,Yes,Yes
Marikana - Lonmin,South Africa,PGM,Underground,Producer,smelted,Proven & Probable,293900.0,4.22,grams,760668.0,grams,450000,ounce,168.0,1969.0,2137.0,Lonmin,,high,Grid supply,On-Grid,65962380,826311,86.07,Sole Ownership by a private company,"(-25.7166667, 27.4333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production and Reserves are for all PGMs. In partnership with Eskom R150 million were invested. LOM calculated using Mineral Resources: 114.4Mt and Mineral Reserves: 37.4Mt in Sept 2011. US$18 million in energy saving projects; aiming to achieve an energy saving of 1.06 Giga Watt per hour (GWh) [across company]. Secure access to sufficient and reliable energy supply from Eskom to support operations and growth plans until at least 2017. Eexploring ways of diversifying electrical supply through the development of renewable projects and continuing to find new ways of improving efficiencies.,"Infomine, Company Website,  http://www.mineweb.com/mineweb/content/en/mineweb-company-releases?oid=59573&sn=Detail",Yes,Yes,Yes
Mimosa,Zimbabwe,PGM,Underground,Producer,smelted,Proven and Probable Reserves,31100.0,3.74,grams,3295413.0,grams,185000,ounce,51.0,2002.0,2052.0,"Aquarius Platinum Ltd. (50.0%), Impala Platinum Holdings Ltd. (50.0%) ",,high,Grid supply,On-Grid,65962380,12203,1.27,Join-venture with only private interests,"(-20.3333333, 29.8166667)",,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,"Following the agreement between Mimosa and Zesa (the power utility company) reached in late March guaranteeing uninterrupted power supply of 20MW for the next five years, Mimosa has experienced no issues with electricity supply. Platinum miners helped the government power company pay $80 million owed to Mozambique’s supplier Hydro Cahora Bassa of Mozambique.","http://www.sundaymail.co.zw/index.php?option=com_content&view=article&id=30153:mimosa-revenues-rise-to-81-million&catid=41:business&Itemid=133,
http://www.newsday.co.zw/2012/11/20/amplats-zim-unit-may-build-new-mine/",No,Yes,Yes
Grootboom,South Africa,Platinum,Surface,Feasibility,refined,Indicated Reserves,17692.0,4.59,grams,,,86000,ounce,7.0,2013.0,2020.0,"Moepi Platinum (26.8%), Platmin (72.4%)",,high,Grid supply + self-supply backup,"On-Site Diesel, On-Grid",50089080,122120,12.72,Join-venture with only private interests,"(30.1833333, -24.7833333)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,2009: Feasibility stage. Temporary Power Supply – Diesel power generation planned for the construction phase (≈1 MVA required). Full production is 3PGE + Au,"Infomine, Company Website, Technical Report March 2009 (SEDAR)",No,No,Yes
Kalplats,South Africa,Platinum,Surface,Advanced Exploration,refined,Inferred Resources,72400.0,1.56,grams,200000.0,ounce,300000,ounce,9.0,2014.0,2023.0,Platinum Australia 49%; African Rainbow 51%,,high,Grid supply,On-Grid,50089080,426000,44.38,Join-venture with only private interests,"(-26.5, 24.8333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Electricity will be obtained from a 132 kva Eskom power grid, approximately at 10 km from the plant.",http://upetd.up.ac.za/thesis/available/etd-07102008-080330/unrestricted/dissertation.pdf,No,No,Yes
Marikana - Lonmin,South Africa,Platinum,Underground,Producer,smelted,Proven & Probable,293900.0,4.22,grams,1618624.0,grams,750000,ounce,168.0,1969.0,2137.0,Lonmin Plc.,,high,Grid supply,On-Grid,65962380,1402500,146.09,Sole Ownership by a private company,"(-25.7166667, 27.4333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production and Reserves are for all PGMs. In partnership with Eskom R150 million were invested. LOM calculated using Mineral Resources: 114.4Mt and Mineral Reserves: 37.4Mt in Sept 2011. US$18 million in energy saving projects; aiming to achieve an energy saving of 1.06 Giga Watt per hour (GWh) [across company]. Secure access to sufficient and reliable energy supply from Eskom to support operations and growth plans until at least 2017. Eexploring ways of diversifying electrical supply through the development of renewable projects and continuing to find new ways of improving efficiencies.,"Infomine, Company Website,  http://www.mineweb.com/mineweb/content/en/mineweb-company-releases?oid=59573&sn=Detail",Yes,Yes,Yes
Mphahlele,South Africa,Platinum,Surface,Feasibility,smelted,Indicated Reserves,49538.0,4.91,grams,,,250000,ounce,17.0,2013.0,2030.0,"Mahube Mining And Exploration (20%), Moepi Platinum (20.7%), Platmin Ltd (54.3%)",430.0,high,Grid supply,On-Grid,46561680,330000,34.38,Join-venture with only private interests,"(-24.4666667, 29.6333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production: 3PGE + Au reached in 2013. The estimated total power requirement for the Mphahlele project for the LoM is 47MW. An application has been submitted to Eskom for a supply of 49MVA. Investment: R4BN at exchange rate beginning of 2009: 430MN USD,"Infomine, http://www.platmin.com/downloads/tr/CPR_mphahlele_feb09.pdf",No,No,Yes
Tema,Ghana,Aluminum,Plant,Producer,smelted,None,,,,,,40000,tons,,1970.0,,Volta Aluminum Co. Ltd. (Valco) 100%,,high,Grid supply,On-Grid,15500,620000,64.58,Sole Ownership by a private company,,Tema,WA,11.1,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,USGS,,,Yes,Yes,Yes
Mounana,Gabon,Manganese,Surface,Exploration,crushed,None,,,,,,200000,tons,50.0,,,BHP (60%)- Angloamerican (40%),,low,Self-supply --> Grid supply,"On-site Diesel, On-Grid",16,3200,0.33,,"(-1.4333333, 13.15)",,CA,16.2,above tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,Hydroprojects seeems to be planned to serve the mines (EIA),WB,No,No,Yes
Mamatwan,South Africa,Manganese,Open-Pit/Underground,Producer,crushed,Combined Resources,121000.0,36.95,%,3500000.0,tons,3500000,tons,67.0,1964.0,2031.0,"Anglo American (29.6%), Bhp's Samancor (44.4%), Bee (27%)",,high,Grid supply,On-Grid,30,105000,10.94,Join-venture with only private interests,"(-27.3833333, 22.9833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,Yes,Yes,Yes
