wb_code,year,FGI_1,UFGI_1,countryName
ARE,1992,,,United Arab Emirates
ARE,1993,,,United Arab Emirates
ARE,1994,,,United Arab Emirates
ARE,1995,,,United Arab Emirates
ARE,1996,,,United Arab Emirates
ARE,1997,,,United Arab Emirates
ARE,1998,,,United Arab Emirates
ARE,1999,,,United Arab Emirates
ARE,2000,,,United Arab Emirates
ARE,2001,,,United Arab Emirates
ARE,2002,,,United Arab Emirates
ARE,2003,,,United Arab Emirates
ARE,2004,,,United Arab Emirates
ARE,2005,,,United Arab Emirates
ARE,2006,0.0029212,0.0018335,United Arab Emirates
ARE,2007,0.0052246,0.0052569,United Arab Emirates
ARE,2008,0.0394574,0.178077,United Arab Emirates
ARE,2009,0.0498045,0.1126885,United Arab Emirates
ARE,2010,0.0894244,0.1321426,United Arab Emirates
ARE,2011,0.0155857,0.0311253,United Arab Emirates
ARE,2012,0.04917,0.0531535,United Arab Emirates
ARE,2013,0.1774537,0.1127694,United Arab Emirates
ARE,2014,0.1870493,0.0815762,United Arab Emirates
ARE,2015,0.3297313,0.2700833,United Arab Emirates
ARE,2016,0.1575863,0.1784074,United Arab Emirates
ARG,1992,0.0890509,0.0390017,Argentina
ARG,1993,0.1319041,0.0384103,Argentina
ARG,1994,0.3133401,0.1136882,Argentina
ARG,1995,0.3431021,0.0869305,Argentina
ARG,1996,0.3836603,0.0759789,Argentina
ARG,1997,0.2486731,0.1800109,Argentina
ARG,1998,0.2756596,0.3348363,Argentina
ARG,1999,0.2839313,0.1811069,Argentina
ARG,2000,0.2715449,0.2452845,Argentina
ARG,2001,0.0701227,0.0667613,Argentina
ARG,2002,0.0358088,0.0368788,Argentina
ARG,2003,0.0465195,0.0234091,Argentina
ARG,2004,0.2248254,0.1130349,Argentina
ARG,2005,0.2393217,0.098669,Argentina
ARG,2006,0.4165664,0.3092205,Argentina
ARG,2007,0.4050333,0.4065276,Argentina
ARG,2008,0.1176073,0.412791,Argentina
ARG,2009,0.2272992,0.4161422,Argentina
ARG,2010,0.3120773,0.4129247,Argentina
ARG,2011,0.3474079,0.5192719,Argentina
ARG,2012,0.1733344,0.1854153,Argentina
ARG,2013,0.1944728,0.124524,Argentina
ARG,2014,0.2464962,0.1121255,Argentina
ARG,2015,0.349502,0.2878134,Argentina
ARG,2016,0.2896228,0.3212368,Argentina
AUS,1992,0.5296212,0.3185455,Australia
AUS,1993,0.4102341,0.1545918,Australia
AUS,1994,0.4141292,0.1657599,Australia
AUS,1995,0.5003158,0.1543427,Australia
AUS,1996,0.7724412,0.3095786,Australia
AUS,1997,0.6721054,0.5761897,Australia
AUS,1998,0.3181821,0.3816772,Australia
AUS,1999,0.395269,0.2671678,Australia
AUS,2000,0.318912,0.2898938,Australia
AUS,2001,0.2178835,0.2090313,Australia
AUS,2002,0.2234416,0.2287877,Australia
AUS,2003,0.1949727,0.1063372,Australia
AUS,2004,0.6772345,0.4796977,Australia
AUS,2005,0.7352263,0.4914015,Australia
AUS,2006,0.5564737,0.4402818,Australia
AUS,2007,0.6038449,0.6053264,Australia
AUS,2008,0.3079517,0.7012241,Australia
AUS,2009,0.3412778,0.5566036,Australia
AUS,2010,0.5340664,0.6399195,Australia
AUS,2011,0.429446,0.6043124,Australia
AUS,2012,0.4926262,0.513147,Australia
AUS,2013,0.5572072,0.4257458,Australia
AUS,2014,0.4540698,0.2430438,Australia
AUS,2015,0.3720737,0.3082891,Australia
AUS,2016,0.4874083,0.5246664,Australia
AUT,1992,0.6888386,0.4789143,Austria
AUT,1993,0.7461903,0.4359445,Austria
AUT,1994,0.580779,0.2802772,Austria
AUT,1995,0.6702038,0.2703012,Austria
AUT,1996,0.6920222,0.2288798,Austria
AUT,1997,0.5527012,0.4504183,Austria
AUT,1998,0.3684458,0.4355637,Austria
AUT,1999,0.2649283,0.1673771,Austria
AUT,2000,0.2032395,0.1819349,Austria
AUT,2001,0.1421595,0.1358495,Austria
AUT,2002,0.1390152,0.1427126,Austria
AUT,2003,0.1278768,0.0671973,Austria
AUT,2004,0.7378532,0.5529246,Austria
AUT,2005,0.7434759,0.5021034,Austria
