ID,REGION,LOCATION,METRO/MUNICIPAL/DISTRICT,HV VOLTAGE,NUMBER OF CUSTOMERS,OPERATIONAL AREA
1,Greater Accra Region,MAMPONG,Akwapim North,11.0,17522.0,ACCRA EAST 
2,Greater Accra Region,TESHIEE,Ledzokuku,11.0,28537.0,ACCRA EAST 
3,Greater Accra Region,KWABENYA,Ga East,11.0,31132.0,ACCRA EAST 
4,Greater Accra Region,MAKOLA,Accra Metropolitan Assembly,11.0,46943.0,ACCRA EAST 
5,Greater Accra Region,ROMAN RIDGE,Accra Metropolitan Assembly,11.0,51866.0,Tamale
6,Greater Accra Region,LEGON,Ga East,11.0,75258.0,ACCRA EAST 
7,Greater Accra Region,BORTIANOR,Ga South,11.0,20662.0,ACCRA WEST
8,Greater Accra Region,KORLE BU,Accra Metropolitan Assembly,11.0,47157.0,ACCRA WEST
9,Greater Accra Region,NSAWAM,Akwapim South ,11.0,60397.0,ACCRA WEST
10,Greater Accra Region,DANSOMAN,Accra Metropolitan Assembly,11.0,70212.0,ACCRA WEST
11,Greater Accra Region,KANESHIE,Accra Metropolitan Assembly,11.0,76898.0,ACCRA WEST
12,Greater Accra Region,ACHIMOTA,Accra Metropolitan Assembly,11.0,89244.0,ACCRA WEST
13,Ashanti Region,MAMPONG,Mampong Municipal,33.0,17100.0,ASHANTI EAST 
14,Ashanti Region,EFFIDUASI,Ejisu Juaben,11.0,19404.0,ASHANTI EAST 
15,Ashanti Region,KONONGO,Asante Akim South,11.0,24715.0,ASHANTI EAST 
16,Ashanti Region,KWABRE,Kwabre,11.0,25460.0,ASHANTI EAST 
17,Ashanti Region,ASOKWA,KMA,11.0,31682.0,ASHANTI EAST 
18,Ashanti Region,AYIGYA,Asokore Mampong ,11.0,40360.0,ASHANTI EAST 
19,Ashanti Region,MANHYIA,KMA,11.0,52250.0,ASHANTI EAST 
20,Ashanti Region,SUAME,KMA,11.0,,ASHANTI WEST
21,Ashanti Region,DUNKWA,Upper Denkyira East,11.0,10935.0,ASHANTI WEST
22,Ashanti Region,OFFINSO,Offinso South,,12759.0,ASHANTI WEST
23,Ashanti Region,BEKWAI,Bekwai Municipal,11.0,23647.0,ASHANTI WEST
24,Ashanti Region,OBUASI,Obuasi Municipal,11.0,35447.0,ASHANTI WEST
25,Ashanti Region,ABUAKWA,Atwima Nwabiagya,11.0,44383.0,ASHANTI WEST
26,Ashanti Region,N/EDUBIASE,Adansi South,33.0,,ASHANTI WEST
27,Central Region,BREMAN ASIKUMA,Asikuma,33.0,6775.0,CENTRAL 
28,Central Region,AJUMAKO,Ajumako,33.0,10940.0,CENTRAL 
29,Central Region,ASSIN FOSU,Assin North,11.0,11645.0,CENTRAL 
30,Central Region,TWIFO PRASO,Lower Denkyira,33.0,15569.0,CENTRAL 
31,Central Region,SALTPOND,Mfantsiman,33.0,17955.0,CENTRAL 
32,Central Region,WINNEBA,Effutu,11.0,19278.0,CENTRAL 
33,Central Region,KASOA,Effutu,33.0,29400.0,CENTRAL 
