Candidate Site?,Site ID,Project ID,Site Name,Project Name,Region,Country,Location,Criterion 1: Stage of Development,Sub-stage of Development within stage 2,Commercial Activity?,Project on Developed Site?,In Operation?,Operation Date,Any Drilling?,Any deep well drilling?,Drilling - Comments,Past Attempts at Development,Key Market Participants,Criterion 2: Probability of Good Resource for Power Generation,Quality of Publicly Available Data,Resource Temperature,Enthalpy,Estimated Potential Capacity Minimum,Estimated Potential Capacity Range,Estimated Installed Capacity,Resource Chemical Composition,Criterion 3: Environmental and Social Constraints,Description of  Environmental/Social Constraint_ where applicable,Criterion 4: Likelihood of Commercial Viability,In Country where a Geothermal Facility has Operated?,Remoteness of Site,Competing Generation,Infrastructure Needed,Time Needed to Reach Exploration,Finance Needed to Reach Exploration,Time Needed to Reach Test Drilling,Finance Needed to Reach Test Drilling,Criterion 5: Maturity of Enabling Environment,Legal_ Regulatory_ and Institutional Framework,Concession Information,Notes,Main Information Sources,Web Sources
Yes,LAC002,LAC002-1,Domuyo ,Domuyo ,South America,Argentina,"In the northern part of the province at 36  ̊40'S, 70  ̊40'W (Neuquén Province)  ",2,2b,Yes,No,No,,Yes,No,"-Twelve 100-meter deep wells  
-1 exploratory well of 376 m
-Thermal gradient well of 1000 m was drilled in 1984.","In 1984 drilling. 

Call for tenders August 2010","Group of Volcanology Work of the Secretary of Mining , JICA",Medium,Medium,186 - 230,Medium,Unknown,Unknown,0.0,,Low,,Medium,Yes,High,"Natural gas, hydro",,,,,,Medium,"Based on unique concession system where rights to whole province are awarded in open bidding to company that asks for the lowest subsidy. Laws and concessions happen at a provincial level, and not a national level. Deregulated and separate privatized markets for generation, transmission, and distribution.","Call for tenders in August 2011. Tender for exploration concession (with option to develop) was extended to 31 March 2012, but neither of the only 2 companies that bought bidding documents submitted an offer","Second exploratory phase was from 1982 to 1983. Third exploratory stage (1983-84) focused on electrical and seismic studies as well as the measurement of heat flows in 12 100-meter deep wells. As of 1995, Domuyo's geothermal resources were being exploited for space heating and supplying hot water to a small tourist complex, Villa Aguas Calientes. Elaboration of a model for the geothermal systems which establishes the main geothermal field characteristics has been concluded. Field displays fumaroles, hot springs, and gas emanations. Associated with Quaternary shoshonitic volcanism. Detailed surveys covered around 600 sq. km. around Cerro Domo Volcano, the largest manifestation of Quaternary volcanism in the area. The studies delimited a thermal anomaly probably related to magma bodies in the upper levels of the crust are related to tensional structures (Pesce, 1995). Second stage of a prefeasibility study was concluded as of April 2010. This established the geothermal pattern and defined the area of major economical importance, where exploration wells are scheduled to be made. Drilling exploration wells in the reservoir area is necessary to obtain temperatures and detailed data of thermal gradients. ","2, 28","http://adinqn.gov.ar/pliegos/apertura_sobres_domuyo2012.pdf
"
No,LAC001,LAC001-1,Copahue,Copahue I,South America,Argentina,"On the eastern slopes of the Andes, near the border with Chile, at 37  ̊ 50' S, 71  ̊ 05' W; 1170 km WSW from Buenos Aires, and 360 km NW of Neuquén, the provincial cpaital. Located on the western edge of a 15 to 20-km diameter megacaldera near the 2977-m high Quatemary Copahue Volcano (Neuquén Province). ",4,,Yes,Yes,No,1988,Yes,Yes,"-COP 1: 1441 m (250  ̊ C), 
-COP 2: drilled to 1241m deep (235  ̊ C), well showed inferior conditions of permeability with initial flow less than COP 1; 
-COP 3: drilled to 1065 m deep (240  ̊ C), JICA drilled and studied; 
-COP 4: drilled to 1256 m for the Villa Thermal Copahue Heating Project, static pressure 40 bar wellhead, 235  ̊ C reservoir temperature.",Test 670kWe Ormat binary pilot plant built and retired ,"Ormat, Empresa Neuquina de Servicios, Comisión Nacional de Estudios Geotérmicos, Consejo de Planificación para el Desarrollo, JICA, Secretary of State of Copahue, Latinconsult, Electro consult",Low,High,171 - 270,High,30,30,0.67,,Low,,Medium,Yes,Low,"Natural gas, hydro",,,,,,Medium,"Based on unique concession system where rights to whole province are awarded in open bidding to company that asks for the lowest subsidy. Laws and concessions happen at a provincial level, and not a national level. 

Deregulated and separate privatized markets for generation, transmission, and distribution.",,"Includes five geothermal manifestations of importance (fumaroles and hot springs) covering an area of approximately 1.2 sq km, four of which are located in Argentina. They are : Termas de Copahue, Las Maquinas, Las Maquinitas, and Anfiteatro (the fifth, Chancho-co, is located in Chile.) The Copahue Volcano corresponds to the last episode of the Copahue-Caviahue Effusive Complex whose activity began during the Pilocene and continued into the Quaternary. The volcanic materials are mainly lavas; pyroclastics are less abundant. They are predominantly calk-alkaic basalts, andesitic-basalts and andesites and, in smaller proportion, latites (Pesce, 1995).  Copahue means ""sulfur place"" in the local language, Araucura. According to the geothermal model, Copahue is a vapor-dominated geothermal field to a depth of 1300 m. The existence of a main reservoir at an estimated depth of 1800 m has yet to be confirmed. Villa Thermal Copahue Heating Project-Melts snow to keep resort town accessible year round. Other current uses: balneotherapy. ","2, 19, 28","http://www.mineweb.com/mineweb/view/mineweb/en/page674?oid=149611&sn=Detail&pid=102055
http://thinkgeoenergy.com/archives/11269"
No,LAC001,LAC001-2,Copahue,Copahue II,South America,Argentina,"On the eastern slopes of the Andes, near the border with Chile, at 37  ̊ 50' S, 71  ̊ 05' W; 1170 km WSW from Buenos Aires, and 360 km NW of Neuquén, the provincial cpaital. Located on the western edge of a 15 to 20-km diameter megacaldera near the 2977-m high Quatemary Copahue Volcano (Neuquén Province). The Copahue project area is located in the western part of Neuquén Province, approximately 300 km from the provincial capital and just a few kilometres from the Chilean border.",3,,Yes,Yes,No,,Yes,Yes,"Four deep wells to 1,414 m drilled",,"IDB, Earth Heat Resources (Australia), Electromatalurgica Andina SAIC, Corporacion Interamericana para el Financiamento de Infraestructura, AGS Capital Group LLC",High,High,171 - 270,Medium,30,30,0.0,,Low,,Medium,Yes,Low,"Natural gas, hydro",,,,,,Medium,"Based on unique concession system where rights to whole province are awarded in open bidding to company that asks for the lowest subsidy. Laws and concessions happen at a provincial level, and not a national level. 

Deregulated and separate privatized markets for generation, transmission, and distribution.",Earth Heat Resources,"This site is worth investigating - looks like it's in stage 3, but might need additional resources (see Mineweb link). A new 30 mW plant at the site is under consideration. Australian company Earth Heat Resources will use a $22.5 million loan to drill three of four wells at the Copahue, Argentina geothermal venture. ""Phase 1 of the field program has been successfully completed"", and 'considerable progress has been made with the key aspects of geology, geotechnical studies, civil engineering, and process engineering'. Corporacion Interamericana para el Financiamento de Infraestructura is the lead arranger for the loan, which will add to the $134 million provided to the project by the Inter-American Development Bank. An agreement with AGS Capital Group LLC provides A$17.5 million of capital contingency financing. ","Sierra Cucapá, y Tulecheck","http://www.mineweb.com/mineweb/view/mineweb/en/page674?oid=149611&sn=Detail&pid=102055
http://thinkgeoenergy.com/archives/11270"
No,LAC003,LAC003-2,Tuzgle-Tocomar,Tocomar,South America,Argentina,In the Altiplano of Salta and Juyjuy at 23  ̊55'S; 66  ̊30'W (Juyjuy and Salta Provinces). An area of about 900 sq km. has been studied in detail. ,2,2a,No,No,No,,Yes,No,1980 - 12 thermal gradient wells drilled,,"Aquater SpA (ENI Group); Escondida-BHPBilliton, Zaldivar-Barrick, Rio Grande-Antares Minerals",Low,High,80,Low,Unknown,Unknown,0.0,,Low,,Medium,Yes,Medium,"Natural gas, hydro",,,,,,Medium,"Based on unique concession system where rights to whole province are awarded in open bidding to company that asks for the lowest subsidy. Laws and concessions happen at a provincial level, and not a national level. 

Deregulated and separate privatized markets for generation, transmission, and distribution.",,Power line interconnecting Argentina to Chile is 20km from the area.,"2, 28",http://www.consultoresmineros.com/geothermal_energy_.html
No,LAC003,LAC003-1,Tuzgle-Tocomar,Tuzgle ,South America,Argentina,In the Altiplano of Salta and Juyjuy at 23  ̊55'S; 66  ̊30'W (Juyjuy and Salta Provinces). An area of about 900 sq km. has been studied in detail. ,2,2a,No,No,No,,Yes,No,1980 - 11 thermal gradient wells drilled,1980 - prefeasibility study and thermal gradient drilling,"Aquater SpA (ENI Group); Escondida-BHPBilliton, Zaldivar-Barrick, Rio Grande-Antares Minerals",Low,High,131-142,Low,Unknown,Unknown,0.0,,Low,,Medium,Yes,Medium,"Natural gas, hydro",,,,,,Medium,"Based on unique concession system where rights to whole province are awarded in open bidding to company that asks for the lowest subsidy. Laws and concessions happen at a provincial level, and not a national level. 

Deregulated and separate privatized markets for generation, transmission, and distribution.",,"Due to its distance from electrical distribution centers, the potential for development of Tuzgle will likely increase with a growing energy demand. It is reported that this resource is used for mining. Second stage of a prefeasibility study was concluded as of April 2010. This established the geothermal pattern and defined the area of major economical importance, where exploration wells are scheduled to be made. In 2010 G4G announced it would like to acquire an interest in Tuzgle, Valle del Cura, and Tocomar; in April 2012, it announced that it would no longer be proceeding with the acquisition","2, 28",Information on G4G's cancelled development: http://thinkgeoenergy.com/archives/5099
No,LAC004,LAC004-0,Valle del Cura ,,South America,Argentina,San Juan Province ,1,,No,,No,,No,No,,,,Medium,Low,130-200,High,Unknown,Unknown,0.0,,Low,,Low,Yes,High,"Natural gas, hydro",,,,,,Medium,"Based on unique concession system where rights to whole province are awarded in open bidding to company that asks for the lowest subsidy. Laws and concessions happen at a provincial level, and not a national level.  Deregulated and separate privatized markets for generation, transmission, and distribution.",,"Thermal anomaly is related to subvolcanic bodies. In 2010 G4G announced it would like to acquire an interest in Tuzgle, Valle del Cura, and Tocomar; in April, it announced that it would no longer be proceeding with the acquisition ",2,Information on G4G's cancelled development: http://thinkgeoenergy.com/archives/5099
Yes,LAC013,LAC013-1,Valle de Río Empexa,Valle de Río Empexa,South America,Bolivia,"In the Cordillera Occidental in the west of the Salar de Uyuni River; covers and area of more than 10,000 sq. Km. Site includes two fields: El Desierto and Fuente de Towa. ",2,2a,Yes,No,No,,Yes,No,,,"UNDP, Aquater, ENDE, CAF, Italian Government, JOGMEC",Medium,Medium,170-200,High ,15,15,0.0,,Low,,Medium,No,High,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"Resource estimated to have reservoir temperatures of 230 - 240  ̊ C at depths of 800-1000 m and produce 30t/h of vapor with an enthalpy of 1400 kJ/kg at 7 bars of pressure. Chemical geothermometers indicate 230 - 240  ̊ C reservoir temperatures. Despite the favorable characteristics of the Río Empexa field, development was not pursued because Laguna Colorada was evaluated to be more economically feasible. However, JOGMEC (the Japan Oil, Gas, Mining Company) has included the site among the ones for geothermal development for its industrial operations (and possible sale to ENDE). Proposed industrial uses: mineral extraction of sulfur, borox, and other minerals. Also local rural electrification. Río Empexa is adjacent to Salar de Uyuni where geothermal power could be used in the exploitation and transformation of salts (lithium, potassium, borox, and magnesium) and other minerals. In order to develop this site, it is important to ascertain that financial resources are available. Moreover, governmental support in promotional work is needed as well as methods to attract private participation through contracts which divide risk. ",2,http://eerrbolivia.blogspot.com/2011/03/500-millones-de-dolares-para-la.html
No,LAC005,LAC005-0,Capachos ,,South America,Bolivia,,1,,,,No,,No,No,,,,Unknown,Low,80 - 135,Low,Unknown,Unknown,0.0,"There are chemical indications of thermal character (As, B, Cs, Li, Rb) but low silica. These waters also have high Ca+ Mg suggesting a mixing of reservoir water with cooler groundwater. ",Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998)",2,
No,LAC006,LAC006-0,Castilla - Huma ,,South America,Bolivia,,1,,,,No,,No,No,,,,Unknown,Low,75 - 160,Medium,Unknown,Unknown,0.0,Some chemical indications of thermal character but high Ca + Mg and low silica.,Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998)",2,
No,LAC007,LAC007-0,Pazña ,,South America,Bolivia,,1,,,,No,,No,No,,,,Low,Medium,90 - 180,Medium,Unknown,Unknown,0.0,Fluids have some thermal characteristics but high Ca+ Mg and low silica. ,Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998)",2,
