Theme,Theme Label,Theme Type,Value Chain,Value Chain Label,Topic,Topic Label,Indicator,Indicator Label,Question,Question Label,Question Answer (1_4),Question Answer (Text),Question Type,Government Weights,Industry Weights,Civil Society Weights,Overall Country Weights
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",1,"To what extent are the procedures for the allocation of exploration rights detailed, laid out in law and regulations, and compatible with relevant legislation?",4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",2,"To what extent are the procedures for the allocation of mining rights detailed, laid out in the law and/or regulations, and compatible with relevant legislation?",4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",3,To what extent does the legislation impose clear limits to the discretionary powers of the authority in charge of awarding exploration licenses? ,2.5,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",4,To what extent are limits to the discretionary powers of the authority in charge of awarding mining licenses laid out in the law? ,1.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",5,"To what extent are exceptions to the First Come, First Served principle allowed?",4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",6,"In the law, to what extent does a company that holds an exploration license (and is in compliance with license conditions) have an automatic prior right to apply for a mining lease in that area? ",4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",7,"According to the law, to what extent do license holders have the freedom to transfer their licenses to eligible companies",2.5,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",8,To what extent are sanctions for non-performance by companies regarding licenses prescribed in the regulations?,4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",9,To what extent are mining contracts allowed to be used to supersede the provisions of prevailing laws?,4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.1,"Clarity of Rules for License Allocation, Conversion and Transfer",10,To what extent is it defined in law which government body negotiates and approves mine development agreements? ,2.5,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.2,Geological Data Collection Rules,11,"In the law, to what extent are exploration companies required to regularly report quantitative operational information, including geological information, to the GSD or mining authority? ",4.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.3,Modern Mining Cadastre,12,Is the establishment and operation of a mining cadastre provided for in the law? ,1.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.4,License Approval and Review Timeframes,13,"According to regulation, to what extent is there a clear timeframe for the allocation of licenses? ",2.5,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.4,License Approval and Review Timeframes,14,"In the law, to what extent is there discretion in the speed of approval for license applications?",,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.4,License Approval and Review Timeframes,15,To what extent does the regulation ensure that applications not meeting criteria are rejected as opposed to remain pending?,1.0,,Primary (desktop research),1.0,1.0,1.0,1.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,1,"1. Contracts, Licenses and Exploration",A1,Rules for License Allocation and Geological Data Collection,A1.4,License Approval and Review Timeframes,16,To what extent is the timeframe for approval of exploration work programs set out in regulations? ,1.0,,Primary (desktop research),1.0,1.0,1.0,1.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,17,To what extent is the information required for license applications easily accessible? ,4.0,,Primary (desktop research),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,18,To what extent do the regulations require that the reasons for license application denial be communicated to the applicant? ,4.0,,Primary (desktop research),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,19,To what extent does the legislation detail a transparent process for license cancellations?,2.5,,Primary (desktop research),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,20,"In practice, when licenses are cancelled to what extent are the reasons communicated to the license holder in an accurate, complete and timely fashion? ",4.0,,Primary (Interview),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,21,To what extent are mining contracts required to be made publicly available in the law?,1.0,,Primary (desktop research),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,22,To what extent are mining contracts made publicly available?,1.0,,Primary (Interview),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,23,"To what extent does the legislation contain barriers to the disclosure of license and contract information, such as state secrecy laws?",1.0,,Primary (desktop research),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.1,Openness and Transparency of Licensing Process,24,"To what extent does the government publish key details for each license such as the license holder, duration of license and license type?",2.5,,Primary (Interview),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.2,Independence of Licensing Authority,25,"In the law, to what extent is the authority in charge of awarding licenses for exploration and mining independent from the mining ministry?",1.0,,Primary (desktop research),3.0,1.0,1.0,4.0
B,B. Accountability and Inclusiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",B1,"Openness, Transparency and Independence of Licensing Process",B1.2,Independence of Licensing Authority,26,To what extent is the authority in charge of awarding licenses for exploration and mining independent from the mining ministry?,,,Primary (Interview),3.0,1.0,1.0,4.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,27,To what extent is there a government website that describes what national geological information is available and at what cost (if not free)?,4.0,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,28,To what extent is there a library with current national geological information maintained by the Geological Survey Department (GSD) or a similar organization? ,4.0,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,29,"In practice, how reliably are exploration companies delivering the required operational information, including geological information, to the GSD or mining authority? ",2.5,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,30,To what extent does the Geological Survey Department (GSD) or similar organization collect geological information in an accessible library?,4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,31,To what extent does the Geological Survey Department (GSD) or similar organization store geological information from companies in a confidential manner?,3.1,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,32,To what extent does the Geological Survey Department (GSD) or a similar organization make use of the geological data collected from companies to improve understanding of geological prospectivity? ,3.25,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,33,To what extent does the Geological Survey Department (GSD) or a similar organization make use of the geological data collected from companies to monitor compliance with licenses? ,2.5,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,34,To what extent is the Geological Survey Department (GSD) or similar organization staffed with well-trained professionals? ,1.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.1,Collecting Geological Information,35,To what extent is the Geological Survey Department (GSD) or similar organization appropriately financially resourced? ,1.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.2,State of Mapping and Geological Exploration ,36,What proportion of the country’s land has been licensed for exploration?,,,Primary (desktop research),4.0,9.0,1.0,16.0
