Country ISO3,Country Name,Indicator,Subindicator Type,2010
AGO,Angola,Administrative sanctions,1 Yes 0 No,0.0
AGO,Angola,Annual budgets,1 Yes 0 No,1.0
AGO,Angola,Annual chart of accounts,1 Yes 0 No,0.0
AGO,Angola,Annual reports,1 Yes 0 No,0.0
AGO,Angola,Appeals mechanism score,5 Highest 0 Lowest,3.333333333
AGO,Angola,Appeals within public entities,1 Yes 0 No,1.0
AGO,Angola,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
AGO,Angola,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
AGO,Angola,Constitutional requirement,1 Yes 0 No,1.0
AGO,Angola,Coverage of information score,5 Highest 0 Lowest,2.0
AGO,Angola,Criminal sanctions,1 Yes 0 No,0.0
AGO,Angola,Deadlines for release of information score,5 Highest 0 Lowest,2.5
AGO,Angola,Draft legal instruments,1 Yes 0 No,0.0
AGO,Angola,Electronic requests,1 Yes 0 No,0.0
AGO,Angola,Enacted legal instruments,1 Yes 0 No,1.0
AGO,Angola,Enforcement mechanism score,5 Highest 0 Lowest,5.0
AGO,Angola,Exemptions to coverage,1 Yes 0 No,1.0
AGO,Angola,Exemptions to disclosure requirements score,5 Highest 0 Lowest,1.666666667
AGO,Angola,Existence of legal right to access,1 Yes 0 No,1.0
AGO,Angola,Fines,1 Yes 0 No,0.0
AGO,Angola,FOIA contact points,1 Yes 0 No,1.0
AGO,Angola,FOIA enforcement body,1 Yes 0 No,1.0
AGO,Angola,Harm test,1 Yes 0 No,0.0
AGO,Angola,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
AGO,Angola,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
AGO,Angola,Judicial appeals mechanism,1 Yes 0 No,1.0
AGO,Angola,Legal Framework unweighted average,1 Yes 0 No,1.0
AGO,Angola,Legislation governing access to information,1 Yes 0 No,1.0
AGO,Angola,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
AGO,Angola,Nominal fees mandated,1 Yes 0 No,1.0
AGO,Angola,Oral requests,1 Yes 0 No,0.0
AGO,Angola,Procedures for accessing information score,5 Highest 0 Lowest,1.25
AGO,Angola,Public Interest test ,1 Yes 0 No,0.0
AGO,Angola,Right to Appeal,1 Yes 0 No,1.0
AGO,Angola,Right to extend response time,1 Yes 0 No,0.0
AGO,Angola,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
AGO,Angola,Written guidelines for request of info,1 Yes 0 No,0.0
AGO,Angola,Written requests,1 Yes 0 No,1.0
ALB,Albania,Administrative sanctions,1 Yes 0 No,0.0
ALB,Albania,Annual budgets,1 Yes 0 No,1.0
ALB,Albania,Annual chart of accounts,1 Yes 0 No,1.0
ALB,Albania,Annual reports,1 Yes 0 No,1.0
ALB,Albania,Appeals mechanism score,5 Highest 0 Lowest,5.0
ALB,Albania,Appeals within public entities,1 Yes 0 No,1.0
ALB,Albania,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
ALB,Albania,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,1.0
ALB,Albania,Constitutional requirement,1 Yes 0 No,1.0
ALB,Albania,Coverage of information score,5 Highest 0 Lowest,5.0
ALB,Albania,Criminal sanctions,1 Yes 0 No,0.0
ALB,Albania,Deadlines for release of information score,5 Highest 0 Lowest,3.75
ALB,Albania,Draft legal instruments,1 Yes 0 No,1.0
ALB,Albania,Electronic requests,1 Yes 0 No,1.0
ALB,Albania,Enacted legal instruments,1 Yes 0 No,1.0
ALB,Albania,Enforcement mechanism score,5 Highest 0 Lowest,5.0
ALB,Albania,Exemptions to coverage,1 Yes 0 No,1.0
ALB,Albania,Exemptions to disclosure requirements score,5 Highest 0 Lowest,4.166666667
ALB,Albania,Existence of legal right to access,1 Yes 0 No,1.0
ALB,Albania,Fines,1 Yes 0 No,0.0
ALB,Albania,FOIA contact points,1 Yes 0 No,1.0
ALB,Albania,FOIA enforcement body,1 Yes 0 No,1.0
ALB,Albania,Harm test,1 Yes 0 No,1.0
ALB,Albania,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
ALB,Albania,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
ALB,Albania,Judicial appeals mechanism,1 Yes 0 No,1.0
ALB,Albania,Legal Framework unweighted average,1 Yes 0 No,1.0
ALB,Albania,Legislation governing access to information,1 Yes 0 No,1.0
ALB,Albania,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
ALB,Albania,Nominal fees mandated,1 Yes 0 No,1.0
ALB,Albania,Oral requests,1 Yes 0 No,1.0
ALB,Albania,Procedures for accessing information score,5 Highest 0 Lowest,5.0
ALB,Albania,Public Interest test ,1 Yes 0 No,1.0
ALB,Albania,Right to Appeal,1 Yes 0 No,1.0
ALB,Albania,Right to extend response time,1 Yes 0 No,1.0
ALB,Albania,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
ALB,Albania,Written guidelines for request of info,1 Yes 0 No,1.0
ALB,Albania,Written requests,1 Yes 0 No,1.0
ARG,Argentina,Administrative sanctions,1 Yes 0 No,1.0
ARG,Argentina,Annual budgets,1 Yes 0 No,1.0
ARG,Argentina,Annual chart of accounts,1 Yes 0 No,1.0
ARG,Argentina,Annual reports,1 Yes 0 No,1.0
ARG,Argentina,Appeals mechanism score,5 Highest 0 Lowest,5.0
ARG,Argentina,Appeals within public entities,1 Yes 0 No,1.0
ARG,Argentina,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
ARG,Argentina,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,2.0
ARG,Argentina,Constitutional requirement,1 Yes 0 No,1.0
ARG,Argentina,Coverage of information score,5 Highest 0 Lowest,5.0
ARG,Argentina,Criminal sanctions,1 Yes 0 No,0.0
ARG,Argentina,Deadlines for release of information score,5 Highest 0 Lowest,5.0
ARG,Argentina,Draft legal instruments,1 Yes 0 No,1.0
ARG,Argentina,Electronic requests,1 Yes 0 No,1.0
ARG,Argentina,Enacted legal instruments,1 Yes 0 No,1.0
ARG,Argentina,Enforcement mechanism score,5 Highest 0 Lowest,5.0
ARG,Argentina,Exemptions to coverage,1 Yes 0 No,1.0
ARG,Argentina,Exemptions to disclosure requirements score,5 Highest 0 Lowest,2.5
ARG,Argentina,Existence of legal right to access,1 Yes 0 No,1.0
ARG,Argentina,Fines,1 Yes 0 No,1.0
ARG,Argentina,FOIA contact points,1 Yes 0 No,1.0
ARG,Argentina,FOIA enforcement body,1 Yes 0 No,1.0
ARG,Argentina,Harm test,1 Yes 0 No,0.0
ARG,Argentina,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
ARG,Argentina,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
ARG,Argentina,Judicial appeals mechanism,1 Yes 0 No,1.0
ARG,Argentina,Legal Framework unweighted average,1 Yes 0 No,1.0
ARG,Argentina,Legislation governing access to information,1 Yes 0 No,1.0
ARG,Argentina,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
ARG,Argentina,Nominal fees mandated,1 Yes 0 No,1.0
ARG,Argentina,Oral requests,1 Yes 0 No,0.0
ARG,Argentina,Procedures for accessing information score,5 Highest 0 Lowest,2.5
ARG,Argentina,Public Interest test ,1 Yes 0 No,1.0
ARG,Argentina,Right to Appeal,1 Yes 0 No,1.0
ARG,Argentina,Right to extend response time,1 Yes 0 No,1.0
ARG,Argentina,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.666666667
ARG,Argentina,Written guidelines for request of info,1 Yes 0 No,0.0
ARG,Argentina,Written requests,1 Yes 0 No,1.0
ARM,Armenia,Administrative sanctions,1 Yes 0 No,1.0
ARM,Armenia,Annual budgets,1 Yes 0 No,1.0
ARM,Armenia,Annual chart of accounts,1 Yes 0 No,0.0
ARM,Armenia,Annual reports,1 Yes 0 No,1.0
ARM,Armenia,Appeals mechanism score,5 Highest 0 Lowest,5.0
ARM,Armenia,Appeals within public entities,1 Yes 0 No,1.0
ARM,Armenia,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
ARM,Armenia,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
ARM,Armenia,Constitutional requirement,1 Yes 0 No,1.0
ARM,Armenia,Coverage of information score,5 Highest 0 Lowest,4.0
ARM,Armenia,Criminal sanctions,1 Yes 0 No,1.0
ARM,Armenia,Deadlines for release of information score,5 Highest 0 Lowest,5.0
ARM,Armenia,Draft legal instruments,1 Yes 0 No,1.0
ARM,Armenia,Electronic requests,1 Yes 0 No,0.0
ARM,Armenia,Enacted legal instruments,1 Yes 0 No,1.0
ARM,Armenia,Enforcement mechanism score,5 Highest 0 Lowest,2.5
ARM,Armenia,Exemptions to coverage,1 Yes 0 No,1.0
ARM,Armenia,Exemptions to disclosure requirements score,5 Highest 0 Lowest,2.5
ARM,Armenia,Existence of legal right to access,1 Yes 0 No,1.0
ARM,Armenia,Fines,1 Yes 0 No,1.0
ARM,Armenia,FOIA contact points,1 Yes 0 No,1.0
ARM,Armenia,FOIA enforcement body,1 Yes 0 No,0.0
ARM,Armenia,Harm test,1 Yes 0 No,1.0
ARM,Armenia,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
ARM,Armenia,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
ARM,Armenia,Judicial appeals mechanism,1 Yes 0 No,1.0
ARM,Armenia,Legal Framework unweighted average,1 Yes 0 No,1.0
ARM,Armenia,Legislation governing access to information,1 Yes 0 No,1.0
ARM,Armenia,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
ARM,Armenia,Nominal fees mandated,1 Yes 0 No,1.0
ARM,Armenia,Oral requests,1 Yes 0 No,1.0
ARM,Armenia,Procedures for accessing information score,5 Highest 0 Lowest,3.75
ARM,Armenia,Public Interest test ,1 Yes 0 No,0.0
ARM,Armenia,Right to Appeal,1 Yes 0 No,1.0
ARM,Armenia,Right to extend response time,1 Yes 0 No,1.0
ARM,Armenia,Sanctions for failure to disclose unweighted average,1 Yes 0 No,1.0
ARM,Armenia,Written guidelines for request of info,1 Yes 0 No,1.0
ARM,Armenia,Written requests,1 Yes 0 No,1.0
AZE,Azerbaijan,Administrative sanctions,1 Yes 0 No,1.0
AZE,Azerbaijan,Annual budgets,1 Yes 0 No,1.0
AZE,Azerbaijan,Annual chart of accounts,1 Yes 0 No,1.0
AZE,Azerbaijan,Annual reports,1 Yes 0 No,1.0
AZE,Azerbaijan,Appeals mechanism score,5 Highest 0 Lowest,5.0
AZE,Azerbaijan,Appeals within public entities,1 Yes 0 No,1.0
AZE,Azerbaijan,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,1.0
AZE,Azerbaijan,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,2.0
AZE,Azerbaijan,Constitutional requirement,1 Yes 0 No,1.0
AZE,Azerbaijan,Coverage of information score,5 Highest 0 Lowest,4.0
AZE,Azerbaijan,Criminal sanctions,1 Yes 0 No,0.0
AZE,Azerbaijan,Deadlines for release of information score,5 Highest 0 Lowest,5.0
AZE,Azerbaijan,Draft legal instruments,1 Yes 0 No,0.0
AZE,Azerbaijan,Electronic requests,1 Yes 0 No,1.0
AZE,Azerbaijan,Enacted legal instruments,1 Yes 0 No,1.0
AZE,Azerbaijan,Enforcement mechanism score,5 Highest 0 Lowest,5.0
AZE,Azerbaijan,Exemptions to coverage,1 Yes 0 No,1.0
AZE,Azerbaijan,Exemptions to disclosure requirements score,5 Highest 0 Lowest,4.166666667
AZE,Azerbaijan,Existence of legal right to access,1 Yes 0 No,1.0
AZE,Azerbaijan,Fines,1 Yes 0 No,1.0
AZE,Azerbaijan,FOIA contact points,1 Yes 0 No,1.0
AZE,Azerbaijan,FOIA enforcement body,1 Yes 0 No,1.0
AZE,Azerbaijan,Harm test,1 Yes 0 No,1.0
AZE,Azerbaijan,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
