countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
8AF,(UN) Africa,2000.0,NaN,1.6489E7,NaN,2.036850452423096,NaN,1.5901E7,NaN,1.964198350906372,7.0424E7,8.706544876098633,1.2315E7,1.5214147567749023,NaN
8AF,(UN) Africa,2005.0,NaN,1.2645E7,NaN,1.3824557065963743,NaN,1.2427E7,NaN,1.358484148979187,9.3817E7,10.25105094909668,1.7673E7,1.9552233219146729,NaN
8AF,(UN) Africa,2010.0,NaN,1.4573E7,NaN,1.404455542564392,NaN,1.447E7,NaN,1.3946198225021362,1.18423E8,11.408910751342772,2.5518E7,2.4631950855255127,NaN
8AS,(UN) Asia,2000.0,NaN,1.09623E8,NaN,2.9891357421875,NaN,7.9842E7,NaN,2.1708014011383057,3.81196E8,10.367071151733398,7.7205E7,2.095149040222168,NaN
8AS,(UN) Asia,2005.0,NaN,9.855E7,NaN,2.534661769866944,NaN,9.4436E7,NaN,2.411412239074707,4.79404992E8,12.233967781066896,1.08669E8,2.775204658508301,NaN
8AS,(UN) Asia,2010.0,NaN,8.0435E7,NaN,1.9561846256256104,NaN,1.02445E8,NaN,2.4714696407318115,5.31815008E8,12.815045356750488,1.2878E8,3.1051807403564453,NaN
8EU,(UN) Europe,2000.0,NaN,871000.0,NaN,0.1438637971878051,NaN,3424000.0,NaN,0.542911171913147,4.7283E7,6.512421607971191,6454000.0,0.9022574424743652,NaN
8EU,(UN) Europe,2005.0,NaN,296000.0,NaN,NaN,NaN,1130000.0,NaN,0.155145451426506,5.1076E7,7.010077476501465,7309000.0,1.0031418800354004,NaN
8EU,(UN) Europe,2010.0,NaN,68000.0,NaN,NaN,NaN,491000.0,NaN,0.0667477995157241,5.3064E7,7.218246936798096,7219000.0,0.9819552302360536,NaN
8LC,(UN) Latin America and the Caribbean,2000.0,NaN,3302000.0,NaN,0.6293788552284241,NaN,7888000.0,NaN,1.5035303831100464,7.0531E7,13.439774513244627,1.3558E7,2.5844521522521973,NaN
8LC,(UN) Latin America and the Caribbean,2005.0,NaN,4106000.0,NaN,0.7326382398605347,NaN,8789000.0,NaN,1.5682648420333862,9.8214E7,17.53182601928711,1.8025E7,3.2162203788757324,NaN
8LC,(UN) Latin America and the Caribbean,2010.0,NaN,2765000.0,NaN,0.4637217223644256,NaN,6233000.0,NaN,1.045442819595337,8.8286E7,14.814598083496094,1.4925E7,2.503194808959961,NaN
8NM,(UN) North America,2000.0,NaN,24000.0,NaN,0.0076566515490412,NaN,10000.0,NaN,0.0031358976848423,1.725E7,5.499825954437256,3146000.0,1.0048707723617554,NaN
8NM,(UN) North America,2005.0,NaN,8000.0,NaN,NaN,NaN,22000.0,NaN,0.0068270815536379,1.7369E7,5.310895442962647,2993000.0,0.9126823544502258,NaN
8NM,(UN) North America,2010.0,NaN,11000.0,NaN,NaN,NaN,13000.0,NaN,0.0039017966482788,1.5604E7,4.553142547607422,2621000.0,0.7631174921989441,NaN
8OC,(UN) Oceania,2000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1099000.0,3.5140182971954346,142000.0,0.4551481902599334,NaN
8OC,(UN) Oceania,2005.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1136000.0,3.3728296756744385,144000.0,0.4273484051227569,NaN
8OC,(UN) Oceania,2010.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1430000.0,3.920533657073975,193000.0,0.5279076099395752,NaN
9CS,(SDG) Central/Southern Asia,2000.0,NaN,6.3251E7,NaN,4.197824954986572,NaN,3.8946E7,NaN,2.5823330879211426,1.74644E8,11.590126991271973,3.1034E7,2.054781913757324,NaN
9CS,(SDG) Central/Southern Asia,2005.0,NaN,5.7146E7,NaN,3.512892961502075,NaN,4.2387E7,NaN,2.585833072662353,1.93228992E8,11.776569366455078,3.5691E7,2.1759378910064697,NaN
9CS,(SDG) Central/Southern Asia,2010.0,NaN,5.744E7,NaN,3.279092788696289,NaN,6.2557E7,NaN,3.537465810775757,2.35020992E8,13.27069854736328,5.2771E7,2.9843881130218506,NaN
9ES,(SDG) Eastern/South Eastern Asia,2000.0,NaN,4.5043E7,NaN,2.2634172439575195,NaN,3.8682E7,NaN,1.9427577257156368,1.93131008E8,9.729185104370115,4.3446E7,2.1834731101989746,NaN
9ES,(SDG) Eastern/South Eastern Asia,2005.0,NaN,4.0466E7,NaN,1.9536768198013303,NaN,5.0384E7,NaN,2.4320826530456543,2.70107008E8,13.032858848571776,7.0182E7,3.3898580074310303,NaN
9ES,(SDG) Eastern/South Eastern Asia,2010.0,NaN,2.2064E7,NaN,1.0290589332580566,NaN,3.8448E7,NaN,1.794241428375244,2.79504992E8,13.02259349822998,7.2989E7,3.400460720062256,NaN
9EU,(SDG) Europe,2000.0,NaN,871000.0,NaN,0.1438637971878051,NaN,3424000.0,NaN,0.542911171913147,4.7283E7,6.512421607971191,6454000.0,0.9022574424743652,NaN
9EU,(SDG) Europe,2005.0,NaN,296000.0,NaN,NaN,NaN,1130000.0,NaN,0.155145451426506,5.1076E7,7.010077476501465,7309000.0,1.0031418800354004,NaN
9EU,(SDG) Europe,2010.0,NaN,68000.0,NaN,NaN,NaN,491000.0,NaN,0.0667477995157241,5.3064E7,7.218246936798096,7219000.0,0.9819552302360536,NaN
9LC,(SDG) Latin America & the Caribbean,2000.0,NaN,3302000.0,NaN,0.6293788552284241,NaN,7888000.0,NaN,1.5035303831100464,7.0531E7,13.439774513244627,1.3558E7,2.5844521522521973,NaN
9LC,(SDG) Latin America & the Caribbean,2005.0,NaN,4106000.0,NaN,0.7326382398605347,NaN,8789000.0,NaN,1.5682648420333862,9.8214E7,17.53182601928711,1.8025E7,3.2162203788757324,NaN
