Unnamed: 0,natlarge,gdp_percap_1950_madd,urbanpop1950,pop1950,yr_sch1950,countrycode,hsswname,urbanization1950
1,2.0,4986.724458,11205.80566,17150.33594,4.849999905,ARG,Argentina,65.33869171
2,3.0,1919.358734,918.5180054,2713.629883,2.319999933,BOL,Bolivia (Plurinational State of),33.84831619
3,4.0,1671.722669,19517.26172,53974.72656,2.079999924,BRA,Brazil,36.15999985
4,5.0,3669.741798,3553.118896,6081.931152,4.809999943,CHL,Chile,58.42089844
5,6.0,2152.841293,3923.852051,11999.59961,2.329999924,COL,Colombia,32.69985962
6,7.0,1607.410041,976.3590088,3452.498047,2.549999952,ECU,Ecuador,28.27978516
7,8.0,,1.154000044,2.260999918,,,Falkland Islands (Malvinas),51.03936768
8,9.0,,13.67099953,25.47900009,,,French Guiana,53.65594864
9,10.0,,113.9309998,406.5620117,4.239999771,GUY,Guyana,28.02303123
10,11.0,2307.631838,3129.345947,7632.460938,2.829999924,PER,Peru,41.00048447
11,12.0,1584.366142,509.2650146,1473.244995,2.690000057,PRY,Paraguay,34.56756973
12,13.0,,100.8079987,214.9989929,,SUR,Suriname,46.88766098
13,14.0,4659.397751,1744.385986,2238.506104,4.340000153,URY,Uruguay,77.92634583
14,15.0,7461.959519,2409.9729,5093.708008,1.629999995,VEN,Venezuela (Bolivarian Republic of),47.31274033
15,23.0,7411.576424,6296.800781,8177.344238,8.039999962,AUS,Australia,77.00300598
16,25.0,,70.37599945,288.9930115,3.619999886,FJI,Fiji,24.35214615
17,31.0,,15.93900013,64.8239975,,NCL,New Caledonia,24.5881176
18,35.0,8455.649239,1383.733032,1908.000977,9.18999958,NZL,New Zealand,72.5226593
19,38.0,,29.03899956,1708.192017,0.50999999,PNG,Papua New Guinea,1.69998455
20,40.0,,3.411999941,89.79299927,,SLB,Solomon Islands,3.799850702
21,44.0,,4.173999786,47.69499969,,VUT,Vanuatu,8.751441002
22,46.0,,10.57999992,82.10199738,,WSM,Samoa,12.88640976
23,54.0,,,,,,Netherland Antilles,
