folder;file;column;Domain;label;labelTypo;severalfd;mean;stddev;median;min;max;upquar;lowquar;loc;uniquemm;uniquett;rpos;rneg;rzero;numtype;numcol;samedig;neibornum
fr;20140101_20170331_parjour_providers.csv;nb_uniq_visitors;Economy;1;0;1;9.994436823241715;7.910356704413923;1.0;1.0;3206.0;1.0;2.0;0.5;2.327523602033406;0.0037331844035851;1.0;0.0;0.0;1;0.5;0;0.0
fr;20140101_20170331_parjour_providers.csv;nb_visits;Economy;1;0;1;10.813622734198354;7.922842521976657;1.0;1.0;3611.0;1.0;2.0;0.75;2.503467406380028;0.0039094058895931;1.0;0.0;0.0;1;0.5;0;1.0
fr;214401846_sanitaires_publics.csv;gc_key;Government;0;1;0;1463397.0344827587;0.464197808338891;1768061.0;996.0;1768075.0;1768054.0;1768068.0;0.3636363636363636;60933.75862068965;1.0;1.0;0.0;0.0;1;0.3636363636363636;0;0.0
fr;214401846_sanitaires_publics.csv;nb_cabines;Government;1;0;0;1.3448275862068966;0.4564740458365631;1.0;1.0;3.0;1.0;2.0;0.4545454545454545;0.6666666666666666;0.1034482758620689;1.0;0.0;0.0;1;0.3636363636363636;1;1.0
fr;214401846_sanitaires_publics.csv;code_com;Government;0;0;0;44184.0;0.0;44184.0;44184.0;44184.0;44184.0;44184.0;0.5454545454545454;0.0;0.0344827586206896;1.0;0.0;0.0;1;0.3636363636363636;1;0.0
fr;214401846_sanitaires_publics.csv;en_service;Government;0;0;0;2009.8275862068965;0.0051828175996647;2013.0;1968.0;2018.0;2009.0;2015.0;0.8181818181818182;3.571428571428572;0.4827586206896552;1.0;0.0;0.0;1;0.3636363636363636;1;0.0
fr;234400034_catalogue-region-des-pays-de-la-loire.csv;records_count;Government;1;1;1;17781.724014336916;5.770898451336707;159.0;0.0;1429645.0;33.5;1353.0;0.3513513513513513;6973.878048780488;0.7347670250896058;0.989247311827957;0.0;0.010752688172043;1;0.081081081081081;0;0.0
fr;244400404_marches-publics-conclus-2013-nantes.csv;numero;Economy;0;0;1;315.2930513595166;0.5768091171863124;299.0;3.0;631.0;173.5;476.5;0.0;1.897280966767372;1.0;1.0;0.0;0.0;1;0.375;0;0.0
fr;244400404_marches-publics-conclus-2013-nantes.csv;code_postal;Economy;0;1;1;50413.77811550152;0.3017187520247864;44474.0;13640.0;95110.0;44186.0;49110.0;0.625;525.6129032258065;0.4711246200607902;1.0;0.0;0.0;0;0.375;1;0.0
fr;244400404_marches-publics-conclus-2013-nantes.csv;montant_ht;Economy;1;1;1;108127.92824773412;1.6077665331699365;54000.0;20000.0;1967000.0;31482.25;112749.125;0.875;6141.955835962145;0.9577039274924471;1.0;0.0;0.0;0;0.375;0;0.0
